frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-6.057123,1.5244417,0.6859488,16.724264,-23.840899,1.923803,3.2497458,-1.2256118
1,-3.8320975,2.1242273,0.3429365,11.350769,-18.508226,2.8355622,2.6419265,0.29068217
2,-4.382987,-4.1164064,1.6310391,13.23873,-18.53951,3.1623766,1.4926313,-0.33711576
3,-3.5081906,-1.8022346,2.205063,10.513961,-15.893668,2.9133177,2.4599376,0.17503004
4,-4.1047797,-2.1213944,2.7648187,12.308899,-17.619492,2.5422573,2.7005396,-1.0580332
5,-4.2647605,-3.464659,1.7955867,12.947892,-18.997541,3.276256,1.9887486,0.103593454
6,-3.9827313,-4.4450383,-0.53001636,12.677817,-16.734766,3.237215,-0.21060847,0.27548048
7,-4.482175,-3.3045795,-0.05528229,13.1466055,-18.792906,3.340071,1.3232696,1.5354146
8,-5.0024114,-2.7153215,0.60940295,14.7418,-20.759739,2.7963595,2.2951965,1.4245963
9,-4.683295,-0.13944548,0.87841463,14.5143585,-17.796091,0.86071277,3.158718,1.1063756
10,-0.9298932,-0.22928877,0.36444277,7.6280932,-10.525944,1.7377666,1.5041342,1.789799
11,-0.55016255,-1.7223465,0.34037957,7.434269,-11.111351,2.5566556,0.9095628,1.465404
12,0.82323426,-1.4535636,0.5385661,5.3673472,-6.6242766,1.8276337,0.07335012,0.35297552
13,0.75998425,-1.5700885,0.4930788,6.068217,-7.824209,1.9579275,-0.011474639,0.11467339
14,0.55360204,-1.6546266,2.7848303,6.307519,-11.474247,2.8295245,1.7758121,0.0804885
15,1.3976407,-2.2170744,2.547555,5.274741,-8.70404,2.4048636,1.005167,-0.5764408
16,1.7937942,-2.7407162,1.6011155,4.7405887,-6.2447634,2.0570178,0.10689469,-0.6082922
17,1.6864161,-2.995171,1.8677294,5.2123466,-7.030632,2.0737507,0.11419247,-1.1920643
18,1.3714893,-3.184685,2.0174017,5.911264,-7.975057,2.0810354,0.25512838,-1.3135492
19,0.7271366,-3.4340646,1.8009285,7.4672785,-10.70404,2.4127269,0.2699785,-1.4129975
20,1.1178191,-3.551567,2.5024488,7.1460867,-10.677832,2.4753244,0.3494043,-1.9655964
21,0.92435056,-3.4882567,2.3715546,7.5532284,-11.0384655,2.4067805,0.4661168,-1.8241862
22,0.7071349,-3.3498454,1.2719489,7.6251183,-9.684169,2.0408635,-0.06227106,-1.349626
23,0.9386068,-3.263934,1.017686,6.966657,-8.421779,1.9441885,-0.2547899,-0.9623295
24,0.9508098,-3.0330875,0.96700335,6.710304,-7.7387333,1.7566062,-0.12953828,-0.7154118
25,0.8889454,-2.909577,1.052059,6.6005344,-7.070718,1.5064496,0.04426089,-0.63533366
26,0.49948406,-2.594493,0.5897209,6.61355,-7.5548096,1.6574035,0.44100505,0.54440546
27,0.2681056,-2.1535645,0.3689978,6.8987694,-8.006407,1.5615613,0.6288917,0.7703557
