frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-5.1987844,-1.3373808,-0.122325994,-11.260629,-6.469743,-1.3366389,2.28643,1.160881
1,-4.688496,-0.44687533,0.087155215,-13.568622,-7.238903,-1.942811,3.007065,0.8541017
2,-5.410284,-1.6379068,-0.7354423,-8.790726,-5.776935,0.11835556,1.3951697,1.5715863
3,-5.621063,-1.5178423,-0.37520257,-10.32429,-6.496483,-0.27204686,2.0397995,1.3538079
4,-5.6873584,-1.4248877,-0.14033134,-11.341929,-6.720029,-0.88475615,2.2347205,1.2661544
5,-5.926258,-2.2119536,-0.094645545,-10.14191,-6.261555,-1.1489893,2.026467,1.3877579
6,-5.639152,-2.335904,-0.5410999,-8.349582,-5.6504207,-0.4538706,1.523047,1.5793248
7,-5.631367,-2.6243582,-0.3243881,-8.485452,-5.550102,-1.1346399,1.6717153,1.4912424
8,-5.655876,-2.882935,-0.102577895,-8.723596,-5.4701133,-1.8212094,1.7883384,1.4494421
9,-5.504248,-3.2767396,-0.040232085,-8.568742,-5.198025,-2.5384526,1.7941763,1.3595481
10,-5.4872456,-3.6994781,-0.017547,-8.35789,-5.076222,-2.8712099,1.8245909,1.2429767
11,-5.502197,-3.884698,0.0027385103,-8.171573,-5.065234,-2.873016,1.8923514,1.158668
12,-5.544173,-4.1129885,-0.026662368,-8.041024,-5.0510798,-2.9620478,1.9043102,1.1213815
13,-5.6195755,-4.3102837,-0.03922608,-7.9736304,-5.0912595,-3.0082812,1.950486,1.0879596
14,-5.609984,-4.3615994,-0.056094117,-7.90075,-5.063497,-3.0193753,1.9402184,1.0777602
15,-5.573695,-4.400952,-0.14038122,-7.687758,-5.003382,-2.9636054,1.893456,1.0776205
16,-5.573588,-4.4321012,-0.14857535,-7.648022,-4.988308,-2.9748142,1.8874853,1.0654742
17,-5.589264,-4.371239,-0.14028616,-7.63705,-5.0315967,-2.860809,1.9212515,1.0615851
18,-5.632408,-4.206399,-0.11105031,-7.72541,-5.1390185,-2.6578908,1.977243,1.0769025
19,-5.667027,-4.0448904,-0.07564378,-7.874197,-5.2329607,-2.527573,2.0177631,1.1055546
20,-5.6328125,-3.9266407,-0.051238433,-7.8219714,-5.244216,-2.368724,2.0425858,1.1026951
21,-5.607573,-3.74814,0.004202058,-7.9305077,-5.2756033,-2.2762518,2.066343,1.1170793
22,-5.6150656,-3.657739,0.0077799074,-7.994279,-5.31173,-2.212478,2.0704408,1.1447288
23,-5.617181,-3.5845392,0.019725906,-8.083041,-5.3388863,-2.198802,2.0726461,1.1696936
24,-5.5711966,-3.5425766,0.054224994,-8.213212,-5.357443,-2.2897606,2.1070602,1.1846964
25,-5.512569,-3.4531171,0.087868065,-8.312285,-5.36626,-2.3230736,2.1341066,1.1999741
26,-5.4636693,-3.3905494,0.13500881,-8.38844,-5.3976626,-2.328277,2.195554,1.197336
27,-5.411873,-3.260666,0.17930232,-8.515341,-5.446235,-2.299766,2.248507,1.2185923
28,-5.3630667,-3.2145097,0.22403513,-8.622649,-5.4570594,-2.3651156,2.2855096,1.2190558
29,-5.330071,-3.2550073,0.25283694,-8.682863,-5.44317,-2.4923046,2.3078601,1.2056798
30,-5.2671094,-3.3016586,0.26177594,-8.721748,-5.384397,-2.666239,2.2905507,1.2043356
31,-5.2268944,-3.2795084,0.26090285,-8.727232,-5.3782563,-2.6785724,2.296526,1.2150733
32,-5.2070403,-3.2256813,0.23907812,-8.698954,-5.376056,-2.6133218,2.2809036,1.2387048
33,-5.1827064,-3.1689558,0.25079966,-8.758896,-5.3779197,-2.6248133,2.281263,1.2525033
34,-5.1985383,-3.1140697,0.27942765,-8.865245,-5.4262943,-2.6124532,2.3129516,1.2575139
35,-5.254347,-2.9707088,0.25812352,-8.996764,-5.554626,-2.440256,2.3578212,1.2642037
36,-5.3266535,-2.9290144,0.20247808,-8.936042,-5.5710816,-2.2405877,2.2858086,1.2870595
37,-5.402997,-3.073381,0.13848755,-8.676703,-5.4442077,-2.262977,2.145772,1.3389794
38,-5.442854,-3.2247574,0.13378495,-8.628131,-5.386353,-2.3921652,2.1064093,1.3067648
39,-5.4914813,-3.4458668,0.11840521,-8.520652,-5.2725325,-2.5731628,2.0217385,1.2597864
40,-5.5154157,-3.596871,0.10443019,-8.431942,-5.188292,-2.6921685,1.9618711,1.2253776
41,-5.492354,-3.6177187,0.08365667,-8.285387,-5.1495256,-2.6299524,1.954139,1.1969193
42,-5.5047717,-3.6521726,0.0488744,-8.201225,-5.15269,-2.5874074,1.9530151,1.1857735
43,-5.5245914,-3.7067964,0.020772291,-8.126676,-5.158791,-2.5598562,1.9575605,1.1711267
44,-5.5716558,-3.8336465,-0.008323075,-8.085074,-5.172868,-2.607168,1.9633491,1.1560507
45,-5.587205,-3.9491513,-0.034839403,-8.001676,-5.1557493,-2.6526546,1.9620049,1.1345565
