frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.45928663,-0.15399194,-0.9782131,-0.18948288,0.020208988,0.41338283,-0.40667176,-0.006859876
1,0.43631986,-0.22771391,-0.761389,-0.06083245,0.028621528,0.5074964,-0.24968708,0.13678473
2,0.39857388,-0.2647383,-0.69454205,-0.056333542,0.0025358796,0.5101008,-0.1831305,0.20478588
3,0.37822804,-0.30508417,-0.6956272,-0.044855,-0.012119405,0.5127275,-0.16854626,0.24161448
4,0.43016008,-0.28735635,-0.69600326,-0.1062961,-0.03570593,0.4216178,-0.09373525,0.14793126
5,0.4303806,-0.27511123,-0.70275205,-0.16596584,-0.05449567,0.35388768,-0.06915191,0.10727986
6,0.43400022,-0.27772626,-0.71097714,-0.20059022,-0.06976939,0.3078946,-0.049691588,0.09481641
7,0.4228626,-0.27540946,-0.743277,-0.23619378,-0.075584225,0.266838,-0.06761032,0.066327244
8,0.43370828,-0.25993225,-0.7726384,-0.27453935,-0.0776848,0.21710853,-0.075000435,0.015932038
9,0.4134227,-0.26292545,-0.77435106,-0.31403005,-0.08802443,0.17484634,-0.07314241,0.025894344
10,0.37935787,-0.2757489,-0.7793459,-0.3488896,-0.08849416,0.12845217,-0.08904415,0.029291637
11,0.3628571,-0.2700136,-0.80104417,-0.39274812,-0.08267859,0.07197738,-0.11050576,-0.0053155497
12,0.32241902,-0.2983198,-0.7898661,-0.4058333,-0.05081962,0.016535446,-0.13847399,-0.0035855696
13,0.25154996,-0.31393588,-0.7689092,-0.41923487,-0.009131283,-0.026129857,-0.19709206,0.008891836
14,0.23927951,-0.32461384,-0.71986896,-0.44859448,0.013402969,-0.109288245,-0.1689862,-0.031563878
15,0.20139426,-0.32599625,-0.63836205,-0.48227414,0.02375893,-0.16000633,-0.13901424,-0.015248388
16,0.16636908,-0.3599292,-0.5071874,-0.5320804,0.016790435,-0.2514323,-0.03443438,0.040273584
17,0.15367296,-0.3666293,-0.4426325,-0.5644684,0.013175879,-0.30304855,0.013759732,0.06070316
18,0.15650216,-0.38063812,-0.35610333,-0.55492306,0.023596022,-0.3271525,0.081802666,0.0900249
19,0.17415217,-0.39537966,-0.21666707,-0.5409634,0.018887855,-0.34852242,0.21514477,0.13997473
20,0.21039209,-0.41356516,-0.15712206,-0.5578655,-0.009327449,-0.3927642,0.3231688,0.14792547
21,0.23478562,-0.45118508,-0.10452444,-0.5608905,-0.017640688,-0.4423402,0.41103625,0.143214
22,0.2705789,-0.4718704,-0.07347008,-0.5793103,-0.02661457,-0.47185725,0.4695452,0.13024263
23,0.32528055,-0.47524443,-0.04965274,-0.5905734,-0.044959158,-0.4811688,0.5365814,0.11169603
24,0.3554875,-0.48803562,-0.020772303,-0.6526096,-0.074159525,-0.5269407,0.6017741,0.10610953
25,0.37621987,-0.4820958,-0.014840303,-0.69213355,-0.092113025,-0.5473726,0.6288832,0.088482246
26,0.35673845,-0.4606131,-0.018045688,-0.72056305,-0.10453478,-0.52906245,0.6197892,0.10282198
27,0.34132537,-0.40256763,-0.033107262,-0.8131741,-0.16617212,-0.4744032,0.6204824,0.10307272
28,0.36164233,-0.33149645,-0.073521316,-0.93579435,-0.22579116,-0.47727507,0.6273556,0.048995346
29,0.3492675,-0.27317557,-0.119166605,-1.0178057,-0.24545959,-0.48912144,0.57890093,0.008968934
30,0.27392536,-0.24337614,-0.18661168,-1.063145,-0.22461694,-0.5125025,0.44157532,0.008890681
31,0.25153136,-0.23750716,-0.2627827,-1.0189831,-0.19884059,-0.49025625,0.3403383,0.010580413
32,0.27106208,-0.19718848,-0.32704705,-0.9856713,-0.19921866,-0.44483137,0.2876996,-0.008439817
33,0.28489438,-0.19665012,-0.32280117,-0.8616879,-0.17817158,-0.33287382,0.27387798,0.01759097
34,0.33317164,-0.21240112,-0.43721732,-0.70944023,-0.11399677,-0.2585078,0.18474612,-0.026971847
35,0.33827135,-0.260521,-0.4957395,-0.5646701,-0.063284956,-0.17968358,0.12125844,-0.04678406
36,0.40832534,-0.2818599,-0.51897186,-0.42560697,-0.027452208,-0.11016455,0.13531667,-0.10105102
37,0.48757994,-0.29419732,-0.5592903,-0.32993078,0.01096046,-0.07208626,0.1436047,-0.20426135
38,0.53432894,-0.27329502,-0.5512574,-0.31070384,-0.0003078431,-0.038123816,0.18264906,-0.22369896
39,0.57632166,-0.30686247,-0.5321797,-0.26851442,0.003356889,-0.027854793,0.23315546,-0.22329558
40,0.62381274,-0.32196435,-0.53965104,-0.25112113,0.0002085641,-0.031957492,0.27208227,-0.25248075
41,0.6614751,-0.31772777,-0.5668385,-0.26615965,-0.008815572,-0.053332746,0.2935,-0.31320274
42,0.68122405,-0.2992999,-0.5828167,-0.2706892,-0.010928579,-0.04048782,0.27946138,-0.32308012
43,0.6675561,-0.28673097,-0.58728355,-0.26048467,-0.0055211857,-0.012064703,0.23911564,-0.29219073
44,0.61985546,-0.25899008,-0.6043001,-0.28607684,-0.0055108443,-0.0021102428,0.1729611,-0.2667936
45,0.56107265,-0.23865053,-0.62011,-0.33824253,-0.018389948,-0.015872113,0.11745319,-0.23934893
46,0.47753456,-0.20146042,-0.625752,-0.4683521,-0.052816495,-0.07778065,0.060175538,-0.19183262
47,0.41342974,-0.14797942,-0.65842277,-0.61795276,-0.089985274,-0.13178435,-0.009448618,-0.152849
48,0.324955,-0.13404927,-0.70337546,-0.7342591,-0.10861454,-0.18065433,-0.11447191,-0.07699494
49,0.2677316,-0.12583682,-0.62812036,-0.8739532,-0.15440074,-0.28018236,-0.06668162,-6.80238e-05
50,0.21593323,-0.1382304,-0.602495,-0.94300354,-0.16188285,-0.33591634,-0.075790495,0.06254853
51,0.13234863,-0.15000692,-0.5255255,-1.0083295,-0.19082043,-0.34875506,-0.055236697,0.17336097
52,0.10954341,-0.16078366,-0.4533106,-1.035447,-0.2150799,-0.35614115,0.008471817,0.22590561
53,0.0479656,-0.24623665,-0.4263591,-0.94959295,-0.15851456,-0.37737358,-0.007886529,0.2456271
54,0.0074856654,-0.29771182,-0.36706492,-0.882143,-0.124258764,-0.37607342,0.015244514,0.25058407
55,0.00029992685,-0.30983844,-0.33446908,-0.85589695,-0.11659647,-0.36960495,0.039871007,0.24386458
56,0.13025835,-0.41934484,-0.31620353,-0.67653024,-0.018215023,-0.44340682,0.14336583,0.11680411
57,0.22324646,-0.4901668,-0.27054107,-0.5892678,-0.0034436584,-0.47387564,0.26439887,0.06709957
58,0.34116468,-0.51700777,-0.1817323,-0.50602317,-0.018997468,-0.45457524,0.4379594,0.04550704
59,0.4078285,-0.5664762,-0.18297707,-0.49541876,-0.034285247,-0.4687826,0.50188035,0.026972912
60,0.48853502,-0.53727424,-0.18368605,-0.5777221,-0.1077139,-0.49107498,0.61472774,0.0063143224
61,0.5625039,-0.49649575,-0.21638511,-0.6177874,-0.15765098,-0.47269714,0.6780895,-0.03836137
62,0.6076591,-0.44343084,-0.22971933,-0.6566086,-0.19339219,-0.4555332,0.7212883,-0.07107623
63,0.67718786,-0.3548729,-0.25920573,-0.7514676,-0.26103473,-0.44896865,0.7754599,-0.12797308
64,0.7549706,-0.21510527,-0.28737026,-0.91617274,-0.37121722,-0.43621874,0.8351015,-0.17860238
