frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.11307352,-0.5400295,-1.3570004,-0.3974737,-0.15434676,0.22454083,-0.67829806,0.43950272
1,0.028326066,-0.8069474,-1.76684,-0.6094341,-0.23042327,-0.082140535,-0.8660677,0.42002487
2,0.03802133,-0.8761238,-1.9628401,-0.7298168,-0.27255678,-0.20231368,-0.97325,0.37352985
3,-0.07432232,-1.1451558,-2.2788687,-0.9773866,-0.385078,-0.44739425,-1.1422565,0.48819143
4,-0.12392271,-1.204604,-2.394919,-1.2287962,-0.47904956,-0.626619,-1.1860309,0.52013755
5,-0.12038047,-1.2751288,-2.4597378,-1.4899111,-0.53340954,-0.8657893,-1.1801271,0.45923436
6,-0.043221474,-1.2665843,-2.4860823,-1.7086918,-0.5573184,-1.0646064,-1.1413832,0.3076647
7,0.061377537,-1.204584,-2.4647613,-1.893043,-0.5772335,-1.2345325,-1.0595987,0.08862737
8,0.20677745,-1.0985583,-2.2590818,-2.1808867,-0.5819276,-1.5823629,-0.83393854,-0.15135603
9,0.34177268,-1.0425184,-2.1590185,-2.3780384,-0.5902899,-1.8401077,-0.6967018,-0.3639801
10,0.19763112,-1.1742651,-1.9577478,-2.488949,-0.5620064,-2.0780308,-0.6124267,-0.18910815
11,0.04895125,-1.4240072,-1.9083223,-2.6065865,-0.5443208,-2.3709846,-0.56885356,-0.022620931
12,0.106718585,-1.2062651,-1.4596552,-2.5077243,-0.46396196,-2.3476803,-0.27493554,-0.10068306
13,0.2167981,-0.90389603,-1.0444086,-2.2362034,-0.37309125,-2.0725694,0.0031974018,-0.22005858
14,0.6712532,-0.5853428,-0.6951766,-1.9646823,-0.42838523,-1.7427763,0.4993873,-0.48433733
15,0.9298649,-0.48681012,-0.326809,-1.907836,-0.60276073,-1.5362328,1.070042,-0.46405792
16,1.0247505,-0.43402293,-0.14310223,-1.8968092,-0.73526853,-1.3685191,1.3787351,-0.36337155
17,1.0378323,-0.3241171,-0.053674623,-2.1268706,-0.97464067,-1.0715663,1.6182206,-0.15453713
18,1.0234898,-0.15842687,-0.018112736,-2.267624,-1.1730651,-0.668925,1.7834392,-0.12119961
19,1.0773201,-0.03505338,0.013174839,-2.4786758,-1.3628263,-0.40808147,1.9633112,-0.10372275
20,1.0397891,0.120275535,0.064114556,-2.7171512,-1.4740117,-0.22036515,2.0030663,-0.06795035
21,0.9995835,0.36256832,0.10206539,-3.0011444,-1.593032,-0.018064633,2.0142903,-0.09424345
22,0.96972656,0.58833766,0.10419676,-3.219709,-1.6952986,0.18991876,1.9810059,-0.10851541
23,0.9074896,0.7521692,0.064282455,-3.3266482,-1.7591506,0.3753599,1.8817167,-0.06577733
24,0.84502965,0.89952534,0.03250999,-3.381368,-1.7942502,0.5590998,1.763458,-0.022884712
25,0.774403,1.0147022,-0.00035321084,-3.3916414,-1.7821245,0.6880799,1.6363578,0.009386644
26,0.64377993,1.1517552,-0.05312137,-3.3792717,-1.7605968,0.8750401,1.4389822,0.069198176
27,0.45738775,1.4347361,-0.11468179,-3.5004506,-1.779058,1.1466882,1.2074696,0.070920244
28,0.32691103,1.5456976,-0.14586739,-3.4100516,-1.7056234,1.2996293,1.0080014,0.097676136
29,0.12091126,1.5397434,-0.21285522,-3.1645453,-1.5806432,1.4451109,0.7252821,0.20904279
30,0.07846249,1.4491637,-0.20629036,-2.868091,-1.4234698,1.4494472,0.60495317,0.24171925
31,0.047914553,1.2489761,-0.1758251,-2.3689446,-1.1812695,1.4174534,0.46164387,0.29546642
32,0.0740207,0.9714134,-0.18421015,-1.8476721,-0.9277425,1.3507092,0.347219,0.2987295
33,0.21524423,0.67250615,-0.22359245,-1.3899256,-0.72364116,1.2201896,0.326979,0.26309657
34,0.4206946,0.32985926,-0.33025056,-0.86287916,-0.49783373,1.0071833,0.29760933,0.17451695
35,0.68855953,-0.05445864,-0.50350887,-0.33401132,-0.2983173,0.74777085,0.27081925,0.09105073
36,0.8349709,-0.228378,-0.7213542,-0.05932658,-0.11568368,0.52735335,0.18861009,-0.054953024
37,0.8562415,-0.26616827,-0.93603253,-0.008633092,-0.06977572,0.44414806,0.05708325,-0.19112958
38,0.69545996,-0.36193237,-1.1685524,-0.0876118,-0.049359083,0.32867825,-0.21192104,-0.15434603
39,0.6652755,-0.4766117,-1.3246777,-0.18661438,-0.073990755,0.14501718,-0.27530897,-0.19603042
