frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-1.2019982,3.0060484,2.952688,-3.3701956,-3.6547487,3.5958915,4.977979,0.2239936
1,-1.8959029,-0.36428958,-0.56992817,1.2877071,-4.3897743,2.2253056,2.3899462,-0.74808943
2,-1.8499587,-0.5178926,-1.1303653,1.4335742,-3.9609253,2.2329662,2.0456445,-0.82052875
3,-1.6878517,-0.5774268,-1.9092094,1.1746274,-3.0473843,2.3643389,1.627348,-0.48587742
4,-1.7204454,-0.12644732,-2.0952709,1.1529008,-3.4600494,2.5527375,1.5100248,-0.24072541
5,-1.8650277,0.2612378,-2.1590402,1.1278479,-3.4730449,2.505588,1.6102914,0.020527449
6,-1.894038,0.72865355,-2.0153942,0.06902475,-3.703168,3.3641436,1.9600104,1.2048045
7,-1.7983689,0.45732078,-2.005298,0.8606991,-3.4303486,2.6715364,1.5597897,-0.030569129
8,-1.796902,0.2909803,-1.9309802,1.3256767,-3.7886717,2.58651,1.4402766,-0.29054302
9,-1.8308711,0.2139093,-1.729493,1.4717413,-3.8819299,2.614073,1.425273,-0.32497597
10,-1.822489,0.5443945,-1.6278017,1.1258419,-3.4023356,2.643431,1.5192502,-0.25331807
11,-1.996258,0.61275685,-1.6501635,0.8561014,-3.3044186,2.8192635,1.5703089,0.09221937
12,-2.0312412,0.73589206,-1.6573297,0.897041,-3.3166234,2.7791564,1.5339087,0.044141665
13,-1.9676623,0.70094895,-1.721493,0.925134,-3.1909585,2.7876928,1.4061091,-0.0008459594
14,-1.9692013,0.6202191,-1.6682763,0.90654844,-3.2208018,2.8232803,1.3863951,0.011600822
15,-1.989202,0.23507088,-1.7211862,1.0574446,-3.2764378,2.9175122,1.2396204,-0.012515448
16,-1.9591658,0.13065146,-1.7009673,1.1447513,-3.2344992,2.8307092,1.2550571,-0.018941797
17,-1.8846583,0.3091948,-1.6472366,1.1316384,-3.1094768,2.6862152,1.2967503,-0.11229962
18,-1.9056892,0.2859858,-1.8360854,1.3852603,-3.2260811,2.6251843,1.2091609,-0.059217807
19,-2.093584,0.41839513,-1.7252618,1.4848866,-3.66293,2.6520722,1.3807737,0.14046764
20,-2.1189437,0.35122606,-1.7718716,1.5553175,-3.6554992,2.6235592,1.404128,0.21218762
21,-2.2886708,0.38189834,-1.6782935,1.9326888,-4.1571946,2.5125117,1.5427178,0.2676428
22,-2.3944333,0.08954373,-1.6453813,2.1849914,-4.734179,2.7190464,1.5784998,0.45750958
23,-2.2998977,0.13326465,-1.1741878,2.3127987,-4.5181823,2.278149,1.8166306,0.057538465
24,-2.6750424,0.00852222,-1.384932,2.7695456,-4.780621,2.1904879,2.0007825,0.62403893
25,-2.7680395,-0.013588056,-1.3901402,2.7447896,-5.1018133,2.3282936,2.020053,0.77632
26,-3.1162326,0.6616825,-0.9647005,2.6042562,-5.6624103,2.3677425,2.5649943,1.0010868
27,-3.4790068,0.77379096,-0.8455803,2.8470523,-6.443069,2.5073981,2.8455074,1.1932371
28,-3.1577578,0.50601625,-1.0252606,2.464182,-5.407425,2.3380938,2.650662,1.0497807
29,-2.9586637,0.38956454,-1.2166045,2.3596206,-5.141846,2.3027627,2.4829376,0.9592769
30,-3.1070585,0.71698666,-0.8056118,2.3678248,-5.8352494,2.3627377,2.7189693,0.6575122
31,-3.2305818,0.84760845,-0.5368961,2.318482,-6.3404384,2.472374,2.8605235,0.4012048
32,-2.8296177,-0.03833436,-2.7292483,2.6446235,-4.071636,2.050361,1.7347738,1.1949
33,-2.7620666,-0.15662464,-3.641969,2.9057667,-3.9485886,2.1628072,1.2244049,1.4982736
34,-2.82708,0.11626829,-3.6069813,2.9924886,-4.40623,2.20045,1.226421,1.3254609
35,-2.9684465,0.20040935,-3.8292773,3.1299458,-4.7487288,2.3425066,1.1218092,1.3898335
36,-2.1671371,0.0009831563,-2.8745892,1.8998836,-3.5339777,2.2180433,1.0349002,-0.012809475
37,-2.2979972,0.025110953,-2.4471428,1.9004979,-3.9984155,2.307161,1.2199153,-0.19565043
38,-2.0323687,-0.093884476,-2.1083846,1.5766661,-3.800303,2.3287566,1.199179,-0.653375
39,-2.2543604,-0.09074016,-2.228808,1.7227217,-4.3542767,2.4927871,1.2072849,-0.39643645
40,-2.3561683,0.1047999,-2.1738398,1.6211555,-4.56649,2.5636396,1.2925336,-0.3082822
41,-2.3655775,-0.2845906,-2.3821902,2.1106858,-5.8202896,2.9114718,0.8999678,-0.37761116
42,-3.068879,-0.010338031,-2.485419,2.6877744,-7.4766583,3.191173,1.1393839,0.3929353
43,-2.8140683,-0.54212165,-2.0360749,2.2170591,-7.820262,3.5379474,1.0091426,-0.03634135
44,-2.548601,-1.1274878,-2.425193,1.8561637,-6.577118,3.4595714,0.74187243,-0.18226585
45,-2.5288508,-1.2909628,-2.6569204,1.75343,-6.0126433,3.3141117,0.70217776,-0.108494475
46,-2.3575215,-1.3485056,-2.6438916,1.5502135,-5.4737988,3.141294,0.6828117,-0.24326499
47,-1.9643781,-1.4340855,-1.8407929,1.0812192,-5.0986996,2.9539945,0.79971355,-1.0826551
48,-2.0540829,-1.2857567,-1.276318,1.0627257,-5.1243744,2.6844494,1.2178729,-1.4031011
49,-2.0116482,-1.2461162,-1.3318349,1.5613902,-4.9842844,2.1903918,1.2994165,-1.7779484
50,-1.9984789,-1.2902952,-1.4919963,1.850047,-4.902545,1.9410591,1.2712525,-1.8879752
51,-1.9494691,-0.9716903,-1.8364481,1.5337927,-4.4662385,1.8842691,1.3443053,-1.6215506
52,-2.066126,-0.72427654,-1.8986034,1.5830971,-4.3722634,1.7118279,1.6383048,-1.4166371
53,-2.1414893,-0.6535289,-2.125766,1.6212863,-4.05688,1.5514317,1.7680187,-1.3219343
54,-2.2430208,-0.6495987,-2.2136858,1.9162729,-4.627788,1.602614,1.8119234,-1.3072798
55,-2.6556334,-0.25246075,-2.894244,1.7369698,-4.6247797,1.8517426,2.0031743,-0.039964404
56,-2.8734004,-0.036888525,-2.8792417,1.6791816,-4.7713466,1.8787254,2.2149737,0.24746355
57,-2.899227,-0.44621518,-2.307653,1.9991134,-5.0302567,1.623907,2.5306208,-0.18842901
58,-3.7892106,-0.41273543,-2.7640753,2.934416,-6.280289,1.7782987,2.9031253,1.0190538
59,-3.9954393,-0.5030855,-3.2435262,3.0854611,-6.2702074,1.7867345,2.9019415,1.6052991
60,-4.2292457,-0.5654557,-3.671384,3.2382128,-6.097163,1.7020026,2.924066,2.0542445
61,-3.9074044,-0.93917596,-3.341278,3.0351102,-5.8315744,1.6584178,2.8815856,1.673493
62,-4.194148,-1.1123239,-3.7181776,3.4214497,-6.0292845,1.6081909,2.8720345,2.1329918
63,-3.8958428,-1.0476493,-3.4043376,2.9424493,-5.3962746,1.378605,2.9289498,1.58727
64,-3.7918406,-0.96268356,-3.652492,2.9471626,-5.361103,1.3716114,2.6987097,1.5145844
65,-3.704623,-1.0442476,-3.8337793,3.0055099,-5.079643,1.2542202,2.5218234,1.3363519
66,-4.31172,-0.7161242,-4.4427414,3.9201021,-6.2322736,1.3373137,2.5322762,1.9449637
67,-3.9356365,-1.6616936,-4.328218,3.8083248,-5.812506,1.3634499,2.1026511,1.1669565
68,-3.2373383,-1.8797332,-4.0859447,2.9537113,-5.214683,1.5764269,1.6175091,0.13281819
69,-2.9417386,-1.5500295,-4.049035,2.773155,-5.3183265,1.6401646,1.3522363,-0.46084425
70,-2.8303308,-0.8420452,-3.4452713,2.1856413,-5.4481826,1.6586103,1.5055078,-0.9416791
