frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-4.0486035,3.8698854,4.664093,-1.4906287,-7.1331916,3.2648664,5.672597,4.939866
1,-4.125079,2.648574,4.409485,-2.2374616,-7.426948,4.3010535,5.5927415,5.5316596
2,-4.2944818,1.7545671,4.11872,-2.2822871,-8.101864,5.0269084,5.3500476,6.0601277
3,-4.396041,2.7062733,3.0411015,1.9457481,-10.848224,3.1842694,4.903009,5.228678
4,-4.3513017,2.81061,3.3250415,-0.3425933,-8.721683,3.7430542,5.2786803,5.821282
5,-4.0334215,1.187118,3.6007514,-1.9785393,-7.7645016,4.9860272,5.019339,6.2897043
6,-3.8805158,1.4583534,3.481644,-1.7332757,-7.457337,4.471405,5.0273933,6.105423
7,-3.7265656,0.26881307,3.658751,-2.8610268,-6.506558,4.9787374,4.6995926,6.003989
8,-3.6771886,0.7299855,3.4683268,-2.3419125,-6.927618,4.736445,4.8426676,6.172344
9,-2.784019,-0.8232255,1.3953625,1.8657156,-7.9088244,3.316847,2.4790897,1.010207
10,-2.0785074,-0.07600431,-1.6142912,2.192872,-4.694404,2.1760075,0.95075786,2.0608356
11,-1.9904714,-0.13190176,-0.7899588,1.5524343,-4.1348825,2.002857,1.1769781,0.96898246
12,-2.2990403,-0.31500098,-1.6145544,2.2299745,-3.543221,1.6226885,1.0959587,1.4729536
13,-2.2607708,-0.1747538,-1.9576792,2.3749797,-3.663745,1.6755538,0.9269289,1.5815552
14,-2.0683234,-0.30281103,-1.6137182,2.04733,-3.256668,1.5984644,1.029296,1.1694064
15,-1.9309647,-0.41826898,-1.6445367,2.1326966,-3.205553,1.51248,0.9109817,0.9128238
16,-1.7916234,-0.47625658,-1.8657187,1.6215416,-2.4639647,1.6073031,0.824968,1.0858415
17,-1.8175101,-0.15346399,-1.7256083,1.586195,-2.7750556,1.6061904,0.8967973,0.90871453
18,-1.6944115,0.029598013,-1.4154935,1.3411021,-2.7999766,1.5589752,0.95312417,0.56028223
19,-1.4113393,-0.14533941,-1.1814202,1.0242493,-2.6095085,1.6229694,0.87461025,0.24678752
20,-1.6862586,-0.14179973,-0.77187055,1.560067,-4.459215,1.9464812,0.98930216,0.117572024
21,-1.747397,0.2204875,-0.93916625,1.4260787,-4.5097356,1.962758,0.9779171,0.30319518
22,-1.3724761,0.1395678,-0.78371936,0.58312625,-3.4977393,1.9763882,0.93917507,0.08535378
23,-1.5232198,0.0160539,-0.9180929,0.8182657,-3.6163259,1.923279,0.99263394,0.27757648
24,-2.1249168,-0.08831063,-1.3234434,1.5897359,-4.5721736,1.9908864,1.0417458,0.8641243
25,-1.5934908,0.06302187,-1.2635252,0.9341794,-3.8150012,1.9012815,0.8090715,0.36684817
26,-1.3141818,-0.047318906,-1.0291053,0.6059687,-3.4516547,1.844432,0.80767864,0.046413913
27,-1.2445393,0.0030908138,-1.0397773,0.48195386,-3.4622447,1.8893048,0.76210666,-0.0012408048
28,-1.2881775,-0.12605098,-1.06376,0.5008006,-3.756322,2.0200279,0.7093915,-0.01658936
29,-1.0295055,-0.30260694,-0.5974199,0.24853128,-2.8025405,1.6309582,0.9801401,-0.4406916
30,-0.990143,-0.34971148,-0.53231597,0.2830862,-2.832375,1.5890675,1.0029455,-0.6113093
31,-1.1910276,-0.3999625,-0.6890146,0.5359766,-3.3194292,1.6697439,1.0187455,-0.44034466
32,-1.0999436,-0.3784038,-0.7307833,0.57622397,-3.3818507,1.6521871,0.9630511,-0.6061022
33,-1.0483339,-0.1071773,-0.99042934,0.15435779,-2.7214565,1.6804483,1.1323031,-0.09807371
34,-1.2351909,-0.2546334,-0.96232307,0.23121409,-2.6442251,1.5580468,1.2772634,-0.20068373
35,-1.5826833,-0.20129266,-1.0210345,0.78415006,-3.3060417,1.4789432,1.4977612,-0.028435893
36,-1.7819786,-0.18954796,-1.1327271,1.1892114,-3.598937,1.3905406,1.618166,0.14167568
37,-2.04969,0.057697937,-1.1861249,1.1270231,-3.7582412,1.4248165,1.8215429,0.5140517
38,-2.2338898,0.094884485,-1.6187575,1.2480977,-3.8039093,1.4686668,1.779451,0.94820726
39,-2.4794128,0.017432049,-1.7087713,1.5042217,-4.1642313,1.5084032,1.8908136,1.228573
40,-2.1428375,-0.49086133,-1.6378108,1.4085562,-3.302123,1.1800264,1.7561891,0.79489684
41,-2.0970576,-0.73536754,-1.8279546,1.6152091,-3.2629867,1.1075698,1.6391413,0.85019004
42,-2.6799552,-0.8460934,-2.334808,2.2890363,-4.134409,1.3218905,1.6928103,1.747011
43,-2.3842154,-0.8797953,-2.0598004,1.6116371,-3.4723265,1.3135803,1.7022306,1.4431944
44,-2.267392,-0.77396905,-2.0151763,1.432343,-3.3892014,1.2973964,1.6558777,1.2780311
45,-2.4096735,-0.37327224,-2.0592713,1.3950578,-3.6582472,1.344393,1.7315743,1.3773967
46,-2.5794613,-0.28899854,-2.3014863,1.7501793,-3.8685324,1.226699,1.7047892,1.4418029
47,-2.3893936,-0.46554437,-2.610092,1.9755676,-3.5290613,1.0358138,1.4437898,1.2002431
48,-2.105803,-0.6926582,-2.591137,1.7315044,-3.1831527,1.0545459,1.2244333,0.8410698
49,-2.0206485,-0.6572089,-2.3864174,1.4509434,-3.0866292,1.1317933,1.2374413,0.62034667
50,-1.5973065,-0.65086937,-1.8122447,1.2815778,-3.13888,0.9294083,1.0910023,-0.6304852
51,-1.6304986,-0.59432423,-1.799115,1.1277243,-3.2967172,1.0797299,1.0247035,-0.63365257
52,-1.8040407,-0.3358469,-1.5442271,1.1921055,-4.3182487,1.4070623,1.1438845,-0.42921624
53,-1.6481993,-0.39177793,-1.53377,0.9876412,-4.0129642,1.3557076,0.9721022,-0.6855217
54,-1.755028,-0.22084257,-1.5277976,0.7590932,-4.2079573,1.550172,0.98500854,-0.5066372
55,-1.6726482,-0.2888235,-1.5633992,0.69864947,-4.04369,1.5421002,0.9092795,-0.600134
56,-1.7491271,-0.5227362,-1.0562638,0.42576724,-4.371567,1.7800908,1.042224,-0.77134955
57,-1.5432675,-1.1479598,-0.42688394,0.010957029,-4.9393854,2.1905167,0.8066798,-1.3965414
58,-1.4844103,-1.5517364,-0.29589596,-0.12947828,-5.2970905,2.4669025,0.6482958,-1.5433115
59,-1.5554404,-2.0898268,-0.44967705,0.33361635,-5.913335,2.6661162,0.4509772,-1.5713879
60,-1.2620864,-2.0898986,-0.16901344,0.16122456,-5.4808726,2.434282,0.37565607,-2.1621697
61,-1.0931582,-1.8889754,-0.54758394,0.26982674,-4.8198147,2.1163368,0.2529256,-2.1288817
62,-1.2121999,-1.7426364,-0.9673471,0.49157238,-4.225148,1.8034093,0.28204668,-1.8359331
63,-1.5136685,-0.83560324,-1.656636,0.79889035,-3.4912758,1.2506199,0.53661835,-1.0842965
64,-1.3880365,-1.058059,-1.5615299,0.6039324,-3.1187623,1.2346264,0.4727304,-1.3127416
65,-1.2795854,-1.4767224,-1.8684711,1.0129635,-3.5389423,1.348891,0.17485133,-1.3970816
66,-1.5017726,-1.1945071,-1.8205229,1.1888146,-3.7233233,1.2265024,0.47267073,-1.2312651
67,-1.8450079,-0.9923785,-1.9522296,1.676535,-4.2881956,1.1608787,0.7276316,-0.8770952
68,-2.2706292,-0.34721354,-1.9664186,1.3874253,-4.31189,1.2669971,1.1295344,-0.18342184
69,-2.6716185,-0.5089209,-1.962164,1.9589767,-4.900677,1.2022809,1.3891649,0.065704316
70,-3.2685983,-0.70335793,-1.8396963,2.7067406,-5.8499866,1.1985629,1.8030581,0.5004096
71,-3.9834406,-0.8944292,-1.7816416,3.4652505,-7.2460074,1.4767045,2.125157,1.1962941
72,-4.518822,-0.99642503,-1.4687645,3.605322,-7.4787583,1.5164264,2.5477805,1.615103
73,-4.6134768,-1.5317956,-1.3042988,3.704014,-7.4098473,1.5355458,2.586023,1.5778903
74,-5.179836,-1.5508155,-1.72551,3.5640073,-7.487357,1.7919056,2.6540828,2.7594464
75,-4.6759768,-1.6776304,-2.4050095,3.5025594,-6.276617,1.4827576,2.1664433,2.7027843
76,-3.6755607,-1.8009039,-0.77725315,2.266575,-4.653192,0.8289524,2.208511,0.5155318
77,-3.6588001,-1.5584697,-0.72518045,2.3843615,-4.908595,0.7831657,2.1708906,0.28135398
78,-3.8756168,-1.4094757,-1.2350589,2.731069,-4.8302608,0.65570134,2.1577084,0.5112511
79,-3.5481641,-1.484007,-1.9635555,2.7931712,-4.3901134,0.6646778,1.5928524,0.612075
80,-3.219451,-1.5798342,-1.8859346,2.6200626,-4.519018,0.8453402,1.178586,0.08062269
81,-3.107051,-1.8231745,-2.9850218,2.4930465,-3.4982266,0.9532999,0.5230666,0.30662987
82,-3.284201,-1.5282282,-3.586218,3.1469285,-4.2762346,1.1372983,0.141437,0.26089936
83,-2.5900202,-1.5447564,-3.1525254,2.4300606,-4.0601916,1.2756869,-0.35479534,-0.82838356
84,-2.8239975,-1.7133938,-2.8484395,3.3555226,-5.7302117,1.3166028,-0.40470755,-1.6963509
85,-2.6998591,-1.5687407,-2.233305,2.3874114,-4.894242,1.3871564,-0.13257818,-1.5206017
86,-2.7772121,-1.1819886,-1.6413063,1.7852131,-5.250644,1.6218761,0.16682842,-1.5572021
87,-2.7697852,-1.6282969,-1.0667615,0.96315503,-5.371487,2.2439854,0.06534895,-1.7186131
88,-2.8369324,-2.324349,-1.4577883,0.8772543,-6.279632,3.014873,-0.5309798,-1.4736524
89,-2.9577954,-2.4569256,-1.6387707,0.96538955,-6.9774494,3.3165565,-0.6730718,-1.3454808
90,-3.0909705,-2.1053596,-1.8123604,1.0566796,-7.125002,3.1623006,-0.6332217,-1.0573438
91,-3.1893747,-2.180711,-1.982326,1.1042156,-7.4694405,3.2912257,-0.7691376,-0.8892702
92,-3.0457358,-2.072653,-2.0212111,1.1748306,-7.2101684,3.0265086,-0.8848114,-1.1087031
93,-2.9847944,-2.5446188,-2.0060728,0.9746332,-6.853804,3.0651233,-1.159929,-1.3221978
94,-2.856304,-2.9478002,-1.8299735,0.56763506,-5.6313987,2.791261,-1.2880707,-1.6977652
95,-3.055886,-3.1438787,-1.8849307,0.86813676,-5.5248337,2.629359,-1.1421889,-1.6773413
96,-2.943479,-3.2306013,-1.2874897,1.2922046,-5.444405,2.1463683,-0.6361784,-2.4383156
97,-2.995794,-3.4259489,-1.0979027,1.8138934,-5.8313384,1.9549038,-0.51097876,-2.949815
98,-3.0218618,-2.9028609,-1.506774,1.9168143,-5.806873,1.7687585,-0.5344567,-2.7987037
99,-3.2278895,-2.720742,-1.6214755,1.4254439,-5.2433567,1.7380588,-0.3310665,-2.2094152
100,-3.5291762,-2.0363157,-1.7440165,1.0683855,-4.470025,1.3201056,0.08002565,-1.6183995
101,-3.9803367,-1.5909598,-1.8043625,1.5214047,-5.0420523,1.2192602,0.60899013,-1.0331221
102,-4.5454254,-0.8167075,-2.1079586,1.8943393,-5.604782,1.1712544,1.1143068,-0.21913911
103,-4.5672317,-0.5881314,-2.636154,1.6461066,-5.502145,1.2807031,0.9396032,0.21704985
104,-4.6878676,-0.6789799,-3.0816185,2.0332632,-5.3004622,1.0614339,1.0267408,0.6426215
