frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-6.442246,-5.0409827,-3.5112638,-5.3973546,-5.9330373,0.83211887,-0.48517168,4.158108
1,-6.5756516,-4.739187,-3.4565163,-5.733568,-6.089102,1.080122,-0.5534303,4.1269197
2,-7.3515983,-5.27421,-3.993733,-6.2868633,-6.793845,1.1791712,-0.7846871,4.6545734
3,-8.114714,-5.112091,-4.4829016,-7.281239,-7.699668,1.9633005,-1.2640152,5.3495145
4,-7.818556,-4.5700464,-4.347022,-7.178179,-7.499751,2.2636774,-1.3610194,5.1462846
5,-7.0128155,-4.267075,-3.7666347,-6.392485,-6.71507,2.0130725,-0.9428049,4.4870005
6,-7.4831567,-3.8560476,-4.0597997,-7.153581,-7.3026876,2.6545985,-1.2582934,4.706963
7,-7.0053144,-3.5437725,-3.8932917,-6.7713304,-6.8370533,2.5588038,-1.3121142,4.5206203
8,-6.7895656,-3.7524993,-3.7768054,-6.4475484,-6.569206,2.2475681,-1.1444077,4.4370995
9,11.473655,1.3560932,-12.608276,-5.298584,-1.1741512,-3.2492309,-1.9960163,-15.250516
10,3.7494576,1.3886715,-3.5079434,-1.4170295,-0.33352035,-0.15958993,-0.007045567,-4.352293
11,0.4921531,0.111570574,-0.7301341,-0.50067616,-0.06968931,0.21940513,-0.07752162,-0.41355348
12,0.25619957,-0.09642927,-0.4362211,-0.4391029,-0.15973583,0.38749307,0.05415067,0.18228799
13,0.429662,-0.1370691,-0.44913965,-0.26633063,-0.05799549,0.3322158,0.08977705,0.026513144
14,0.4238678,-0.17334005,-0.42626464,-0.24730024,-0.081629016,0.36632836,0.11910823,0.12832288
15,0.39000767,-0.24305111,-0.50890625,-0.16624272,-0.05896858,0.41049212,0.024542004,0.21060285
16,0.48256788,-0.238238,-0.47879744,-0.15575331,-0.07185673,0.38498938,0.12981603,0.15053555
17,0.4634652,-0.27905825,-0.51671964,-0.13809103,-0.05014343,0.3475517,0.09200278,0.17504764
18,0.539964,-0.30319163,-0.539294,-0.15831313,-0.066587515,0.26306266,0.165702,0.1088477
19,0.50377864,-0.32981443,-0.611954,-0.18855171,-0.07439063,0.22442755,0.110307515,0.11576858
20,0.5242681,-0.3464185,-0.62445015,-0.2393907,-0.09412707,0.12799871,0.16286932,0.06396419
21,0.49686447,-0.36878982,-0.64527994,-0.2793089,-0.098425336,0.061022907,0.15351641,0.062449005
22,0.473521,-0.37564895,-0.69211125,-0.3017571,-0.0954761,0.043638527,0.10105538,0.07150795
23,0.49478254,-0.39692488,-0.71360636,-0.2947268,-0.0673485,-0.0016684607,0.0925481,0.025543906
24,0.50152075,-0.34809783,-0.7567906,-0.35665673,-0.10169587,-0.019050322,0.09189606,-0.012074441
25,0.51818514,-0.34389406,-0.74977976,-0.39336568,-0.08972388,-0.09899649,0.11210737,-0.07369384
26,0.5576399,-0.39068228,-0.6786602,-0.37781715,-0.07054315,-0.17725654,0.19996762,-0.08668703
27,0.5948529,-0.39320728,-0.6674001,-0.3761724,-0.069844894,-0.2111836,0.24421944,-0.13836409
28,0.5940932,-0.41078812,-0.64226747,-0.3816272,-0.059450857,-0.25450158,0.26710516,-0.15823065
29,0.487228,-0.51259583,-0.519614,-0.39256832,-0.013509043,-0.33491224,0.26955557,-0.046429724
30,0.473116,-0.52481216,-0.4491362,-0.40404117,0.0076883286,-0.37349254,0.29888576,-0.05183202
31,0.44447857,-0.49568936,-0.45744646,-0.39473265,0.05778791,-0.3786657,0.23155585,-0.13028108
32,0.40470693,-0.4408513,-0.40935233,-0.38175374,0.071839586,-0.33071178,0.21545362,-0.11670728
33,0.19435847,-0.33735898,-0.5262122,-0.5181589,0.045215674,-0.23873462,-0.05754572,-0.05820331
34,0.26044667,-0.28448996,-0.27762213,-0.46296507,0.03882013,-0.18958952,0.1558752,-0.031059831
35,0.17893668,-0.12520105,-0.17122053,-0.6405537,-0.06738665,-0.025786683,0.20009066,0.003268525
36,0.12330728,0.019220978,-0.11925894,-0.8471848,-0.18023929,0.08777486,0.26732934,0.009598829
37,0.026066214,0.21668956,-0.10544615,-1.0891871,-0.28195164,0.22693779,0.25243777,0.0059055537
38,-0.08523498,0.3837449,-0.1090444,-1.2662731,-0.3442171,0.38303304,0.18507491,0.02199994
39,-0.18700069,0.45495445,-0.07896828,-1.3634151,-0.3855875,0.5226095,0.1614789,0.12034984
40,-0.26191103,0.49877143,-0.07294425,-1.4059587,-0.42078844,0.66366243,0.12459156,0.22389849
41,-0.31442893,0.49105567,-0.09104588,-1.3929223,-0.4361835,0.72683936,0.08314821,0.29262727
42,-0.32227793,0.50877756,-0.11250801,-1.391556,-0.44712448,0.75914866,0.06295082,0.32622582
43,-0.30602598,0.4814707,-0.13790783,-1.3071792,-0.42316842,0.79466236,0.036757708,0.35540533
44,-0.24377015,0.46880072,-0.17271027,-1.2138666,-0.38840833,0.8029309,0.017235875,0.32661211
45,-0.14450416,0.44970036,-0.21769494,-1.1022732,-0.3419898,0.7791312,-2.9921532e-05,0.24039574
46,-0.03286086,0.38550684,-0.26515013,-0.8937031,-0.25289738,0.7556774,-0.038000673,0.16933095
47,0.078410916,0.24068785,-0.3265002,-0.62676334,-0.13704884,0.71723425,-0.09194508,0.14691398
48,0.13912305,0.081522726,-0.37224728,-0.42859867,-0.052246667,0.6611477,-0.13401133,0.18260404
49,0.2916502,-0.08189173,-0.42025366,-0.24927683,-0.011326447,0.52763563,-0.072060645,0.16221851
50,0.32609653,-0.19956517,-0.4959339,-0.12293753,0.070284925,0.40957117,-0.14396566,0.14866252
51,0.45631656,-0.26255944,-0.6069575,-0.12554552,0.07246773,0.25806785,-0.0747965,-0.005358152
52,0.41153705,-0.27257866,-0.8728278,-0.29961103,0.038633913,0.068052,-0.22866148,-0.16456868
53,0.57587296,-0.35784614,-0.88359433,-0.27974075,0.003794141,-0.055452213,-0.025871903,-0.27602094
54,0.6023395,-0.39323413,-0.86453897,-0.2906778,-0.026780568,-0.09031366,0.045585096,-0.23935287
55,0.631158,-0.41623557,-0.84525955,-0.2786758,-0.035642236,-0.097800314,0.097895175,-0.21728204
56,0.7278891,-0.5146941,-0.88200295,-0.27242753,-0.04188884,-0.18753286,0.17465991,-0.28575826
57,0.8686246,-0.6023208,-0.9764863,-0.32158884,-0.07224428,-0.30415523,0.25973535,-0.40972555
58,0.8506691,-0.62685585,-0.9616512,-0.3356822,-0.07015561,-0.33517188,0.26067433,-0.38184828
59,0.83266526,-0.64855754,-0.9265501,-0.35675186,-0.064849116,-0.37814432,0.278145,-0.3673193
60,0.7672949,-0.6819738,-0.86464405,-0.3621538,-0.029020846,-0.42400903,0.2541259,-0.32859093
61,0.63721585,-0.72362685,-0.7368793,-0.34931636,0.015088964,-0.43360204,0.2282324,-0.2075571
62,0.63206303,-0.70433307,-0.723134,-0.31372523,0.048590373,-0.4030509,0.20712009,-0.2512229
63,0.63486207,-0.60834354,-0.7106601,-0.29911366,0.051898755,-0.35959864,0.21530837,-0.3370372
64,0.5485735,-0.594309,-0.6730129,-0.26199222,0.11837014,-0.31719083,0.11741945,-0.31509125
65,0.4968709,-0.5038212,-0.5725696,-0.22793739,0.12419941,-0.21509762,0.12769869,-0.22594841
66,0.4218755,-0.405471,-0.55868274,-0.23194982,0.15252179,-0.14338447,0.037580043,-0.21856068
67,0.40865234,-0.26597795,-0.5127603,-0.26170322,0.1547913,-0.06770854,0.032491148,-0.27754027
68,0.3702281,-0.0098211095,-0.4694468,-0.45931122,-0.008966044,0.13548476,0.053899586,-0.31432194
