frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-1.8697925,-1.8177456,1.1951858,-2.065671,-3.8934383,3.109655,4.173441,2.611485
1,-1.2119129,-0.99282897,-0.27679148,0.118158355,-3.8024404,1.2479012,2.6079364,-0.27997014
2,-1.641263,-0.24509217,-0.6261855,0.4084629,-4.37436,1.1414331,2.7301652,0.1219794
3,-3.0923955,0.6306063,-0.46078578,1.4086653,-6.989147,1.4993656,3.5512702,1.1869066
4,-2.5849268,0.0700271,-0.5052441,1.3607551,-6.1049824,1.208458,3.1898854,0.5997819
5,-2.4280028,-0.1663698,-0.85704416,1.3276674,-5.259841,1.1357045,3.1073093,0.8855872
6,-1.990567,-0.17812315,-0.8924749,1.143307,-5.2580085,1.1445996,2.6943688,0.26681352
7,-2.2335052,0.070984825,-1.5488017,1.6242067,-5.600077,1.1930774,2.5890856,0.85992837
8,-2.197282,-0.14129815,-1.5972363,1.8894379,-5.747168,1.2120899,2.5477364,0.8989502
9,-1.949774,-0.7562772,-1.6109995,1.6867374,-4.998183,1.2220966,2.4608598,0.9191785
10,-1.5297494,-0.14081027,-1.7040814,1.0201293,-4.428059,1.126068,2.208894,0.44446242
11,-1.6498795,-0.27132142,-2.1436882,1.7469645,-5.234809,1.2662959,1.99884,0.6057457
12,-2.0895457,-0.36234772,-3.407024,2.736753,-5.538901,1.238766,1.6670498,1.5501703
13,-2.2476304,-0.27048755,-3.825856,2.4175694,-4.8249454,1.2484039,1.7133901,2.0881805
14,-1.9866016,-0.30760568,-3.540797,1.8923782,-3.9041605,1.0732925,1.8142834,1.7941583
15,-1.5539525,0.0017090812,-2.9962668,1.2692314,-3.3335268,0.959982,1.9206187,1.2121999
16,-1.1879282,0.010682777,-2.1568236,0.5400499,-2.7258255,0.8232497,2.1568322,0.5596161
17,-1.1749587,0.054190934,-1.7847345,0.20349842,-3.2208576,1.1366851,2.2675295,0.51356256
18,-1.060601,-0.0071188807,-1.8154837,0.18338229,-3.5931091,1.3280609,2.0831964,0.38381803
19,-1.1894186,0.5775567,-1.4172117,-0.0072948374,-3.7948585,1.2584548,2.4027016,0.32665932
20,-1.1471258,0.47107586,-1.4429778,-0.05508657,-3.676032,1.2921954,2.3828633,0.40864888
21,-1.1600121,0.8332975,-1.5078241,-0.25673416,-2.7709334,1.0312053,2.6725326,0.66405714
22,-1.0858266,0.68970144,-1.5473882,-0.2188296,-2.8665624,1.050834,2.52986,0.5221336
23,-1.3043592,-0.41999534,-1.3796036,-0.25272265,-1.9022173,1.0734048,2.7900848,0.8396367
24,-1.2460086,0.17234713,-1.2364411,-0.4359661,-2.0522797,0.95471406,2.8462505,0.6333965
25,-1.1867701,-0.15035549,-1.3537021,-0.37295374,-2.1085086,1.0745387,2.6447842,0.6859355
26,-1.0147272,-0.4055198,-1.0828899,-0.10557558,-3.129665,1.2780817,2.462673,0.33656913
27,-1.0533304,-0.19204524,-1.0639695,0.07105813,-3.670787,1.2769675,2.3487034,0.1258517
28,-1.1680057,0.1330122,-1.2010822,0.68675464,-4.285785,1.0676643,2.2679708,-0.019878954
29,-1.0571963,0.13821486,-2.4619184,0.58248705,-4.4789147,1.6286378,1.4532274,0.5923848
30,-0.4000126,-0.11539639,-1.7578282,-0.32934377,-3.1622558,1.4900426,1.3722563,-0.36770824
31,-0.41677868,-0.072780825,-1.5407205,-0.5159392,-3.0153875,1.4690447,1.5106618,-0.43179667
32,-0.77878654,-0.02741038,-1.4705268,-0.59744835,-3.0004447,1.5557358,1.8296505,0.037230708
33,-1.126422,0.36567593,-1.2350922,-0.72954667,-2.7341096,1.3786765,2.2876832,0.2688633
34,-1.7918935,1.0961447,-1.7476541,-0.37944922,-3.149514,1.2909397,2.4883387,0.9009522
35,-1.6219268,0.8130288,-1.58937,-0.4053685,-2.9408207,1.2661419,2.4715765,0.7452345
36,-1.6606905,1.390199,-1.454096,-0.4407871,-2.7888644,0.99734634,2.686766,0.60432494
