frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-7.1628413,7.161362,2.3511906,-5.720264,-6.8681574,5.7681227,5.307274,6.497291
1,-6.18222,3.7134166,2.3737862,-4.486568,-5.264058,5.388825,4.8561687,5.0003715
2,-1.463232,1.722204,3.333589,-3.4154842,-2.666771,3.3273156,3.299669,0.84975636
3,-1.4063516,-0.17936844,0.6258371,0.7677789,-2.6791725,1.5439901,1.5216722,-0.449889
4,-1.1744143,-0.05184182,-0.3371547,0.7554667,-2.0220776,1.4931912,0.7808104,-0.40717718
5,-1.6792552,0.110575676,-0.49591568,0.8477229,-2.1226716,1.4292632,1.2269143,0.52048564
6,-1.6016519,0.40504292,-0.7618017,1.2076255,-2.4916103,1.3545691,1.0475357,0.28351885
7,-1.5515323,0.3354324,-1.3386372,1.1868513,-2.3957565,1.6009104,0.7596205,0.7269027
8,-1.5820143,-0.013418645,-1.2276621,1.3836321,-2.4252875,1.4973717,0.813482,0.659907
9,-1.4925852,-0.24178682,-1.182033,1.4281367,-2.4845724,1.5369617,0.6861005,0.46546274
10,-1.6176009,-0.5248487,-1.1745073,1.5079972,-2.1122127,1.410077,0.86895317,0.6612983
11,-1.6614282,-0.061861027,-0.77717316,1.503959,-2.7665675,1.3811579,1.0541637,0.33938977
12,-1.9454074,-0.18711609,-1.7586027,2.0093825,-2.8590283,1.5047816,0.8274266,1.2761707
13,-1.7174675,0.009997867,-2.102217,1.9132339,-2.652971,1.5289271,0.5253153,1.1938092
14,-1.5652213,0.08163516,-1.9746646,1.8461077,-3.117213,1.6442522,0.44332892,0.9454659
15,-2.170572,-0.19081984,-2.2107933,2.653908,-3.848713,1.5847616,0.7082955,1.6127613
16,-2.091162,-0.043615136,-2.2992747,2.2243557,-3.2372296,1.5578411,0.74069184,1.7352493
17,-1.7822509,0.0854215,-2.344644,1.8537112,-2.8762078,1.5813248,0.57912207,1.5594879
18,-1.7788508,0.19547161,-2.7899737,1.7152185,-2.566657,1.6702719,0.37590498,1.8752468
19,-1.6632178,0.34952673,-2.047505,0.9264112,-2.4522612,1.7802439,0.7212535,1.4373723
20,-1.67852,0.17535502,-2.0050654,0.91850966,-2.1226032,1.6667427,0.80820715,1.503176
21,-1.3573875,0.20416063,-1.4893225,0.5124755,-1.6836935,1.4602488,0.8981838,0.87146294
22,-1.1923478,0.2673274,-0.9516457,0.49979925,-2.1188126,1.3887767,0.9369524,0.21021324
23,-1.3308396,0.30041456,-0.6904703,0.3642823,-2.2414646,1.4350673,1.1405044,0.25445208
24,-1.4559863,0.5737176,-0.60918343,0.27218175,-2.5431187,1.5029222,1.2620754,0.33655304
25,-1.5054345,0.4967924,-0.63834405,0.43832618,-2.8176363,1.537481,1.2684841,0.41590688
26,-1.4285986,0.47587094,-0.6397955,0.41648623,-2.8050733,1.54936,1.214525,0.38372314
27,-1.1222558,0.26796946,-0.50189346,0.41379097,-2.5696745,1.417637,1.1236624,0.03718304
28,-0.946701,0.050892442,-0.5817563,0.5670062,-2.665995,1.3674666,0.93696,-0.16407077
29,-1.0747037,-0.09923517,-0.8365816,0.8307457,-2.675869,1.2951787,0.89792484,0.053299747
30,-1.2240133,-0.091580935,-1.1124929,0.90397674,-2.6495576,1.348422,0.91752964,0.43992466
31,-1.2498214,-0.03298311,-1.0622693,1.0425305,-2.8397834,1.2682275,0.92058927,0.30316105
32,-1.2447269,-0.09581414,-1.1967438,1.0959063,-3.0048785,1.3612933,0.7979779,0.31504756
33,-1.2770059,-0.050615292,-1.3377002,1.2264634,-3.0468793,1.3128603,0.7306967,0.31374526
34,-1.2236998,0.096382946,-1.485416,0.96038204,-3.1088088,1.4604985,0.5319662,0.24965942
35,-0.8774199,0.13800578,-1.4101024,0.4247306,-2.3706424,1.4601578,0.39061984,-0.05582823
36,-0.79691964,0.08580431,-1.1673834,0.36430684,-2.2594128,1.4420865,0.43958336,-0.31334606
37,-0.8026478,-0.04271875,-1.0660117,0.3733057,-2.4905941,1.5359653,0.4143331,-0.405641
