frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.2583578,-7.346856,1.3954861,9.996827,-33.333126,-7.3954372,-0.7866039,8.609018
1,-3.1509244,-8.617139,0.9113237,9.829854,-30.898184,-8.701103,-1.3003544,8.277251
2,-2.235314,-8.919724,1.4040724,9.226313,-31.008488,-8.197096,-1.9806725,7.6290236
3,-1.6412604,-7.291139,1.5493879,6.3114643,-27.401428,-8.185128,-2.2518384,8.602642
4,-1.5760527,-7.5542493,1.6444077,7.1423736,-28.876415,-8.318661,-1.816644,8.473841
5,-1.5892897,-6.172465,1.794107,5.8459797,-28.012653,-8.263954,-1.5985581,9.029071
6,-0.65546906,-2.7855852,1.0629414,1.8932542,-24.112494,-7.827237,-1.7456229,10.848956
7,-1.0376809,-0.456483,0.50297916,0.84882295,-22.838495,-6.7755837,-1.9312462,11.872649
8,-0.66603136,-3.9332194,0.89906,4.0762587,-25.096083,-8.835904,-1.4187647,9.526058
9,-10.467465,0.2865868,8.339122,-3.2866871,-25.743168,-6.262308,6.0479145,12.416571
10,-10.949813,2.2476342,8.388206,-1.7943263,-27.455397,-7.1850133,6.0512056,12.038574
11,-1.7612598,1.7095717,1.2130804,3.9597507,-6.3353996,3.753348,-0.24018385,0.3573751
12,-3.0149717,-1.8296354,-0.8254874,11.035124,-8.040181,2.0978336,-2.2417743,-3.705022
13,-2.7695727,-2.988783,-0.5477636,11.322191,-7.7051253,1.9192263,-2.102611,-3.0882425
14,-1.7394948,-1.2749925,-0.14909403,8.933538,-6.0801687,1.7287135,-1.4944204,-2.1084237
15,0.70182425,-0.42958546,0.8046367,4.6281734,-3.384465,2.5111587,-1.5350354,-0.010883089
16,0.83061486,-1.1249326,1.3284991,4.455031,-4.068979,2.7400353,-1.4381205,-0.2803918
17,0.36498588,-1.863154,0.4786711,5.2674904,-5.0734596,2.9368343,-1.9703184,-0.08431195
18,0.6357656,-1.8099464,0.82649446,4.822204,-4.298184,2.8769526,-1.9634506,0.012873575
19,0.6216608,-2.354491,1.0800313,5.2695904,-5.0889835,3.0459378,-2.104149,-0.57326245
