frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.2741814,0.31525072,2.3976674,1.9303416,-5.7569494,0.66736746,-1.7047849,1.8631366
1,-3.2679315,0.30777118,2.434698,1.931066,-5.8032713,0.66397995,-1.7206595,1.7796341
2,-3.26485,0.26327828,2.456636,1.9684392,-5.9125133,0.6924031,-1.737365,1.7184002
3,-3.266671,0.18251738,2.4576209,2.2096636,-6.1615953,0.690471,-1.7465957,1.6469188
4,-3.2890549,0.3202961,2.5751297,2.0986037,-6.1390176,0.66396767,-1.6871867,1.5750376
5,-3.2618074,0.19851106,2.562826,2.325631,-6.346864,0.6686398,-1.7515005,1.5043404
6,-3.2401788,0.086067975,2.5853465,2.2411854,-6.1300926,0.6422152,-1.8334032,1.4782512
7,-3.229843,0.03195978,2.5962317,2.194297,-6.05961,0.65711397,-1.8785349,1.5008488
8,-3.2080235,0.01586289,2.6029892,2.25034,-6.1115355,0.6597932,-1.9117483,1.5192146
9,-3.188414,0.059599236,2.6107032,2.1805768,-5.890136,0.6057307,-1.9339637,1.5970409
10,-3.190051,0.050882176,2.599518,1.9512494,-5.584486,0.6355842,-1.9759873,1.7616756
11,-3.1893353,0.07319097,2.6214483,1.7895588,-5.3716874,0.63768274,-2.0139148,1.7800362
12,-3.216767,0.07656561,2.6665294,1.7147123,-5.332635,0.6526607,-2.038622,1.7147118
13,-3.2088752,0.030274138,2.8617926,1.42137,-5.294249,0.7591697,-2.0624568,1.5843414
14,-3.1527038,-0.0907599,2.9379854,1.3776532,-5.3970666,0.84570575,-2.1761765,1.3652258
15,-3.128717,-0.15365842,2.9829419,1.4264629,-5.420786,0.87573004,-2.1896067,1.2846634
16,-3.1685233,-0.116269335,2.937137,1.4472065,-5.420112,0.874578,-2.1971426,1.3460813
17,-3.1996868,-0.033016127,2.867401,1.5458899,-5.470539,0.85356677,-2.1713064,1.4255782
18,-3.347335,0.16782834,2.8222744,1.4589832,-5.411345,0.8462674,-2.0525193,1.685724
19,-3.4868789,0.29938275,2.7883916,1.5130775,-5.3948193,0.80392647,-1.9330469,1.8672383
20,-3.6036386,0.3841418,2.6643186,1.565234,-5.437049,0.8009505,-1.904811,2.067544
21,-3.686809,0.4568214,2.6067746,1.4844717,-5.3955064,0.82651496,-1.8955966,2.2136285
22,-3.7093267,0.5133954,2.5490131,1.323282,-5.2796693,0.8594982,-1.9407178,2.3485088
23,-3.716895,0.5853629,2.47352,1.1518041,-5.100739,0.86125857,-2.0208254,2.5123758
24,-3.7755053,0.560279,2.527571,1.1489865,-5.08885,0.8035663,-2.002514,2.5297844
25,-3.8308382,0.61833894,2.5045364,1.1588337,-5.228307,0.81459016,-1.9988598,2.594085
26,-3.6906977,0.41482088,2.3913553,1.5890956,-5.475924,0.7092503,-2.164115,2.3786156
27,-3.5963047,0.2542322,2.2591686,2.2323227,-5.979318,0.647927,-2.239469,2.2267451
28,-3.5785267,0.19260237,2.2986677,2.2752266,-6.016397,0.6354737,-2.2265973,2.1729305
29,-3.6350813,0.18002409,2.356928,2.1204152,-5.856161,0.6209554,-2.1546519,2.2474034
30,-3.778036,0.13507068,2.1051445,2.487565,-6.055441,0.52520233,-2.1626465,2.3979046
31,-3.9541202,0.25945342,1.6583558,2.6338682,-5.902606,0.44384062,-2.2423022,2.9521954
32,-3.931953,0.14732851,1.4646819,2.657027,-5.7887287,0.44851607,-2.392006,3.0717983
33,-3.8997688,0.24076378,1.6095388,2.3741112,-5.9813914,0.55904865,-2.3843849,2.882169
34,-3.8977735,0.49274406,1.6665113,1.9099039,-5.725113,0.61465925,-2.320846,2.945183
35,-3.747044,0.5711386,1.5134689,1.6785833,-5.39749,0.60796386,-2.5193155,2.910664
36,-3.6008224,0.6406002,1.384396,1.5315566,-5.1448584,0.59758,-2.676891,2.8824084
37,-3.4261308,0.43650845,1.7158252,1.3850965,-5.14126,0.6435862,-2.721115,2.4884865
38,-3.3866673,0.44511685,1.8696859,1.2585926,-5.118417,0.67014825,-2.655748,2.3886054
39,-3.5403614,0.4248748,2.2151651,1.3104534,-5.3712287,0.6852803,-2.3576043,2.2371395
40,-3.6479645,0.48784754,2.3723612,1.2871201,-5.509364,0.6936759,-2.1847637,2.2313218
41,-3.6860318,0.3008372,2.4343407,1.574117,-5.716375,0.622965,-2.1551325,2.0809472
42,-3.6724539,0.09971166,2.4899874,2.1147184,-6.3292136,0.6219551,-2.1478436,1.8024315
43,-3.6842217,0.054055825,2.4847894,2.2079577,-6.50965,0.6397858,-2.17714,1.8182685
44,-3.6970246,-0.030415256,2.5908637,2.2222908,-6.7554708,0.6854355,-2.1871505,1.7171482
45,-3.6287308,-0.30695713,2.6093245,2.2785118,-6.7587633,0.7239238,-2.3177161,1.6079454
46,-3.5381544,-0.2900622,2.6375422,1.9851384,-6.2467284,0.6417413,-2.4133081,1.5688775
47,-3.4996295,-0.28440982,2.6478164,1.9724531,-6.1456304,0.61424565,-2.4420164,1.536873
48,-3.4367073,-0.3911607,2.6900203,1.9428561,-6.087577,0.6268088,-2.533868,1.4340596
49,-3.4275837,-0.5031705,2.7079074,1.9485165,-6.15315,0.66582686,-2.5944102,1.3589534
50,-3.3732572,-0.6470759,2.8167925,1.892619,-6.2323046,0.7365047,-2.6558604,1.1677727
51,-3.4178505,-0.60146546,2.7785106,1.8711447,-6.1501393,0.72762764,-2.652223,1.2390059
52,-3.5094402,-0.5193502,2.7747686,1.8347905,-6.0878,0.69594646,-2.5992026,1.2693471
53,-3.7108483,-0.230918,2.8295522,1.5335971,-5.8533745,0.6552498,-2.4389002,1.4492332
54,-3.792556,-0.08009416,2.8326008,1.584192,-5.9549184,0.6320403,-2.3320124,1.4961238
55,-4.034547,0.27613628,2.876346,1.3259634,-5.795347,0.54606414,-2.1290169,1.7274746
56,-4.1687303,0.64480495,2.4724264,1.2796566,-5.863293,0.59265316,-2.150494,2.2585359
57,-4.2428913,0.8870803,2.2516901,1.0400255,-5.626671,0.5648595,-2.2097595,2.6291308
58,-4.2120132,0.7977098,2.0410578,1.0977864,-5.542748,0.47362062,-2.395032,2.782273
59,-4.227852,0.62330234,1.9815584,1.3385129,-5.5820117,0.31265402,-2.4840875,2.7245529
60,-4.261439,0.44402435,1.8349056,1.4314499,-5.6756434,0.337364,-2.5870278,2.8425398
61,-4.109962,0.061016977,1.5451127,2.3517113,-6.3685465,0.30211595,-2.8180313,2.642134
62,-4.0959263,0.062326536,1.5694001,2.2220328,-6.231988,0.2731676,-2.7839415,2.6937878
63,-4.0865183,0.06985414,1.7288927,2.0209665,-6.1618137,0.28189424,-2.665035,2.620083
64,-4.2174616,0.09914681,1.4289305,2.29044,-6.36559,0.2590099,-2.7302382,2.8559875
65,-4.253488,-0.024877138,1.3721339,2.3283393,-6.205134,0.17203306,-2.7645912,2.8924634
66,-4.316549,-0.05109889,0.9376445,2.6783893,-6.015845,0.02526698,-2.8985415,3.2778952
67,-4.1761956,-0.11437847,0.905618,2.6267383,-6.0396714,0.057049535,-3.0296533,3.1270657
68,-4.102611,-0.14793947,1.0664351,2.4874482,-6.0305853,0.079664744,-2.964297,2.9447024
69,-4.000168,-0.19778536,1.306441,2.1146026,-5.9289503,0.11767511,-3.0169404,2.5861332
70,-3.9077613,-0.20490073,1.4607236,1.8396099,-5.815637,0.14535303,-3.0525732,2.348976
71,-3.9919624,0.12335074,1.6914866,1.8068869,-6.3293853,0.26251152,-2.794323,2.1907406
72,-4.15243,0.14493029,1.9188582,1.7890105,-6.647359,0.36358312,-2.6067076,2.101166
73,-4.24127,0.15277515,1.980595,1.809999,-6.864848,0.4186137,-2.560505,2.1281478
74,-4.094141,-0.20459569,1.9997936,1.9521267,-6.597264,0.24235491,-2.814134,1.8103173
75,-3.9550874,-0.38354445,2.190503,1.6994064,-6.459885,0.29419467,-2.9640846,1.6501328
76,-4.036725,-0.4344211,2.3033679,1.4227498,-6.197647,0.30544448,-2.9960904,1.7935419
77,-3.8602304,-0.8692684,2.4915144,1.6096262,-6.238613,0.27352414,-3.227377,1.3305571
78,-3.7989762,-0.81672907,2.357336,1.5830235,-6.2473693,0.33191466,-3.385167,1.4271379
79,-3.8626835,-0.7022784,2.3223238,1.6380115,-6.141771,0.29398066,-3.3604264,1.539538
80,-3.888961,-0.89363754,2.6487594,1.3564448,-6.3071713,0.50348663,-3.4975042,1.135005
81,-3.921497,-1.2685063,2.751349,1.4563725,-6.4499445,0.61324364,-3.6553926,0.8682028
82,-3.9897528,-1.2440544,2.6780915,1.5063294,-6.3646607,0.6010868,-3.703622,0.9887878
83,-4.0680804,-0.974228,2.5775077,1.6329516,-6.321183,0.5048715,-3.576757,1.201961
84,-4.2759657,-0.78072405,2.6657336,1.6678613,-6.2895813,0.4076065,-3.4311783,1.2400142
85,-4.4839997,-0.2709962,2.331044,1.8524297,-6.2581177,0.30652863,-3.2617955,1.7577975
86,-4.7836194,-0.14015996,2.0474255,2.270763,-6.575518,0.24890102,-3.1622202,2.0687175
87,-4.972264,-0.06744243,1.9774431,2.5271254,-6.987164,0.3020366,-3.1179442,2.130668
88,-5.177304,-0.02648804,1.8883694,2.6686208,-7.2589903,0.36739364,-3.0987453,2.3288496
89,-5.289739,0.08306204,2.0604947,2.461466,-6.811651,0.17717353,-3.0291405,2.4679039
90,-5.6035395,0.25784296,2.1172516,1.865601,-6.3019753,0.17902431,-2.9738011,3.0501025
91,-5.644,0.40577158,1.2503189,2.5465345,-6.2184963,-0.040269807,-3.4195817,3.665818
92,-5.4073467,-0.2947734,1.472689,2.844264,-6.606753,0.13016018,-3.6371732,3.0493183
93,-5.5510273,-0.018420883,1.2464089,2.7234764,-6.5813065,0.18255489,-3.7072062,3.3973217
94,-5.537439,0.041476667,1.1581072,2.5540347,-6.5183253,0.24330266,-3.9048667,3.3865635
95,-5.5748734,-0.08059877,1.2203747,2.5909698,-6.73494,0.3284106,-3.9879284,3.1995654
96,-5.603656,-0.070125274,1.1164749,2.68034,-6.7641034,0.37026355,-4.0689116,3.298915
97,-5.5231285,-0.280055,0.8087305,3.282484,-6.587545,0.15822548,-4.365637,3.3182337
98,-5.3967795,-0.1933829,0.7848791,3.0007515,-6.4703093,0.29355195,-4.5567546,3.2599878
99,-5.4588585,-0.23314247,1.1819648,2.8728564,-6.5647054,0.3063311,-4.5241065,2.7834556
100,-5.5420756,-0.18673381,1.3003291,3.063436,-6.769431,0.3069608,-4.459949,2.6555011
101,-5.610201,0.23426402,1.8765566,2.597867,-6.5744686,0.29332453,-4.122323,2.5682468
102,-5.823485,0.25647882,2.064688,2.6641922,-6.826858,0.35648423,-3.9694357,2.526697
103,-5.8793893,0.23869231,2.607156,2.2035084,-7.0612864,0.7086496,-3.8552618,2.2450771
104,-5.753003,-0.0074713603,3.1382158,1.7644781,-7.190237,0.9895583,-3.9814377,1.7415519
105,-5.7096143,-0.17816329,3.2316835,2.0848029,-7.4875326,0.9426094,-4.1726766,1.3927435
106,-5.8116302,-0.0142934695,3.3260834,2.397346,-7.7078943,0.82868296,-4.106001,1.3105221
107,-5.726241,-0.6295874,3.3959837,2.9165223,-7.9746633,0.8217898,-4.3581347,0.88931465
108,-5.888973,-0.42906472,3.1532235,3.0929208,-8.010632,0.80672246,-4.369689,1.2404933
109,-5.79076,-0.9198096,3.5222683,2.979933,-7.8693495,0.8331715,-4.554796,0.7503623
110,-5.852553,-1.2205137,3.602018,3.0998259,-8.018826,0.92574483,-4.7077556,0.57513845
111,-5.9790144,-1.425748,3.734173,3.0487804,-8.144582,1.0644617,-4.8466654,0.38976467
112,-6.296552,-0.7775986,3.9291995,2.0037649,-7.00476,1.0405705,-4.4742484,1.1941415
113,-6.6135635,-0.59026146,3.6430302,2.122843,-7.2370024,1.117061,-4.494146,1.486355
114,-6.6519103,-0.6953546,3.4165041,2.3523593,-7.3734007,1.1349548,-4.6853137,1.5698438
115,-7.037813,-0.35612893,3.2082686,2.8812394,-7.939145,1.1314516,-4.398489,1.8671612
116,-7.4643064,-0.1723921,2.9495718,3.4467506,-8.387443,1.0831475,-4.1103287,2.3091407
117,-7.787249,-0.014453687,2.652345,3.7084978,-8.6502905,1.0337219,-4.0583405,2.6817698
118,-7.9047728,0.26080552,2.4421883,3.7911825,-8.555643,0.8846248,-4.091452,2.967116
119,-7.968225,0.3119022,1.8533953,3.9956613,-8.15405,0.6683426,-4.396182,3.5871367
120,-8.203991,0.7537668,2.0797698,3.5890992,-7.8219156,0.50902796,-4.14178,3.9424345
121,-8.299738,0.9244671,2.431563,3.5644262,-7.7995844,0.2543946,-3.995453,3.7304428
122,-8.122714,0.817122,2.180537,4.3872676,-8.317525,0.07050865,-4.1835294,3.4033484
123,-8.197223,0.8509848,2.1214762,4.208898,-8.371128,0.1609807,-4.1969433,3.5783405
124,-8.14657,0.8742503,2.0826433,3.96678,-8.27023,0.18629706,-4.3283362,3.536098
125,-8.12548,0.8566977,1.910124,3.738882,-7.9123297,0.1423428,-4.521395,3.7092931
126,-8.0356655,0.093185544,1.1048667,4.450729,-8.209354,0.2437403,-5.2386975,3.7311378
127,-7.9795413,-0.3587412,1.1531463,4.540753,-8.442087,0.4390446,-5.330865,3.568586
