frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.6006458,0.66074455,4.0400515,3.4957976,-6.9600086,0.8883434,-0.27598464,2.1766527
1,-3.283164,-0.5202332,2.3873098,5.002775,-10.021109,1.6531806,-1.6693258,1.3581104
2,-3.6299484,-1.8302088,2.5433266,5.4841084,-10.163467,1.6436806,-1.7597721,1.8580052
3,-3.6401598,-2.0330348,2.2778091,5.5978966,-10.07086,1.5182269,-2.2600908,1.703579
4,-3.5539029,-1.6155387,2.4360938,4.857966,-9.037663,1.1668266,-2.2385378,1.7469417
5,-3.2753758,-0.1084427,2.6068625,2.7751732,-6.255016,0.59260434,-2.129094,1.9636621
6,-3.585924,0.43031135,2.6843295,1.6131127,-5.4437857,0.6288801,-1.9822904,2.3702247
7,-3.6339862,0.5670465,2.7402184,1.6296613,-5.4836187,0.566443,-1.9055647,2.267123
8,-3.6929483,0.42774054,2.7223697,1.7392048,-5.6594715,0.60761386,-1.9149317,2.3049362
9,-3.7822664,0.59067285,2.735731,1.5587926,-5.646744,0.6626325,-1.8590645,2.3961349
10,-3.6912837,0.6776215,2.6514056,1.4468162,-5.4986787,0.67116344,-1.9331945,2.4201565
11,-3.5999355,0.64555335,2.5144415,1.3483908,-5.3914657,0.7175156,-2.1081238,2.4982405
12,-3.592092,0.3998963,2.5122209,1.7435722,-5.686172,0.67141193,-2.1430635,2.2830956
13,-3.48097,0.38207245,2.4739366,1.9874091,-5.843708,0.6413586,-2.1984394,2.1430838
14,-3.480922,0.33716732,2.458284,2.255819,-6.2199287,0.6639796,-2.2120478,2.0499423
15,-3.4896538,0.51300514,2.4117155,1.9288657,-5.940695,0.6612404,-2.2606742,2.1982827
16,-3.5566318,0.5276834,2.4159098,1.9691008,-6.101856,0.7059401,-2.2087486,2.2821372
17,-3.5620556,0.48114792,2.462487,1.9191937,-6.074924,0.71438986,-2.207382,2.2616262
18,-3.5688908,0.42695698,2.4910986,1.9248393,-6.1033373,0.7293275,-2.20448,2.2407305
19,-3.5105286,0.34856954,2.533043,1.837687,-5.9778395,0.7133982,-2.2787755,2.1527536
20,-3.4373481,0.15090095,2.5934088,1.9606308,-6.1286654,0.7369012,-2.3740625,1.9558072
21,-3.4726691,0.12513697,2.6342127,2.0005403,-6.2010226,0.7506246,-2.346635,1.9538463
22,-3.521834,0.112581566,2.6882734,2.0654054,-6.3156214,0.75543314,-2.301263,1.9475418
23,-3.5278778,0.0629641,2.7184956,2.2333932,-6.4443793,0.7204361,-2.314294,1.8898582
24,-3.5531178,0.09335804,2.7293458,2.312217,-6.614333,0.7541093,-2.2867968,1.9303528
25,-3.5611157,0.10863739,2.7285197,2.4212034,-6.689498,0.73488384,-2.2920723,1.9188169
26,-3.574809,0.13122231,2.732055,2.380183,-6.6198964,0.72555745,-2.300418,1.9515812
27,-3.5023603,0.0635066,2.8194742,2.3046165,-6.456697,0.69439477,-2.3639412,1.8096966
28,-3.4555662,-0.009377234,2.8282824,2.3257077,-6.40819,0.70312554,-2.4311996,1.7398007
29,-3.4725132,0.012520283,2.8270824,2.2743225,-6.3318424,0.71966684,-2.440414,1.7905681
30,-3.4498184,-0.0027405769,2.8443015,2.2066097,-6.240387,0.73601276,-2.5073872,1.7316309
31,-3.3772478,-0.12615737,2.9325018,2.1241438,-6.1298833,0.75157505,-2.6109188,1.5310564
32,-3.410261,-0.20561606,3.0571644,2.2129147,-6.1454444,0.72307897,-2.5695252,1.399206
33,-3.4263923,-0.15413791,3.047518,2.1747227,-6.1733847,0.74375397,-2.5854821,1.410946
34,-3.4117053,-0.18362625,2.972286,2.172822,-6.097451,0.7320787,-2.6662333,1.4757642
35,-3.451286,-0.07918988,2.918206,2.22219,-6.158457,0.71498513,-2.646676,1.5330074
36,-3.526237,-0.013063408,2.835783,2.4037416,-6.2984524,0.6948074,-2.5898395,1.6451482
37,-3.6775937,0.075137556,2.7091131,2.7075083,-6.6247106,0.69728875,-2.4801118,1.8602033
