frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.7068284,0.53075147,1.7364835,2.4803047,-7.240239,2.1060984,-0.5307079,2.1701326
1,-2.5331168,0.45818445,1.457254,0.90775365,-3.8578455,1.6076015,-1.4216317,1.9073546
2,-2.6304522,0.51658666,1.7086277,0.4773452,-3.6409013,1.6734238,-1.236382,1.9513179
3,-2.8498387,1.234871,1.874193,0.24352367,-3.223311,1.3011312,-1.0596823,1.9242662
4,-2.8468935,1.018824,1.9154187,0.32190782,-3.2936633,1.3502437,-0.98277414,1.9446309
5,-3.040049,0.80683374,2.2176406,0.23810846,-3.307769,1.3946415,-0.7300464,1.9326121
6,-2.9963748,0.5309745,2.1585395,0.4626555,-3.4057858,1.4113506,-0.79492015,1.9030607
7,-3.0031583,0.61206865,2.156393,0.46080348,-3.4867735,1.45042,-0.7706034,1.9445829
8,-2.931967,0.6372497,2.0271845,0.52257603,-3.4478962,1.4344344,-0.9046613,1.9315772
9,-2.9443352,0.63953876,1.9579698,0.57424295,-3.4777846,1.4502668,-0.97121716,1.9341145
10,-2.9626215,0.64640856,1.9750522,0.60544914,-3.512458,1.4558313,-0.9935168,1.8743421
11,-2.9656384,0.7073536,1.9489981,0.6720805,-3.5788102,1.4546281,-1.011153,1.855472
12,-2.9348404,0.7119676,1.8869269,0.7348085,-3.545341,1.4190136,-1.0897441,1.8166839
13,-2.9343865,0.71221244,1.8732542,0.77435255,-3.5182498,1.3896538,-1.1322192,1.7712045
14,-2.892483,0.6832018,1.7906413,0.9668559,-3.6829896,1.3770599,-1.1860425,1.7041463
15,-2.9020452,0.67832696,1.8304683,0.9241215,-3.645233,1.4032203,-1.1879386,1.7274702
16,-2.9033754,0.65247035,1.8662986,0.9139241,-3.6246202,1.4227086,-1.1861523,1.7378907
17,-2.880698,0.6307434,1.8749515,0.9935918,-3.674292,1.419238,-1.1995919,1.6971353
18,-2.9147995,0.65055573,1.9294463,0.9949619,-3.6782384,1.4213853,-1.1543666,1.7132282
19,-2.9464326,0.6702142,1.9778389,1.0112122,-3.7133722,1.4297816,-1.1133349,1.7141143
20,-2.9758239,0.6712587,2.0340362,1.029901,-3.7336175,1.4330668,-1.0795845,1.7059848
21,-2.974058,0.72114646,2.0731146,1.0514886,-3.7713292,1.4307479,-1.0402439,1.7007409
22,-3.0079937,0.748014,2.1678784,0.9556195,-3.7946742,1.4902616,-0.9562925,1.7335621
23,-3.0405502,0.75428605,2.251375,0.8763838,-3.777696,1.5238193,-0.8859904,1.7617043
24,-3.0324354,0.6956899,2.2783184,0.89422125,-3.792125,1.5455017,-0.8716707,1.7623739
25,-3.0288775,0.669117,2.287923,0.8780206,-3.7656877,1.5603093,-0.87529004,1.7776642
26,-3.0184414,0.6454909,2.2687702,0.9066052,-3.7629178,1.5634103,-0.9097035,1.769477
27,-3.0071967,0.5990032,2.2397897,0.90359616,-3.6975136,1.5665407,-0.95917,1.7793186
28,-2.9494908,0.5979682,2.1712813,0.8677719,-3.6153905,1.5805764,-1.0347118,1.8079367
29,-2.9243858,0.5995288,2.1227298,0.8858518,-3.609931,1.5926925,-1.072146,1.8286211
