frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.1968465,0.4336091,1.8984998,0.37007174,-5.056765,0.17976402,-1.33938,2.3100033
1,-3.081818,-0.011612967,2.0719614,0.7134695,-4.932543,-0.033557158,-1.4098066,1.8067786
2,-2.8542507,-0.23296297,2.0799224,0.80851436,-5.033075,0.0373182,-1.6542772,1.4348453
3,-2.7568374,-0.415246,2.1083102,1.1366172,-5.3355007,0.010546681,-1.7547067,1.1730418
4,-2.7219028,-0.58310235,2.2309742,0.9742082,-5.247555,0.077378005,-1.8338144,0.9646815
5,-2.7757905,-0.5960045,2.3123252,0.7472439,-5.1423883,0.13217352,-1.823765,0.9659747
6,-2.85574,-0.4068527,2.2285037,1.1426501,-5.40259,0.011927003,-1.6747129,1.0481024
7,-2.9435956,-0.37256396,2.2273366,1.1920199,-5.353327,-0.014684856,-1.564661,1.1570399
8,-3.1248338,-0.26010203,2.2635324,1.1989912,-5.245053,-0.13605183,-1.4161161,1.2605692
9,-3.3526347,-0.057713307,2.2413783,1.2803491,-5.2562413,-0.24034457,-1.2316357,1.4123973
10,-3.4359002,-0.034723844,2.178656,1.4844508,-5.380719,-0.2811884,-1.1831429,1.4975816
11,-3.3966308,-0.17510846,1.9515561,2.0669749,-5.9661384,-0.21707146,-1.33232,1.3833698
12,-3.4818537,-0.08384955,1.9427851,1.919933,-5.887072,-0.20158914,-1.2727284,1.5353839
13,-3.5383646,-0.0072161257,1.8679488,1.9719223,-6.025891,-0.17976277,-1.2788693,1.5804172
14,-3.5338418,-0.13521099,1.9215976,1.799274,-5.793898,-0.19664408,-1.3047518,1.592154
15,-3.5821984,-0.09252953,1.970157,1.7781595,-5.865264,-0.18575755,-1.2342142,1.6431447
16,-3.584022,-0.116318345,2.0281382,1.8114536,-5.956857,-0.21052474,-1.2161415,1.6020662
17,-3.6357422,-0.2349858,1.949284,1.7493473,-5.927723,-0.13737378,-1.2878029,1.7131617
18,-3.742257,-0.28075796,1.9889768,1.513562,-5.7081556,-0.11523365,-1.2214237,1.9042583
19,-3.7767308,-0.41090307,1.9206239,1.5922748,-5.652745,-0.14871466,-1.2694451,1.9752288
20,-3.7939026,-0.32725608,1.7991394,1.5070662,-5.3467755,-0.28772062,-1.3416127,2.0603278
21,-3.8161447,-0.32579595,1.6692163,1.5869257,-5.214259,-0.37660444,-1.398142,2.165114
22,-3.8903239,-0.3179568,1.4223326,1.8774797,-5.141684,-0.5209866,-1.4804193,2.3093495
23,-3.8793194,-0.41230997,1.3936812,2.277153,-5.6933317,-0.4681512,-1.5160297,2.0870726
24,-3.9672587,-0.49438447,1.3829057,2.753611,-6.2817216,-0.40222147,-1.4583067,1.9791791
25,-3.9617457,-0.6033268,1.3430275,2.787979,-6.113243,-0.4527391,-1.5505811,1.9110452
26,-3.885469,-0.5849905,1.4902993,2.527088,-5.985374,-0.41420546,-1.5590327,1.7581773
27,-3.8083658,-0.4306486,1.683536,2.0754726,-5.990166,-0.24634159,-1.5047542,1.6420357
28,-3.8141599,-0.20803718,1.8404068,1.6233652,-5.8364778,-0.1595381,-1.4177387,1.6957366
29,-3.7733228,-0.27011737,1.880407,1.5542148,-5.760394,-0.15037104,-1.506265,1.5538347
30,-3.8179781,-0.27677423,1.7900573,1.8230861,-6.174524,-0.079208955,-1.5623835,1.4901268
31,-3.7941926,-0.19353154,1.6721958,1.7561579,-6.205184,-0.013293985,-1.6989498,1.496868
32,-3.8344936,0.039061986,1.734718,0.8608954,-5.556406,0.072334796,-1.7507173,1.7528063
33,-3.996029,0.1851331,1.8019042,0.3063771,-5.230265,0.2134177,-1.6492964,2.1221895
34,-3.9301977,-0.15557164,1.7646837,0.63539594,-5.444424,0.22003256,-1.6992995,2.0517316
35,-3.9460967,-0.14225869,1.6312494,0.8589236,-5.456965,0.13368607,-1.8227302,1.9840186
36,-3.934357,-0.21633518,1.6524861,0.8598932,-5.4046926,0.097213,-1.9258617,1.8854107
37,-3.9042552,-0.07203244,1.6987863,0.5087115,-5.309248,0.19105633,-2.0503707,1.8559186
38,-3.973795,-0.062179513,1.8877231,0.16832092,-5.366069,0.34756243,-2.0514143,1.7889967
39,-4.019427,0.011635825,1.7784077,0.15279968,-5.3738666,0.3648989,-2.1797018,1.805998
40,-4.108917,-0.17749615,1.5879922,0.5434766,-5.6976175,0.40032053,-2.2511823,1.8327924
41,-4.0143414,-0.35034963,1.588404,0.688281,-5.6805196,0.36697304,-2.401302,1.6587394
42,-3.8653352,-0.76201475,1.7565013,0.5369125,-5.4469423,0.39016616,-2.6184385,1.3685725
43,-3.604211,-0.9590491,2.0837624,0.2507671,-5.209327,0.40648764,-2.7096071,0.9667089
44,-3.6329656,-0.8813379,2.0045216,0.26184243,-5.0720778,0.3526342,-2.7680078,1.0242425
45,-3.5658567,-0.9329201,1.8204312,1.0289427,-5.573527,0.20125106,-2.8293102,0.76185143
46,-3.862244,-0.86056805,1.9180692,1.3254877,-5.672139,0.021140518,-2.480064,0.881099
47,-4.1847105,-0.41453803,1.5674397,2.0878005,-6.358965,-0.07758402,-2.1968954,1.287701
48,-4.298616,-0.48849815,1.6096376,1.8980935,-5.976953,-0.123253316,-2.1546385,1.4058124
49,-4.4335175,-0.33762434,1.5914621,1.7897223,-5.8398027,-0.17643636,-2.0689316,1.5508552
50,-4.502346,-0.43109292,1.5501353,2.1983526,-6.2087955,-0.19151911,-2.0203643,1.565777
51,-4.557453,-0.61738276,1.5525236,2.0798407,-6.090743,-0.14233325,-2.037052,1.664375
52,-4.717591,-0.6128652,1.5697792,2.130955,-6.28329,-0.1049475,-1.9639076,1.726331
53,-4.9611907,-0.70441926,1.7532634,1.9567491,-6.061135,-0.15191221,-1.7572068,1.8831793
54,-5.052603,-1.0402907,1.9017845,2.1175957,-6.21216,-0.12456913,-1.6922544,1.9188437
55,-5.2976646,-1.1670616,2.1446223,2.3363683,-6.8410945,0.010225754,-1.422052,1.9216095
56,-5.629086,-1.0883639,1.7407204,2.8977807,-7.2504797,-0.051502883,-1.3555992,2.5218642
57,-5.5409822,-1.082011,1.6560276,2.4176533,-6.68998,-0.14284253,-1.6068665,2.4611719
58,-5.139351,-0.97330225,1.1559558,1.9212844,-5.725798,-0.30174643,-2.2415066,2.5483885
59,-5.127182,-0.8991537,1.097678,1.8492204,-5.7143054,-0.31122226,-2.334504,2.4769313
60,-5.20676,-0.90584934,0.9502485,1.9296066,-5.642643,-0.3547637,-2.3945735,2.6204462
61,-5.099898,-0.9570955,0.05378612,3.0690587,-5.5520086,-0.75059557,-2.905649,2.939899
62,-4.9896894,-0.9788847,0.21956816,2.7616675,-5.565848,-0.58871776,-2.9571116,2.676323
63,-4.9375196,-1.083207,0.09678186,3.4973,-6.4444466,-0.5044468,-3.0830064,2.365583
64,-5.0869,-1.0980499,0.4765608,2.9956946,-6.3046055,-0.42716452,-2.939889,2.2284179
65,-5.289896,-0.94648135,1.0700185,2.684357,-6.75536,-0.22487263,-2.5413249,1.876311
66,-5.302862,-0.974192,1.3956711,1.8490847,-6.1864533,-0.05506821,-2.532653,1.8510777
67,-5.429661,-0.45350203,1.4246433,1.2101277,-6.1109424,0.14383465,-2.4399114,2.0653138
68,-5.434505,-0.32535586,1.4988887,1.3308246,-6.494522,0.20569809,-2.4304252,1.8484137
69,-5.623418,-0.19600728,1.7360976,0.7856376,-6.0821414,0.22427057,-2.2908478,2.0726657
70,-5.576785,-0.237167,1.8861169,0.7056072,-6.1897044,0.26596028,-2.3594968,1.8191472
