frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-0.11138877,0.5135062,1.8978794,-1.8165739,-2.696038,2.5925112,2.9976845,0.98710525
1,-0.28304586,-0.34632185,-0.30084074,-0.046394456,-2.7108572,1.8830456,1.3973526,0.2995448
2,-0.44723362,-0.39934614,-0.26281852,-0.0028322823,-2.6768126,1.8625419,1.5600969,0.43124226
3,-0.38818812,-0.27645868,-0.30756465,0.27282864,-2.6021345,1.5914135,1.5668584,0.29754466
4,-0.52060074,-0.561954,-0.37136972,0.6068706,-3.196122,1.7162715,1.5132939,0.4065067
5,-0.4994849,0.0075787827,-0.35968134,0.85028595,-3.2725873,1.4053057,1.6444713,0.30782667
6,-0.57395434,0.42348924,-0.28582528,0.7508423,-2.9790504,1.2155259,1.8990686,0.3960946
7,-0.6382693,-0.073088065,-0.4574492,1.1551411,-3.019778,1.1675162,1.8166317,0.49040285
8,-0.7633944,0.111673534,-0.35320753,1.2439363,-3.644069,1.2796322,1.8798575,0.49408355
9,-0.8881004,0.1819678,-0.30625385,1.2755749,-4.076551,1.3896143,1.9255831,0.57884574
10,-1.0096679,0.12789011,-0.15706569,1.2886298,-4.4151044,1.4916493,2.0148544,0.5914811
11,-1.0247719,0.37481457,-0.20209563,1.0693514,-4.317169,1.4841905,2.0355372,0.75152516
12,-1.1609976,0.698233,-0.44627154,1.0612155,-4.4478736,1.5279309,2.0174456,1.0439065
13,-1.100138,0.7754251,-0.50173926,0.7275131,-3.864846,1.4837903,2.0687335,1.1617683
14,-0.9831552,0.78429294,-0.50686675,0.5942212,-3.6363857,1.4476887,2.0321991,1.0437447
15,-0.9218068,0.7717469,-0.5753331,0.46543992,-3.4396615,1.4709479,1.9929733,1.0289083
16,-0.90004075,0.63982487,-0.6796444,0.5239154,-3.3000705,1.4554663,1.9535161,1.0620466
17,-0.999571,0.70041335,-0.5790118,0.5017271,-3.5063052,1.5300832,2.0560038,1.0433049
18,-1.0418571,0.6995858,-0.578113,0.4989477,-3.5336664,1.5667547,2.0935235,1.0625966
19,-1.2423046,0.82761467,-0.46618754,0.6053513,-4.1172633,1.7101717,2.2159266,1.1060134
20,-1.0596709,0.6931181,-0.39397678,0.44274092,-3.7812917,1.6727699,2.1544945,0.89263356
21,-1.0884249,0.5384761,-0.3553984,0.60094535,-4.116585,1.743825,2.0997865,0.8084539
22,-1.1558137,0.65825903,-0.29580384,0.6877688,-4.4604053,1.7959776,2.1463304,0.82759583
23,-1.2420726,0.6613116,-0.2757431,0.78389055,-4.7679267,1.880143,2.1677377,0.88248086
24,-1.1979227,0.47565594,-0.28438747,0.71106124,-4.537578,1.8905076,2.1435318,0.91705585
25,-1.0697093,0.4057255,-0.2482464,0.6672925,-4.453132,1.8774331,2.059338,0.7697679
26,-1.0802548,0.38339895,-0.25117576,0.62139827,-4.502025,1.9484113,2.042878,0.8324821
27,-0.9553097,0.30089656,-0.22790694,0.5070691,-4.34213,1.9542083,1.9530538,0.694662
28,-0.9632105,0.36714318,-0.044144362,0.46441123,-4.547897,1.9952178,1.9909382,0.54076695
29,-0.78080416,0.17465755,0.0061167404,0.5972543,-4.441504,1.8560101,1.8534923,0.18015447
30,-0.6971326,-0.02471026,0.13068032,0.45423028,-4.2110844,1.8537424,1.812089,-0.050711058
31,-0.66603434,0.031154476,0.052392133,0.35366362,-3.8526616,1.7609624,1.8002137,0.02203305
32,-0.6035936,-0.093720175,0.06419339,0.42123726,-3.6925445,1.6587719,1.7622087,-0.14028998
33,-0.75220215,0.14323556,0.040767387,0.42530975,-3.6760535,1.5888599,1.9106361,0.03263249
34,-0.8524678,0.22857067,0.016929157,0.4713684,-3.6991618,1.5774922,1.9998806,0.12285735
35,-0.883907,0.18113044,-0.037660353,0.52306163,-3.6945605,1.5829403,2.0203772,0.1856895
36,-1.012418,0.26224908,-0.0064146593,0.6067018,-3.7862244,1.5531877,2.150759,0.27512386
37,-1.0596862,0.20477796,-0.08994591,0.6670885,-3.6916585,1.5182499,2.1917377,0.3829514
38,-1.1236293,0.15534832,-0.21755034,0.75709486,-3.5934129,1.4618752,2.2337372,0.55443144
39,-1.2206879,0.19782439,-0.22437507,0.7324223,-3.7376313,1.529198,2.326128,0.7209517
40,-1.200606,0.2279706,-0.3406152,0.74069375,-3.5785155,1.4519726,2.305666,0.76597834
41,-1.2159312,0.3753507,-0.4357389,1.0238043,-3.843422,1.3311274,2.2647033,0.7489718
42,-1.2053559,0.16583699,-0.4441418,0.80458504,-3.6826856,1.4591913,2.248902,0.8529719
43,-1.2566628,0.079545304,-0.43656614,0.6985015,-3.723026,1.5598029,2.279772,0.9700005
44,-1.2837887,0.36450472,-0.45673022,0.8224989,-4.0522656,1.4809685,2.2745652,0.918936
45,-1.1452069,0.24639666,-0.5354817,0.8952697,-4.074129,1.4472868,2.1206608,0.775944
46,-1.0497439,0.33263016,-0.7019377,0.828368,-3.7206202,1.3199744,2.0599895,0.79813623
47,-0.9254053,0.39721808,-0.7446893,0.715255,-3.503891,1.2539859,1.9965963,0.6447854
48,-0.9450695,0.5085449,-0.72162145,0.5575517,-3.6004474,1.3630846,2.0276191,0.6811209
49,-1.0924256,0.65708435,-0.8292736,0.6038394,-3.890535,1.4759231,2.060918,0.8463464
50,-1.1076791,0.6149452,-0.783522,0.57573485,-3.9012978,1.502455,2.0987444,0.7922077
51,-1.1422685,0.69249237,-0.7086289,0.49287373,-4.035617,1.5718107,2.1488771,0.72807527
