frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-2.597469,0.696735,0.8889453,1.300681,-5.07249,2.5412657,2.5914721,0.9813695
1,-2.8525238,2.2808056,0.46933815,2.1360226,-7.473009,2.855246,2.7819064,1.3178712
2,-0.8026581,0.19657359,-0.7157025,2.4008627,-3.5130172,1.6201316,1.0487057,0.18972214
3,-1.664959,-0.34488162,-0.21110135,2.270008,-4.1878843,2.294249,1.8399037,1.0076544
4,-1.8079052,-0.6240207,-1.2772739,2.4314528,-3.8221557,2.2893808,1.5234766,2.121389
5,-1.2614317,-1.0406847,-1.1657383,2.031133,-2.9749427,2.139954,1.1658736,1.4266902
6,-1.1883914,-0.7703626,-1.2420263,1.8471079,-2.5956378,2.036879,1.1938502,1.5777473
7,-0.8412001,-0.21511301,-0.5068168,0.36262235,-1.9667649,2.3205273,1.3972374,1.0929109
8,-0.8940762,0.4677349,-0.46613854,0.3955233,-2.027619,2.0646245,1.6189073,1.0869691
9,-0.97953755,0.3907991,-0.30131647,0.41598997,-2.192527,2.101927,1.7446874,1.0663196
10,-1.0556697,0.11976294,-0.2128588,0.24499343,-2.313543,2.3655913,1.8026415,1.1648281
11,-1.1733642,0.10157934,-0.13634728,0.29560748,-2.7112272,2.5346632,1.8896527,1.2555888
12,-1.1942976,0.07216333,-0.12342342,0.35502627,-2.9434538,2.601812,1.8758926,1.2485393
13,-1.3826392,-0.5917295,-0.10842486,0.7553554,-3.9329164,2.957894,1.755148,1.3019366
14,-1.4171093,-0.9732964,-0.11418609,0.8207469,-4.220182,3.1566424,1.6665314,1.3865865
15,-1.3967707,-0.66878915,0.08718284,0.47436288,-3.8536937,3.1041477,1.8666832,1.3884927
16,-1.3785741,-0.57497674,0.16741681,0.28585705,-3.7592323,3.1307724,1.8723854,1.3687038
17,-1.2887013,-0.83414674,0.26820672,0.3455507,-3.9777436,3.1946497,1.7149541,1.0715497
18,-1.1710434,-0.6180328,0.30680886,0.328711,-3.739099,3.011852,1.7034327,0.83687663
19,-0.9500258,-0.09008136,0.045502625,0.09094523,-3.1180727,2.8031435,1.5816133,0.85909724
20,-0.8499665,0.38129944,0.08122923,-0.120045826,-2.7560215,2.6370642,1.6410396,0.7513075
