frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-3.5699477,0.8454242,0.51065296,3.4662507,-8.26847,2.656359,4.1767254,-0.1681631
1,-0.45183343,0.11594549,-1.3786867,1.836142,-4.165674,2.7014823,1.7979883,-1.546234
2,-0.475544,-0.33507857,-1.0978676,1.6241595,-3.9483547,2.8918483,2.0247486,-1.3313749
3,-0.4505242,0.505062,-1.1145601,1.2151356,-2.6683707,2.4143987,2.4535265,-1.1169537
4,-0.70450246,0.3180954,-1.4371238,1.1080939,-2.7793584,2.7689698,2.4488251,-0.32599905
5,-0.4949759,-0.043247387,-1.4856637,1.2757452,-3.3383179,2.9863193,2.1174824,-0.68129015
6,-0.73764575,-0.48822495,-1.3939444,1.181107,-3.7607768,3.347879,2.1938617,-0.21298343
7,-1.1619258,-0.17593333,-1.4553943,1.1076393,-4.3777366,3.6050708,2.4721782,0.60974264
8,-1.2246289,0.10263917,-1.3940983,1.2165109,-4.957728,3.6502767,2.496808,0.5431336
9,-1.3657448,0.19760093,-1.1487579,0.75877804,-4.9337335,3.8470705,2.7347472,0.78195155
10,-1.3866675,0.004632406,-0.995877,0.8020497,-5.008177,3.8643034,2.8157532,0.7294308
11,-1.434345,0.023331285,-0.99236894,0.6679279,-4.765751,3.8377917,2.929628,0.8456868
12,-1.4101691,-0.079608254,-1.0242962,0.65165174,-4.7324796,3.8516335,2.921533,0.8349917
13,-1.3764689,0.10999511,-1.0508895,0.62032133,-4.643305,3.7396758,2.9456458,0.7778888
14,-1.3630538,0.42921415,-1.0001223,0.578547,-4.690971,3.6460497,3.0494328,0.73270786
15,-1.3937078,0.19234517,-0.9445216,0.53204226,-4.6237435,3.6873958,3.128958,0.8176044
16,-1.4557076,0.14005609,-1.0178342,0.57578826,-4.536962,3.6523025,3.2031243,0.9585295
17,-1.4646208,0.14512226,-0.902817,0.56818944,-4.3357625,3.5063083,3.3580284,0.92442966
18,-1.6275654,0.09401819,-0.8927326,0.3874902,-4.4538603,3.698839,3.50713,1.2202802
19,-1.5720017,0.24073419,-0.87905973,0.36406043,-4.292799,3.550961,3.5704236,1.1131123
20,-1.5680358,-0.020610482,-0.95024943,0.38891044,-4.369291,3.621858,3.533085,1.1418438
21,-1.5592668,0.14699192,-0.858956,0.3672311,-4.324191,3.4678392,3.6549146,1.0241625
22,-1.5826762,0.17176974,-0.8828239,0.37737462,-4.3666606,3.4207258,3.7058175,1.0218399
23,-1.6490836,0.25271177,-0.834981,0.32762086,-4.4198422,3.3908195,3.8241277,1.053398
24,-1.6952956,0.29215097,-0.7661341,0.37030768,-4.5560336,3.3228335,3.912981,0.9908383
25,-1.7698984,0.49629858,-0.7787161,0.37788624,-4.856216,3.343896,3.9852993,1.0242206
26,-1.7998347,0.50449705,-0.76252246,0.3452972,-4.901706,3.3372228,4.0402665,1.0318459
27,-1.7830453,0.50950646,-0.7867177,0.39480358,-4.910011,3.2554812,4.0602975,0.9699787
28,-1.707716,0.38203803,-0.8688143,0.37518522,-4.8211894,3.2261913,3.9975483,0.87293637
29,-1.7146845,0.40363237,-0.94993174,0.39940038,-4.9136877,3.214756,3.992061,0.8751379
30,-1.7715025,0.3080892,-1.0420233,0.45964518,-5.1806087,3.3098547,3.9740033,0.9572741
31,-1.8380592,0.30979466,-1.0760843,0.56614697,-5.3689013,3.3075485,4.0375495,1.0309851
32,-1.7971003,0.08943187,-1.133779,0.67674726,-5.267967,3.2245603,4.019622,0.9798007
33,-1.7749028,0.15694629,-1.1339494,0.6395947,-5.188928,3.1633925,4.0814805,0.9553871
34,-1.7518835,0.18533707,-1.0705786,0.58465075,-5.0799613,3.089028,4.156265,0.88754904
35,-1.7725315,0.18451506,-0.98262197,0.60864574,-5.1735163,3.0539782,4.2238903,0.82773805
