frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-0.4390323,0.61181295,-0.9320717,0.2093659,-2.4681277,1.4100196,2.349293,0.46795207
1,-0.7617116,0.37131572,-0.6431044,0.49232823,-4.309401,2.0320213,2.3666272,0.61028445
2,-0.8312753,0.5345502,-0.6218148,0.30252263,-4.194725,2.0905766,2.469827,0.79571307
3,-0.9361739,0.434162,-0.5722707,0.41191193,-4.695732,2.257603,2.4507785,0.85449564
4,-0.95342106,-0.37577108,-0.6406079,0.44581908,-4.7688074,2.5524151,2.2652454,0.93157077
5,-1.007587,-0.1206699,-0.65378225,0.37844947,-4.7519245,2.5385907,2.3284879,1.0117314
6,-0.94039226,0.25479722,-0.59695494,0.28228182,-4.525017,2.3782685,2.406532,0.8949888
7,-0.88336945,0.5939996,-0.5603404,0.059397507,-4.2252464,2.2838945,2.46361,0.82568717
8,-0.78737736,0.54977345,-0.5438207,0.0028628036,-4.0022097,2.2150373,2.4153943,0.6818812
9,-0.782172,0.3192597,-0.5446784,-0.09277861,-3.8092124,2.269881,2.4099896,0.70868945
10,-0.9229109,0.0659675,-0.55558074,-0.08200061,-3.897742,2.4147131,2.4611018,0.9116118
11,-1.103925,-0.33618402,-0.6358498,0.20044757,-4.2406573,2.5464728,2.4687703,1.1445599
12,-1.2150288,-0.32704467,-0.64126086,0.24023771,-4.2895103,2.548881,2.555728,1.274991
13,-1.2291996,0.109153956,-0.5320179,0.3527514,-4.160785,2.2511265,2.7657402,1.2021549
14,-1.2597461,0.07687956,-0.4964272,0.5130038,-4.205894,2.1544974,2.786315,1.1185644
15,-1.3435638,-0.2506943,-0.5431503,0.6546062,-4.2365613,2.1910865,2.7889216,1.2345365
16,-1.3819335,-0.47070923,-0.59980863,0.642406,-4.275738,2.3010745,2.7615132,1.3487948
17,-1.4143984,-0.42402068,-0.6018662,0.5846703,-4.3271284,2.3363564,2.7961695,1.4175762
18,-1.4067407,-0.4889332,-0.6174072,0.61222935,-4.3756404,2.3363218,2.7721746,1.4219201
19,-1.4037092,-0.56550086,-0.6729539,0.6341557,-4.326854,2.3030698,2.7536173,1.4643977
20,-1.4712563,-1.1261714,-0.88345855,1.0539751,-4.614073,2.35332,2.5784655,1.5599434
21,-1.4890559,-0.8231697,-0.8729298,1.1593585,-4.676311,2.1857057,2.6530113,1.5143367
22,-1.399719,-0.5774189,-0.8046605,0.9146312,-4.143208,1.9774086,2.770757,1.4265649
23,-1.3684106,-0.39651817,-0.6798422,0.603646,-4.0707006,2.0368962,2.8617153,1.3591278
24,-1.299787,-0.026090927,-0.6479689,0.52858955,-3.9980066,1.8911175,2.9144318,1.2289656
25,-1.2388453,0.20817396,-0.61861175,0.33250657,-4.046281,1.9320464,2.9026299,1.156844
26,-1.2113626,0.31372336,-0.65710175,0.28579527,-4.1456904,1.9696794,2.846879,1.1326618
27,-1.2411551,0.16038996,-0.7101178,0.29669872,-4.150228,2.0385911,2.8236694,1.2053349
28,-1.1963136,-0.2356319,-0.78238386,0.61467665,-4.3501096,2.0401604,2.668598,1.053505
29,-1.3305213,-0.7474812,-0.8599563,0.7468844,-4.876228,2.3820252,2.5271385,1.2475991
30,-1.4529235,-0.51857495,-0.8494633,0.884364,-5.3047047,2.4296074,2.5936115,1.3365661
31,-1.4252739,-0.38895914,-0.85593975,0.90557855,-5.241144,2.338375,2.5913599,1.2475613
32,-1.4020286,0.048224002,-0.81203914,0.76721656,-5.310009,2.297044,2.6253603,1.1934295
33,-1.2551703,0.16542746,-0.7013056,0.4769771,-4.9616756,2.2590172,2.633822,1.0610206
34,-1.2679684,0.084208354,-0.6067946,0.37207806,-4.9144425,2.3337781,2.6710532,1.0676856
35,-1.3246124,-0.38500997,-0.6357541,0.41135097,-5.2577176,2.6197307,2.5155423,1.1519022
36,-1.2254138,-0.48244143,-0.64920366,0.2918199,-5.0656295,2.6538568,2.4227803,1.0788114
37,-1.1117101,-0.3455766,-0.7245754,0.36579645,-4.825407,2.4779408,2.3462737,0.95802784
38,-0.92245424,0.19144076,-0.7305705,0.41789952,-4.6027875,2.151769,2.3067212,0.6598762
39,-0.9181146,0.18910882,-0.7985677,0.2884915,-4.380471,2.1808658,2.27775,0.7486372
40,-0.8360412,0.37601572,-0.82904196,-0.08691032,-3.913582,2.1945949,2.274909,0.78212094
41,-0.8133932,0.11949028,-0.818821,-0.22811896,-3.6883628,2.2779596,2.2403421,0.8021202
42,-0.83477944,0.13253005,-0.7818327,-0.23511285,-3.6164014,2.2493095,2.287923,0.7970791
43,-0.92051995,-0.27583852,-0.7862914,-0.12977478,-3.6784706,2.3473504,2.260825,0.8811281
44,-0.93259525,-0.24927172,-0.7852929,-0.08118409,-3.7169318,2.3316352,2.2727184,0.8876244
45,-0.9921125,0.106566176,-0.75452185,0.0077582076,-3.791525,2.1985538,2.3857083,0.9046134
46,-1.1012008,0.5574348,-0.71561646,0.106006145,-4.103002,2.1314943,2.5056322,0.9593288
47,-1.4137728,0.6409805,-0.6476091,0.16703111,-4.5003047,2.2751338,2.7213428,1.313536
48,-1.514648,0.26807493,-0.6186221,0.2105476,-4.3734903,2.3225226,2.7842512,1.4446265
49,-1.5827293,-0.22825986,-0.67788935,0.3884847,-4.301349,2.3724666,2.76479,1.5516025
50,-1.6726904,-0.48902348,-0.71559227,0.4148429,-4.442146,2.5189,2.747606,1.7244538
51,-1.7119958,-0.87307477,-0.8746829,0.6742811,-4.586681,2.5723333,2.6402817,1.8925807
52,-1.7220454,-0.85528886,-0.79777366,0.7815475,-4.528508,2.449371,2.7092285,1.8030752
