frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-2.1933002,-5.3907285,1.867938,14.408373,-21.882769,4.3420534,0.74903166,-2.9516058
1,-1.291394,-1.1060218,-0.19038084,9.400721,-10.519235,1.5441902,0.7815228,-0.92592824
2,-1.155459,-1.2345297,-0.6275536,8.888117,-10.561504,1.9693296,0.7625483,-0.21304022
3,-1.2059631,-1.9373636,-0.05866851,9.232784,-11.672375,2.2600083,0.909174,-0.45287505
4,-0.31904477,-0.47024554,0.38290653,6.6592164,-8.124384,1.7345725,1.5289047,0.08658508
5,-0.29215455,-0.36069685,-0.11190916,6.1833954,-7.1975737,1.7378789,1.4741087,0.73926985
6,-0.07273531,-0.47877863,0.07465074,5.674508,-5.225378,1.4309986,1.6612289,0.8207952
7,-0.09305844,-0.25595808,-0.065163344,6.0615497,-5.626924,1.3226326,1.5075117,0.35568228
8,0.04803413,-0.31587213,0.18265286,5.996776,-6.108502,1.5183443,1.5824507,0.2301797
9,0.2634128,-0.08821087,0.005994715,5.5613933,-5.625917,1.5658458,1.5306457,0.42168987
10,0.39216405,-0.17994268,0.16653329,5.5519905,-5.7727046,1.6082234,1.4666241,0.18985587
11,0.33593678,-0.12904993,0.09029541,5.470757,-5.6580176,1.5753813,1.5046135,0.3671615
12,0.57930386,-0.045244645,0.39719176,5.017251,-5.582262,1.6948383,1.7395182,0.47910723
13,0.6871065,0.17407528,0.4104166,4.9112835,-5.567951,1.6820889,1.7676772,0.4804155
14,0.7030528,0.36353981,0.5376712,4.9129286,-5.392545,1.5780284,1.8644503,0.44737253
15,0.77735174,0.15335336,0.5724064,4.904862,-5.5167723,1.6742651,1.8116094,0.35277247
16,0.9045915,0.005693674,0.7141794,4.7553377,-5.5188866,1.784586,1.7902465,0.22079103
17,0.8167065,-0.15874037,0.6428243,5.017953,-5.7764883,1.8193691,1.6041126,0.05393336
18,1.091409,-0.45211267,1.129458,4.7685456,-5.5538316,1.8818058,1.5492443,-0.39345053
19,1.4207942,-0.5990647,1.3028517,4.44526,-5.3926826,2.0071948,1.4757438,-0.49998245
20,1.3954484,-0.6624837,1.5311636,4.815181,-5.8562717,1.8954496,1.4310622,-0.9297011
