frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-4.509698,-3.0937822,0.52776474,-7.6650186,-4.8543925,-2.3649168,2.5113163,0.73254484
1,-5.0203605,-3.233795,0.19703785,-7.9730215,-4.7078004,-2.623995,1.8168633,1.0590452
2,-5.0470457,-3.1286135,0.17539158,-7.9482956,-4.77381,-2.4333627,1.8332443,1.0883112
3,-5.1471334,-3.1807098,0.20849891,-8.181244,-4.8663535,-2.5472543,1.8681242,1.100422
4,-5.118927,-3.2097309,0.28582352,-8.296252,-4.824094,-2.7182195,1.8813536,1.0664037
5,-5.1340494,-3.2744675,0.35901257,-8.472367,-4.8479204,-2.9024866,1.9328039,1.0415059
6,-5.0705395,-3.293021,0.37120464,-8.447744,-4.762495,-3.0174987,1.9019356,1.025732
7,-4.9885745,-3.2658274,0.35317647,-8.276934,-4.695852,-2.944258,1.8887641,1.0135206
8,-4.992617,-3.2372546,0.34734714,-8.264467,-4.702092,-2.8971565,1.8831003,1.0212979
9,-4.99856,-3.209011,0.32809466,-8.251422,-4.68781,-2.8695245,1.8469985,1.0391684
10,-5.0051556,-3.2246742,0.33403203,-8.291646,-4.7041,-2.9042587,1.8586452,1.0405983
11,-5.0706363,-3.2406898,0.3449989,-8.418524,-4.753309,-2.9545205,1.8628488,1.0486976
12,-5.118839,-3.2661395,0.33391353,-8.520721,-4.7875023,-3.0221148,1.8524356,1.0691754
13,-5.156434,-3.3060858,0.332469,-8.624918,-4.8104873,-3.1200397,1.8474357,1.0807579
14,-5.1940494,-3.3828397,0.32570538,-8.715437,-4.821289,-3.2507293,1.8372531,1.0885348
15,-5.226624,-3.3951926,0.32228383,-8.77342,-4.852599,-3.2717693,1.8425405,1.0985461
16,-5.2556105,-3.4285464,0.30682132,-8.794292,-4.8727474,-3.2924356,1.8415742,1.1064466
17,-5.2914066,-3.4567497,0.28960028,-8.81605,-4.9038277,-3.295739,1.8454428,1.1166108
18,-5.3061976,-3.4684925,0.26365027,-8.789453,-4.916556,-3.2703674,1.8411274,1.1263447
19,-5.3095474,-3.4671166,0.21922432,-8.702393,-4.921777,-3.1941664,1.8293669,1.1412408
20,-5.327905,-3.4667315,0.19900437,-8.665068,-4.9468513,-3.1322188,1.8373098,1.1483213
21,-5.354994,-3.4752178,0.18711542,-8.6643505,-4.9793878,-3.098554,1.8493578,1.1562235
22,-5.391947,-3.4396381,0.19211747,-8.681161,-5.040929,-2.9972515,1.8800383,1.1650926
23,-5.442417,-3.4187126,0.19329695,-8.706839,-5.1145535,-2.901798,1.9144483,1.1763464
24,-5.462162,-3.4308984,0.12411854,-8.533621,-5.141453,-2.7381546,1.9170539,1.1875596
25,-5.473121,-3.4421172,0.09653887,-8.410462,-5.162604,-2.6164308,1.9363158,1.180484
26,-5.50265,-3.4808562,0.092356294,-8.412933,-5.1900425,-2.6134593,1.9519258,1.1809328
27,-5.5217633,-3.5108328,0.09852823,-8.443808,-5.204226,-2.6429026,1.961271,1.180829
28,-5.5689497,-3.5443797,0.0978936,-8.510417,-5.2509294,-2.662182,1.9759774,1.1936312
29,-5.5723906,-3.5672615,0.11660562,-8.55339,-5.257156,-2.7093465,1.9898126,1.1866311
30,-5.602248,-3.590363,0.171416,-8.703412,-5.3319006,-2.7687163,2.0625625,1.179583
31,-5.6112967,-3.5922668,0.21648832,-8.796428,-5.3699675,-2.8015313,2.1093698,1.1688658
32,-5.6254153,-3.598809,0.2544446,-8.877349,-5.400818,-2.8309393,2.1442192,1.1589556
33,-5.6125927,-3.6185896,0.26938334,-8.871592,-5.3869143,-2.8558714,2.150611,1.1446964
34,-5.5688643,-3.615802,0.30542582,-8.869348,-5.366103,-2.885367,2.1766112,1.1196885
35,-5.5327706,-3.6153672,0.3306679,-8.873379,-5.3284144,-2.9378805,2.1751368,1.1032215
36,-5.4797053,-3.5932658,0.33602464,-8.814171,-5.263179,-2.9511952,2.1489034,1.0898823
37,-5.394437,-3.54711,0.33219108,-8.681077,-5.1550374,-2.9320238,2.0988889,1.0699408
38,-5.30642,-3.5336444,0.34739754,-8.606712,-5.0485883,-2.996189,2.0618804,1.0457253
39,-5.2305655,-3.488086,0.35621205,-8.5309925,-4.9810433,-2.9889014,2.0461237,1.030359
40,-5.191614,-3.4331405,0.35637537,-8.492568,-4.92476,-2.9722416,2.0073738,1.0297817
41,-5.157206,-3.376281,0.35288107,-8.437252,-4.8856907,-2.9218419,1.9826009,1.031607
42,-5.1056724,-3.3284934,0.3497302,-8.366065,-4.826701,-2.8931272,1.9511235,1.0293748
43,-5.053455,-3.300457,0.35033977,-8.306321,-4.773231,-2.8868258,1.9271653,1.0261306
44,-5.0341387,-3.2889283,0.3498026,-8.297612,-4.738345,-2.9070916,1.899493,1.0311093
45,-5.038975,-3.2709224,0.35082695,-8.322147,-4.7390084,-2.9086077,1.8900394,1.0387229
46,-5.053147,-3.278663,0.3602312,-8.389185,-4.7463536,-2.9629588,1.8869264,1.0440539
47,-5.093489,-3.3039904,0.36269706,-8.472953,-4.7739134,-3.0163863,1.8843138,1.0549592
48,-5.134464,-3.321838,0.37120318,-8.562357,-4.8236094,-3.0491958,1.9054472,1.0632159
49,-5.247268,-3.3668509,0.3677185,-8.741298,-4.9110007,-3.117772,1.9101868,1.0830681
50,-5.3307977,-3.4367583,0.33097565,-8.818535,-4.9820065,-3.1557295,1.9141474,1.1128789
51,-5.3887916,-3.474651,0.28068957,-8.823356,-5.033821,-3.1293302,1.9077616,1.1435412
52,-5.450858,-3.5023646,0.24073827,-8.856408,-5.0928564,-3.1080048,1.9045618,1.1737014
53,-5.496654,-3.5350964,0.18861909,-8.848782,-5.132318,-3.0850344,1.8911238,1.2055864
54,-5.504531,-3.553253,0.1498332,-8.792611,-5.134304,-3.0544636,1.8770974,1.2199882
55,-5.519706,-3.6015923,0.12391302,-8.765592,-5.1354427,-3.0757556,1.8696487,1.2259853
56,-5.5623693,-3.6460333,0.092380784,-8.77435,-5.1669073,-3.0853667,1.8693416,1.2401409
57,-5.662321,-3.705668,0.04660793,-8.800942,-5.264893,-3.0298398,1.8895633,1.2660036
