video_id,cluster_id
久世,2
十河,4
十河1人目リラックスVID20250616115433,1
十河1人目嬉しいVID20250616115335,5
十河1人目悲しいVID20250616115353,5
十河1人目緊張VID20250616115419,5
十河2人目リラックスVID20250616120023,5
十河2人目嬉しいVID20250616115944,5
十河2人目悲しいVID20250616115957,1
十河2人目緊張VID20250616120010,1
十河3人目リラックスVID20250616120127,1
十河3人目嬉しいVID20250616120042,1
十河3人目悲しいVID20250616120100,1
十河3人目緊張VID20250616120112,1
十河4人目リラックスVID20250616120356,1
十河4人目嬉しいVID20250616120305,1
十河4人目悲しいVID20250616120318,1
十河4人目緊張VID20250616120342,1
比嘉1人目嬉しい,3
比嘉1人目悲しい,3
比嘉1人目緊張,3
比嘉1人目通常,3
比嘉2人目嬉しい,3
比嘉2人目悲しい,3
比嘉2人目緊張,3
比嘉2人目通常,3
水谷,4
水谷1人目_リラックス,1
水谷1人目_嬉しい,1
水谷1人目_悲しい,1
水谷1人目_緊張,1
水谷2人目_リラックス,1
水谷2人目_嬉しい,1
水谷2人目_悲しい,1
水谷2人目_緊張,1
