mean_latent_0,mean_latent_1,mean_latent_2,mean_latent_3,mean_latent_4,mean_latent_5,mean_latent_6,mean_latent_7,std_latent_0,std_latent_1,std_latent_2,std_latent_3,std_latent_4,std_latent_5,std_latent_6,std_latent_7,grad_latent_0,grad_latent_1,grad_latent_2,grad_latent_3,grad_latent_4,grad_latent_5,grad_latent_6,grad_latent_7,video_id,start_frame
-1.2811435,-2.2539492,1.3125833,9.183126,-12.930495,2.3780239,1.0988709,-0.23306967,2.663443,1.6015112,0.9209068,3.5421512,5.1123796,0.5797028,1.1272492,1.0766777,0.32506192,-0.16568851,0.0033682822,-0.5131554,0.7644011,0.00779567,-0.14482272,0.055672232,久世,0
0.5520144,-2.5862277,0.86369467,6.550783,-8.185853,1.9133987,0.60479873,0.5038177,0.72227716,0.77767724,1.121878,0.83140224,1.7743661,0.4158798,0.58146745,1.7929791,0.05489741,-0.123212226,-0.07258138,-0.044809744,0.20365416,-0.014976497,-0.047929477,0.028626317,久世,10
0.251987,-3.001877,-0.23121186,7.4673223,-8.268647,1.6739105,0.29907948,0.99786353,0.5397972,0.52924454,1.9240582,0.9613619,1.9686804,0.3538396,0.98879045,1.713842,-0.064167395,-0.023349142,0.087453425,0.09622732,-0.2537248,0.018505502,0.11637432,0.0681765,久世,20
0.45737603,-3.6740556,0.08374323,7.953734,-9.312503,1.7255538,0.45628822,0.87004876,0.8831124,1.0317487,2.1130567,1.0326895,2.3766968,0.34933582,1.089696,1.726972,0.030389195,-0.14171268,0.048613228,0.16272265,-0.28205028,0.029810045,-0.06111835,-0.17445849,久世,30
0.8971072,-4.798498,0.6031815,8.664277,-10.317688,1.8380014,0.272151,0.15391171,0.94087195,1.0149127,1.6308427,1.074939,1.8289611,0.28935787,1.0308013,1.8044508,-0.006947551,-0.13735063,0.094083115,0.05646387,-0.083098784,0.014284994,0.092745915,0.08837557,久世,40
0.5692581,-5.672961,-1.2615741,10.03056,-10.479748,1.7523178,-0.022417989,1.7024581,1.1887772,0.70187885,2.4687078,1.9081372,1.4271609,0.24242081,1.1154283,2.650445,-0.06173462,-0.03825349,-0.25484073,0.30247548,-0.14988197,-0.032248028,-0.10557438,0.033399332,久世,50
0.27528408,-6.20802,-2.1570077,11.59417,-13.127769,2.1716378,0.015460381,2.5745447,1.0502994,0.89913094,2.147669,1.5721916,3.3420846,0.9618449,1.1402644,1.7981528,0.04841295,-0.08127533,-0.09213881,0.049498025,-0.31813577,0.112311795,-0.020277647,0.12681647,久世,60
1.7191572,-6.799044,-1.7260234,12.179015,-14.662811,2.306192,-0.70166695,0.570904,1.5550468,1.0427628,2.4814842,1.7779133,2.6533594,1.02313,0.7451648,2.2220242,0.07848872,-0.058519527,0.102418564,0.060932025,-0.05526146,-0.012719775,0.0038372206,-0.12790194,久世,70
2.0795815,-8.112764,0.11155769,12.270229,-13.267981,1.8601941,0.9506117,1.3592355,1.1873873,1.2005072,1.3506339,1.7779762,3.4719954,1.3088559,2.0311432,2.8606966,0.03285763,-0.06415143,0.04115786,-0.02147665,0.41892186,-0.14415097,0.14097962,0.16463257,久世,80
-1.7811447,-2.8027587,1.4184706,5.673852,-15.442408,-1.9805825,-0.9854004,3.9111905,2.9107168,3.0391028,2.1392777,3.5207448,11.103022,5.2087502,2.1295435,5.3811574,0.105569325,0.23671573,-0.04579947,-0.14023653,1.1391641,0.35687092,-0.0032270192,-0.31424093,十河,0
