frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,5.548139,4.4116745,-3.0546584,-0.85391784,0.19362846,0.8141414,5.9513907,-1.2714038
1,5.9749064,4.3508725,-3.2159069,-0.7865657,0.21351963,0.9893296,6.454141,-1.4446499
2,4.988093,4.8428564,-3.1948795,-0.99992067,0.17070492,-0.062067628,5.6819315,-0.30202004
3,5.4727054,4.8204355,-3.2914002,-0.98100585,0.22939262,0.34939373,6.152946,-0.8262799
4,5.783541,4.7721796,-3.2992144,-0.89730453,0.10055104,0.838979,6.2004924,-1.3092393
5,5.743946,5.0416803,-3.320465,-0.7519867,-0.29933864,1.1975344,5.6737022,-1.5002775
6,5.1588135,5.0876136,-3.2427626,-0.82011604,-0.26825452,0.51906693,5.22558,-0.7076362
7,5.2939754,5.1054244,-3.2169702,-0.71702385,-0.4736871,0.975934,5.0744786,-1.1373036
8,5.4401393,5.2205396,-3.2121668,-0.6147938,-0.7410629,1.4694431,4.918674,-1.5351294
9,5.492591,5.3755527,-3.2230935,-0.49964944,-1.0406737,1.8544075,4.6422234,-1.780284
10,5.5763702,5.5153074,-3.232932,-0.51687527,-1.1170679,1.9750366,4.6055336,-1.8531679
11,5.602945,5.5131946,-3.2113361,-0.5724766,-1.0498453,1.9380882,4.671638,-1.8472401
12,5.656796,5.617843,-3.2489843,-0.5889593,-1.0942813,1.9618798,4.6784015,-1.8502573
13,5.7282815,5.7199545,-3.2880187,-0.6056294,-1.136684,2.0062463,4.706189,-1.8803147
14,5.697597,5.7276316,-3.2725213,-0.61187214,-1.1515003,2.0077658,4.6658106,-1.8717506
15,5.634007,5.782136,-3.272212,-0.6189107,-1.1868063,1.9536788,4.585274,-1.780218
16,5.627346,5.8078866,-3.2860107,-0.60086536,-1.22784,1.975332,4.5497217,-1.7815933
17,5.6290293,5.7660365,-3.2784247,-0.6176374,-1.1656245,1.9254979,4.6076794,-1.7624886
18,5.641165,5.684339,-3.2601101,-0.66308755,-1.0305493,1.8192999,4.741452,-1.7215347
19,5.655545,5.607214,-3.2405488,-0.6979485,-0.92022455,1.7473104,4.8540072,-1.7058971
20,5.6348863,5.5033417,-3.204052,-0.72618115,-0.799443,1.6512816,4.935842,-1.6630993
21,5.634899,5.367983,-3.1655061,-0.7511166,-0.65880996,1.5700752,5.054119,-1.651657
