frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.23676756,-0.63,0.6834702,-0.35808554,-0.5893041,0.797866,0.5523998,0.5736561
1,0.35062364,-0.5967126,0.7323237,-0.4818106,-0.34738117,0.85137475,0.7536106,0.53121746
2,0.39535543,-0.5430958,0.698526,-0.49684468,-0.2625596,0.8430259,0.846335,0.5230768
3,0.4404232,-0.47964308,0.67056257,-0.5314749,-0.24385417,0.8280637,0.90489876,0.55769587
4,0.43153188,-0.47801748,0.67436516,-0.5153622,-0.2671888,0.83550394,0.829532,0.5250595
5,0.41550562,-0.45820388,0.65067184,-0.49298713,-0.2792889,0.8135805,0.79660505,0.5140172
6,0.42258182,-0.44305363,0.62832093,-0.47547176,-0.29793394,0.81572294,0.79677904,0.51827097
7,0.41966578,-0.41826382,0.60874635,-0.47007272,-0.32065403,0.79606557,0.7727655,0.52081376
8,0.41307348,-0.4101276,0.59876543,-0.45509,-0.35702258,0.793247,0.72550803,0.51373476
9,0.39697242,-0.38621488,0.55334353,-0.4103916,-0.3730302,0.76903796,0.7170043,0.5103768
10,0.3743915,-0.36497602,0.51650167,-0.37349638,-0.38327038,0.73644984,0.69322026,0.49840897
11,0.34443724,-0.3584738,0.49668854,-0.34043843,-0.40852094,0.7108983,0.6344309,0.47762424
12,0.3362608,-0.3396037,0.4876359,-0.34159055,-0.38643456,0.6891608,0.59500456,0.44091076
13,0.32162598,-0.3285664,0.483482,-0.34012726,-0.3311066,0.66156745,0.5516299,0.37615967
14,0.3210847,-0.31196216,0.4765409,-0.32780892,-0.2901621,0.6603236,0.48237216,0.29316115
15,0.32581395,-0.31306776,0.45993903,-0.30040842,-0.21957523,0.6652355,0.47439778,0.21011433
16,0.3545747,-0.30571464,0.42468455,-0.2551428,-0.11385727,0.692328,0.49490184,0.09841591
17,0.3542362,-0.31780544,0.40280625,-0.20426248,-0.07450029,0.7107377,0.47824174,0.024653256
18,0.37267715,-0.32732758,0.39893013,-0.18146302,-0.0122329,0.7415807,0.47263104,-0.049861506
