frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.23217148,-0.6828731,-0.30272365,-1.3408002,0.028660368,-1.3667511,0.12617278,-0.08448027
1,0.041981474,-0.69530064,-0.22654039,-1.2796297,0.0063443296,-1.2486365,0.13972938,0.14940433
2,0.022240113,-0.5945746,-0.16408081,-1.1563911,0.004607521,-1.0426235,0.17156643,0.21116439
3,-0.04098081,-0.5013192,-0.21001947,-1.1776154,-0.09038498,-0.879483,0.17461053,0.29424095
4,-0.032671727,-0.44695532,-0.29718074,-1.060096,-0.107107885,-0.67914355,0.108453184,0.28458476
5,-0.03479445,-0.43324038,-0.3649021,-1.0470209,-0.1351232,-0.6022529,0.06304607,0.3024781
6,0.0012241714,-0.36976638,-0.38113105,-0.97800815,-0.116045915,-0.49381453,0.024883151,0.23347862
7,-0.067574926,-0.35830855,-0.42980498,-0.94112575,-0.13743034,-0.36265063,-0.054030985,0.3345014
8,-0.1042149,-0.2510752,-0.39390713,-0.99490476,-0.1813263,-0.23577292,-0.049741983,0.37118512
9,-0.14162752,-0.17502365,-0.43392023,-1.0263934,-0.20916238,-0.14390564,-0.10900909,0.37553662
10,-0.16999024,-0.16120657,-0.5161901,-1.0492849,-0.251339,-0.083165735,-0.17966938,0.41719848
11,-0.16914383,-0.20519069,-0.60819423,-0.9336959,-0.24151498,-0.012893692,-0.25317407,0.4447199
12,-0.09367173,-0.18328613,-0.6014519,-0.7725595,-0.1779314,0.083407715,-0.2568364,0.37426257
13,-0.09117716,-0.23624623,-0.73953205,-0.79519224,-0.20413938,0.0379095,-0.31639892,0.37813336
14,0.022853196,0.004914552,-0.52394086,-0.75321186,-0.1879743,0.2259791,-0.1770677,0.19660243
15,0.167341,0.08127669,-0.422915,-0.73453915,-0.24227577,0.34025103,0.02520138,0.10075145
16,0.23031309,0.05148118,-0.40852132,-0.6844003,-0.2369278,0.32746977,0.07697019,0.08059667
17,0.24439383,0.031413227,-0.41869962,-0.65092826,-0.22177902,0.32719305,0.07021311,0.063678816
18,0.28544044,-0.0064704195,-0.43408188,-0.56301004,-0.18095526,0.33067614,0.0604468,0.028308846
19,0.2783895,-0.06584871,-0.44126442,-0.4622407,-0.11144724,0.31697047,0.006106913,0.043283157
20,0.26063117,-0.11913474,-0.4283417,-0.3933254,-0.06104306,0.29911953,-0.022791862,0.08085251
21,0.2169666,-0.14840698,-0.46205053,-0.36548048,-0.022787966,0.28580338,-0.11104965,0.11125618
22,0.2512387,-0.20041719,-0.49806735,-0.31725508,-0.00027795136,0.22795816,-0.11294156,0.096445724
23,0.26547876,-0.24420601,-0.6027866,-0.3105061,0.053124223,0.123202726,-0.17953372,0.01760687
24,0.2768223,-0.3075639,-0.75176626,-0.36323696,0.045349084,0.010913603,-0.2327112,-0.044529483
25,0.26009846,-0.3590346,-0.8710054,-0.4207365,0.01568843,-0.054805696,-0.2869926,-0.04173118
26,0.22322911,-0.401022,-0.9118423,-0.47244984,-0.004404314,-0.11285865,-0.30979985,-0.0014678016
27,0.18230936,-0.43143544,-0.89392513,-0.5071962,-0.016082697,-0.15171137,-0.29784912,0.054298043
28,0.11585705,-0.46383747,-0.8564021,-0.5437327,-0.03249401,-0.17908867,-0.2832706,0.14737272
29,0.094385535,-0.46145138,-0.8066399,-0.58281934,-0.042243853,-0.22021584,-0.2465766,0.16460265
30,0.086433865,-0.457324,-0.76081765,-0.62210363,-0.04483237,-0.27424264,-0.21045613,0.15570739
31,0.091951855,-0.4363464,-0.6518658,-0.6454209,-0.03302478,-0.32640326,-0.13297033,0.119219586
32,0.08457266,-0.4536649,-0.55800426,-0.6648146,-0.01722943,-0.39760822,-0.063792765,0.099531844
33,0.05633489,-0.44914097,-0.42888376,-0.6937635,-0.013706535,-0.44902503,0.020294935,0.1265214
34,0.035912253,-0.42728662,-0.34335873,-0.69247997,-0.012838952,-0.43291706,0.06654334,0.15063462
35,0.03393732,-0.4207956,-0.19646859,-0.7236675,-0.035286263,-0.4551621,0.19312279,0.19617534
36,0.05857576,-0.45889157,-0.10554893,-0.725512,-0.03864056,-0.47149748,0.31001,0.23667318
37,0.07980056,-0.497,-0.047835022,-0.7293899,-0.049847253,-0.47716933,0.39603117,0.28791118
