frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.37588423,-0.48042688,0.54538506,-0.22079623,-0.4063893,0.9069439,0.17949535,0.03870523
1,0.35100886,-0.49627015,0.51502234,-0.21495834,-0.3734737,0.85523975,0.4531418,0.20910615
2,0.33079883,-0.48734954,0.47378448,-0.19276649,-0.35996884,0.8055582,0.5834554,0.29057014
3,0.3316953,-0.5308095,0.4722085,-0.16927056,-0.30229026,0.8121878,0.7095459,0.3273049
4,0.3501927,-0.5629834,0.5216047,-0.2123957,-0.25280714,0.8377967,0.7652481,0.3379287
5,0.35857522,-0.57826185,0.54252493,-0.22960767,-0.21913272,0.8470166,0.82396877,0.36046016
6,0.3929679,-0.59321344,0.5435535,-0.22585219,-0.17235804,0.88361955,0.91979283,0.37705237
7,0.40636414,-0.6381402,0.5768592,-0.21763119,-0.14958176,0.9329412,0.9406774,0.36707997
8,0.42117083,-0.6565387,0.60067415,-0.229238,-0.14556164,0.9614099,0.95739204,0.37643176
9,0.4349989,-0.68688595,0.6402379,-0.2514566,-0.15569237,0.99823916,0.9582617,0.38748413
10,0.4510848,-0.69772387,0.64389014,-0.24944028,-0.16392758,1.0193372,1.0045776,0.42087907
11,0.4682694,-0.72404194,0.6660603,-0.2540202,-0.16932222,1.0552105,1.0414747,0.44504797
12,0.48658308,-0.7139176,0.64261514,-0.23515496,-0.15891916,1.0652575,1.1281099,0.48762304
13,0.49396026,-0.7169609,0.654274,-0.25163323,-0.19684213,1.0725871,1.132979,0.52574855
14,0.49650234,-0.7260629,0.67492694,-0.27034038,-0.25023377,1.0903378,1.0883055,0.53601927
15,0.5235701,-0.68400013,0.6638886,-0.30902788,-0.2752809,1.0824237,1.1143969,0.5795228
16,0.5411767,-0.63309205,0.6553118,-0.3534412,-0.30859506,1.0618212,1.1204219,0.62545085
17,0.55505085,-0.5847393,0.6258022,-0.36563686,-0.30383378,1.0443034,1.1178043,0.6176517
18,0.5550728,-0.5556972,0.62126243,-0.3855025,-0.32481086,1.0331839,1.0691533,0.60539925
19,0.5567173,-0.5136759,0.61189055,-0.4130386,-0.33363962,1.0075884,1.04505,0.6098155
20,0.5608363,-0.4711645,0.60020113,-0.43757772,-0.34343278,0.98065877,1.0265636,0.62372285
21,0.555027,-0.43958232,0.60137266,-0.4656835,-0.38008016,0.9554863,0.97359675,0.63931847
22,0.5427994,-0.3951008,0.57830775,-0.48309544,-0.45333803,0.9091532,0.9316502,0.68958265
23,0.53698635,-0.3784972,0.57208854,-0.49297068,-0.47422045,0.8889588,0.91075414,0.70301163
24,0.5298679,-0.344043,0.5440044,-0.49584106,-0.49905807,0.85143185,0.8867012,0.7160535
25,0.52370197,-0.3123767,0.50942916,-0.48700485,-0.5149375,0.8186747,0.8668292,0.7172028
26,0.5342325,-0.27638587,0.46077833,-0.46325925,-0.5245126,0.8007498,0.8610952,0.70655847
