frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,0.5760102,0.15334469,-0.78255284,-1.0224038,-0.3038046,-0.25420684,0.14201188,-0.41885334
1,0.3879695,-0.2492271,-0.6346401,-0.5097141,-0.07879158,-0.11955167,0.0327532,-0.011473186
2,0.35311002,-0.24694711,-0.6028244,-0.4452421,-0.041066445,-0.05818586,0.0017555654,0.0044507533
3,0.30321988,-0.28094304,-0.58857596,-0.3930232,-0.019216537,-0.00604254,-0.041773707,0.059371945
4,0.38918453,-0.25838426,-0.6097091,-0.39958358,-0.055016875,-0.009179443,0.034290016,-0.006492138
5,0.41064999,-0.21069294,-0.6846925,-0.44742405,-0.09695009,0.0035693198,0.011576265,-0.047565922
6,0.45077237,-0.3054812,-0.6467263,-0.39455074,-0.14347965,0.02505796,0.11171085,0.0898982
7,0.4779802,-0.36942932,-0.64282167,-0.41371614,-0.1669248,-0.050976574,0.18351138,0.100249484
8,0.56210864,-0.26734525,-0.67400485,-0.51011765,-0.24549535,-0.076269776,0.26489592,0.009739161
9,0.46793747,-0.2926894,-0.63643026,-0.5972079,-0.28897062,-0.12802558,0.2677492,0.13938162
10,0.4119867,-0.32110313,-0.54576355,-0.66911614,-0.31407183,-0.20482309,0.33113295,0.22190043
11,0.44290575,-0.3533691,-0.5017508,-0.70585227,-0.34421164,-0.26017845,0.41910562,0.2354361
12,0.44317037,-0.34751973,-0.48781174,-0.7061796,-0.31411222,-0.28572655,0.3990969,0.20286587
13,0.36602226,-0.35810784,-0.44817758,-0.68426967,-0.24536693,-0.30745775,0.33483368,0.19997057
14,0.27748945,-0.45248768,-0.41871342,-0.61686254,-0.1636422,-0.33870822,0.2750991,0.22806594
15,0.22515377,-0.4810088,-0.36595455,-0.60388553,-0.09466066,-0.40159422,0.25024915,0.1787295
16,0.23757091,-0.41517502,-0.42584506,-0.53505874,-0.045210652,-0.3150854,0.15743606,0.07963139
17,0.30429262,-0.43652177,-0.3597557,-0.49144727,-0.025399625,-0.34578848,0.25370657,0.02349136
18,0.3844307,-0.3988629,-0.2831275,-0.44219077,-0.010056131,-0.3208393,0.34808618,-0.04357803
19,0.36879104,-0.39098835,-0.21282671,-0.43950793,-0.02795963,-0.26516086,0.38049182,0.05624561
20,0.42403087,-0.34398982,-0.1784722,-0.52610004,-0.080407836,-0.29256326,0.4636372,0.010506868
21,0.42547423,-0.27131197,-0.12914112,-0.6956816,-0.21959886,-0.2112724,0.5691742,0.049530342
