frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,-12.657039,-22.340933,-13.206296,-18.873493,-8.109714,-17.808802,-5.243102,11.095416
1,-10.68074,-14.862512,-9.769236,-11.902767,-8.293544,-7.21272,-3.683662,10.037108
2,-12.855978,-21.800829,-12.841447,-15.365215,-9.038381,-12.413569,-4.633297,10.791345
3,-15.48429,-29.5289,-16.737045,-22.60597,-9.686753,-20.867128,-6.70876,12.354045
4,-15.25358,-25.323978,-15.253669,-18.261557,-10.69467,-15.159959,-5.484673,12.370044
5,-15.913608,-27.244469,-16.755993,-19.941923,-10.917991,-17.082375,-6.3594046,13.187148
6,-17.704563,-31.619703,-14.342802,-27.586046,-11.009032,-28.195774,-3.3466117,9.873481
7,-13.930411,-29.164179,-6.842521,-32.04326,-7.809312,-37.204308,-0.18032718,5.0502825
8,-11.100958,-16.341644,-9.8016615,-14.6261425,-7.9802413,-11.419675,-3.2566206,9.22679
9,-4.4458604,-6.9221787,-11.811849,1.9660729,-4.490051,8.81861,-10.658737,13.613617
10,-10.612205,-11.308002,-26.403906,3.1308858,-11.465536,24.04562,-26.847233,33.78533
11,0.7508334,-12.189357,5.625331,-23.884022,-0.3292564,-31.367758,4.16864,2.310257
12,-4.4056573,-3.3127813,-0.26108417,-7.288609,-3.811043,-3.3971598,1.0702271,1.2657356
13,-4.7139792,-3.4135406,-0.07512888,-7.3634286,-4.232087,-2.9457557,1.465317,1.0966778
14,-4.8245115,-3.665588,-0.072281666,-7.235052,-4.301779,-2.9239743,1.556406,1.0224253
15,-5.1294703,-3.8682544,-0.051767305,-7.5489492,-4.6227045,-2.9438415,1.7147613,1.055404
16,-5.268007,-3.976751,-0.01987059,-7.6653175,-4.7579412,-2.9419427,1.8080597,1.0280365
17,-5.3227673,-3.9180171,-0.008811452,-7.724085,-4.847819,-2.819231,1.8544192,1.0469662
18,-5.3268194,-3.8688533,-0.0059169168,-7.733683,-4.872723,-2.7577405,1.8662307,1.0579233
19,-5.3566413,-3.8460836,-0.017424641,-7.739215,-4.9189386,-2.6849387,1.883683,1.0722609
20,-5.3562,-3.8050797,-0.014930267,-7.758605,-4.9300385,-2.6515288,1.883749,1.0816036
21,-5.379301,-3.707366,-0.009364073,-7.819865,-4.9907703,-2.540272,1.9004023,1.1083436
22,-5.395895,-3.5964212,0.028626917,-7.946353,-5.0469,-2.4767387,1.9256227,1.1277368
23,-5.426813,-3.5465,0.05228109,-8.042222,-5.1017003,-2.4361565,1.9484255,1.1440321
24,-5.4392447,-3.5306587,0.07666835,-8.136362,-5.1217866,-2.4718378,1.954144,1.1542612
25,-5.4002676,-3.428527,0.09648596,-8.2158575,-5.152675,-2.44091,1.9808323,1.1790905
26,-5.3425174,-3.3267188,0.12409809,-8.2873335,-5.18227,-2.41784,2.024456,1.1947079
27,-5.2613864,-3.2081406,0.14956994,-8.330515,-5.1766896,-2.4002383,2.045226,1.2100106
28,-5.222374,-3.133666,0.14129746,-8.35566,-5.181919,-2.3744318,2.0421867,1.2400774
29,-5.1554046,-3.0574796,0.17174868,-8.397696,-5.182594,-2.3794937,2.0768094,1.2413
30,-5.064678,-3.0058875,0.21646494,-8.3869915,-5.1541257,-2.4005604,2.1223102,1.2145032
31,-4.9489074,-2.9572456,0.2784295,-8.364841,-5.1125765,-2.4370868,2.1817405,1.1702073
32,-4.897722,-2.9221978,0.28642085,-8.348396,-5.076952,-2.4505792,2.176673,1.1556991
33,-4.9115257,-2.9097347,0.27747583,-8.359228,-5.0611353,-2.4576247,2.1437724,1.165145
34,-4.9091372,-2.8446484,0.2580882,-8.374224,-5.0627255,-2.4106762,2.1205134,1.1790377
35,-4.8898177,-2.8677843,0.27612087,-8.383593,-5.0168276,-2.492605,2.1019652,1.1667873
36,-4.903261,-2.9720786,0.33531955,-8.398901,-4.9625416,-2.6391926,2.1033103,1.1117277
37,-4.9812737,-3.0484376,0.34006643,-8.400529,-4.938758,-2.6838112,2.053788,1.0951066
38,-5.100428,-3.189333,0.2762879,-8.339036,-4.8911085,-2.7308998,1.9369986,1.0992606
39,-5.1712093,-3.2911596,0.22273253,-8.260732,-4.8586826,-2.7478302,1.8657491,1.1006374
40,-5.189054,-3.4267826,0.18506002,-8.147738,-4.837713,-2.7938902,1.8638697,1.0747119
41,-5.2189045,-3.5468466,0.1299444,-8.039004,-4.832554,-2.8074465,1.8530071,1.0679026
42,-5.202515,-3.6409204,0.09326782,-7.8998265,-4.7825994,-2.8337703,1.8352251,1.0464065
43,-5.2423735,-3.8004196,0.0121551715,-7.7656546,-4.7732177,-2.867173,1.8116777,1.0465676
44,-5.2373505,-3.9070704,-0.016079368,-7.658534,-4.7333565,-2.9170682,1.7998915,1.0233091
45,-5.231733,-3.989857,-0.019486938,-7.6143074,-4.70252,-2.9900079,1.7973673,1.0004884
46,-5.2459517,-4.029399,0.0015404541,-7.6493874,-4.7115617,-3.0363653,1.8116629,0.98973846
47,-5.2684426,-4.0437922,0.007392977,-7.6475544,-4.7397995,-3.0051806,1.8325002,0.98543006
48,-5.272968,-3.9995208,0.02455167,-7.647447,-4.7680764,-2.9259977,1.856262,0.98555136
49,-5.2423244,-3.9239593,0.07438145,-7.6762285,-4.7652097,-2.890303,1.878798,0.974234
50,-5.279519,-3.8786783,0.090035684,-7.8230615,-4.821718,-2.908618,1.8903501,1.006352
51,-5.3262367,-3.8238406,0.10343086,-7.967147,-4.894401,-2.893979,1.909096,1.0436765
52,-5.364794,-3.7807825,0.11750687,-8.083706,-4.9522533,-2.8806782,1.9250777,1.069134
53,-5.376675,-3.6980102,0.13505827,-8.170784,-4.9912434,-2.831807,1.9359906,1.091656
54,-5.3627653,-3.5531902,0.16260411,-8.273862,-5.0516133,-2.7356873,1.9740658,1.1190321
55,-5.345456,-3.406437,0.18821563,-8.35213,-5.144948,-2.592288,2.0516398,1.1415355
56,-5.3240795,-3.257048,0.18548378,-8.43481,-5.22233,-2.4681954,2.087984,1.1915538
57,-5.257885,-3.201672,0.22021738,-8.529978,-5.2235403,-2.5353851,2.1159043,1.2041368
58,-5.186345,-3.130865,0.20832722,-8.492787,-5.190882,-2.5092106,2.1017053,1.2231072
59,-5.107628,-3.0340867,0.19475429,-8.465056,-5.1666317,-2.4636803,2.0897906,1.2507706
60,-5.0455847,-2.991085,0.19877502,-8.453297,-5.13388,-2.4781907,2.0835104,1.2578744
61,-4.976416,-2.945974,0.22377875,-8.433502,-5.097662,-2.4892733,2.0955718,1.2442644
62,-4.867293,-2.9298217,0.26959488,-8.380308,-5.027355,-2.5499377,2.1223056,1.2042727
63,-4.8144326,-2.8465912,0.28656197,-8.329398,-5.019694,-2.4566562,2.1451366,1.196229
64,-4.832268,-2.8018456,0.28037074,-8.3398695,-5.049095,-2.3858366,2.1546962,1.1920081
65,-4.841666,-2.7952719,0.28236112,-8.374607,-5.0605183,-2.3982577,2.160919,1.1830788
66,-4.8707643,-2.894427,0.32208204,-8.366993,-5.019327,-2.5077505,2.1610265,1.1325506
67,-4.9300895,-3.0386376,0.32461956,-8.299339,-4.9478073,-2.616077,2.1030197,1.096547
68,-5.0666137,-3.200177,0.26067445,-8.238947,-4.91871,-2.6597521,1.9981313,1.0961949
69,-5.145406,-3.3198524,0.19612062,-8.129938,-4.862911,-2.679032,1.8978739,1.0965968
70,-5.208349,-3.5029447,0.12999871,-8.005224,-4.8463426,-2.730238,1.8678,1.0829679
71,-5.1864595,-3.6089957,0.08348752,-7.8558564,-4.7834487,-2.7824073,1.8412445,1.057695
72,-5.214457,-3.7451162,0.025405152,-7.753515,-4.7683897,-2.8290155,1.8224123,1.0531677
73,-5.3214903,-3.9109418,-0.034068957,-7.7571282,-4.834694,-2.8792875,1.827929,1.0643051
74,-5.3507104,-4.0372176,-0.062415976,-7.7016907,-4.829903,-2.9379594,1.8237739,1.0528752
75,-5.3595214,-4.12699,-0.09665346,-7.615522,-4.8131485,-2.964638,1.8141708,1.0422508
76,-5.3574376,-4.1867414,-0.11278624,-7.5680423,-4.7932796,-3.004558,1.8066127,1.0343523
77,-5.315499,-4.158129,-0.086047135,-7.5235186,-4.7605743,-2.984165,1.814151,1.0122534
78,-5.273646,-4.128889,-0.051457096,-7.5102735,-4.7259994,-2.9872928,1.8155007,0.99397165
79,-5.2458496,-4.0312705,-0.049704213,-7.4429264,-4.734801,-2.8459144,1.8333526,0.99609214
80,-5.29643,-3.9105418,-0.017537655,-7.6112876,-4.8359237,-2.7535374,1.868932,1.0362391
81,-5.3347483,-3.77732,0.023524877,-7.798026,-4.9228544,-2.683004,1.9007084,1.0723422
82,-5.36005,-3.6946952,0.034021735,-7.905901,-4.976993,-2.6331713,1.9112341,1.1054577
