frame,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0,4.971202,4.2324944,-2.5559134,-0.53702563,-0.4009562,1.7426041,4.4848795,-1.9650002
1,5.0595617,4.715962,-2.7389596,-0.5409919,-0.73770356,1.8426937,4.36026,-1.8909192
2,5.0642004,4.6881557,-2.7493672,-0.57780576,-0.63970596,1.7141818,4.466234,-1.80025
3,5.1777954,4.7674227,-2.8142614,-0.5665948,-0.68716455,1.7971088,4.536091,-1.8781378
4,5.209483,4.7304163,-2.822066,-0.5070069,-0.7404624,1.9181255,4.504157,-1.9917748
5,5.312615,4.756344,-2.8757346,-0.47694978,-0.76758254,2.0050788,4.576277,-2.0848372
6,5.293059,4.739285,-2.8763099,-0.44262102,-0.8022237,2.0382483,4.5273094,-2.1012816
7,5.2123218,4.66741,-2.8315852,-0.44462135,-0.76391673,1.9762543,4.480206,-2.046709
8,5.2076216,4.654943,-2.8279164,-0.45923385,-0.73317707,1.9376451,4.503473,-2.0203488
9,5.195214,4.649831,-2.823148,-0.46889737,-0.7171581,1.9076452,4.5071664,-1.9945091
10,5.2206855,4.6602364,-2.8346293,-0.4734225,-0.7101035,1.9085442,4.5375886,-2.0014007
11,5.2875433,4.7127256,-2.86988,-0.47921512,-0.7232169,1.941457,4.59196,-2.0361364
12,5.3315086,4.7692103,-2.8972864,-0.4835408,-0.7497071,1.9695873,4.6132183,-2.0556455
13,5.3737454,4.824089,-2.9246032,-0.47819796,-0.79045916,2.0170116,4.6207185,-2.0892935
14,5.409341,4.9142413,-2.9623816,-0.45551896,-0.88573396,2.1012697,4.577853,-2.1333866
15,5.4342055,4.950138,-2.979158,-0.45706597,-0.90512633,2.1196585,4.5874557,-2.1448193
16,5.451288,4.9945793,-2.9966543,-0.45811647,-0.93331254,2.1343906,4.5822153,-2.1462562
17,5.474364,5.040028,-3.0173564,-0.46214858,-0.95424974,2.1417155,4.588888,-2.1437726
18,5.470992,5.0545793,-3.0184135,-0.47157827,-0.95217705,2.1234114,4.5889792,-2.122892
19,5.4601135,5.0765486,-3.021007,-0.50340986,-0.9174336,2.0460513,4.616568,-2.0504928
20,5.4676466,5.0982065,-3.0286295,-0.52672213,-0.89206564,1.9992807,4.6512694,-2.0096455
21,5.491369,5.125858,-3.0414577,-0.54482985,-0.87684333,1.976271,4.689961,-1.9917494
22,5.523218,5.116157,-3.0470772,-0.577258,-0.80910575,1.9166918,4.7793083,-1.9637376
23,5.574455,5.1178646,-3.0639765,-0.61486673,-0.73503983,1.8512115,4.8924356,-1.934107
24,5.580586,5.170976,-3.091079,-0.6574449,-0.6888455,1.7316364,4.9507685,-1.8201752
25,5.6021714,5.19258,-3.1183872,-0.6823124,-0.64666986,1.6509035,5.0182896,-1.7580894
26,5.6498303,5.2304754,-3.1521194,-0.6903242,-0.64154744,1.6389282,5.0738306,-1.7522154
27,5.680382,5.2539515,-3.1682649,-0.6883979,-0.65229446,1.6579919,5.0915356,-1.7685822
28,5.737131,5.307225,-3.205172,-0.6961281,-0.66214275,1.6646354,5.1422696,-1.7753825
29,5.747185,5.304999,-3.2045188,-0.68543446,-0.6768775,1.6990256,5.1339974,-1.8056989
30,5.808217,5.295793,-3.2052066,-0.6942144,-0.653858,1.7425716,5.1954594,-1.8693126
31,5.8286214,5.26725,-3.1918056,-0.6940466,-0.6398567,1.7788832,5.216474,-1.9198745
32,5.8444757,5.246061,-3.1821086,-0.68721974,-0.64256173,1.8251058,5.2210793,-1.9746317
33,5.8289127,5.226929,-3.164943,-0.6772973,-0.65653604,1.8569093,5.1882505,-2.0031252
34,5.801064,5.1738744,-3.1333897,-0.6601365,-0.6607428,1.8952898,5.149244,-2.044321
35,5.7779207,5.142791,-3.1126056,-0.63560826,-0.68814766,1.9474505,5.0964174,-2.0875683
36,5.7200785,5.10831,-3.083951,-0.6089889,-0.7201462,1.9771093,5.0117006,-2.0992606
37,5.6210694,5.04704,-3.0354803,-0.57576096,-0.7522087,1.9956132,4.885662,-2.0952783
38,5.5502324,4.990854,-2.9956849,-0.535763,-0.79383254,2.0460517,4.7727633,-2.1242695
39,5.478587,4.916421,-2.9491322,-0.5203164,-0.78577447,2.0445733,4.7054954,-2.1229372
40,5.422165,4.871726,-2.9196415,-0.5047829,-0.7932035,2.0486147,4.644238,-2.1202173
41,5.3706894,4.8216567,-2.8921037,-0.5037154,-0.7713443,2.0172176,4.615286,-2.0949879
42,5.308786,4.7615666,-2.8599093,-0.49573293,-0.7544813,1.9904197,4.571633,-2.0717196
43,5.2622,4.7149506,-2.8378205,-0.4882156,-0.74054575,1.9649053,4.540171,-2.0483186
44,5.24707,4.703216,-2.8358881,-0.48073098,-0.7433926,1.9587238,4.525837,-2.0390906
45,5.2527356,4.695657,-2.8397868,-0.48236886,-0.73117673,1.9475092,4.54372,-2.0344944
46,5.2840056,4.702546,-2.8550436,-0.48046705,-0.72938097,1.9588706,4.5743814,-2.0511556
47,5.3374853,4.747624,-2.8902862,-0.48146835,-0.7416903,1.9743078,4.6166945,-2.0653715
48,5.3958635,4.787389,-2.922699,-0.4916297,-0.73608816,1.9766794,4.679068,-2.0748088
49,5.489384,4.8987727,-2.9803643,-0.49460283,-0.7900436,2.0417671,4.7278585,-2.1236253
50,5.558724,4.994254,-3.0244105,-0.51478416,-0.8142544,2.0515625,4.7755466,-2.1240292
51,5.5910587,5.0682936,-3.0532024,-0.54418254,-0.81452394,2.0157864,4.814138,-2.0829368
52,5.632953,5.13631,-3.085715,-0.575028,-0.8036227,1.9750389,4.872518,-2.0431645
53,5.6662965,5.2019877,-3.1160622,-0.61027163,-0.7865417,1.916905,4.9271045,-1.986366
54,5.6627626,5.2472687,-3.1299572,-0.6242854,-0.79545903,1.88342,4.922282,-1.9403304
55,5.6824245,5.299721,-3.1525297,-0.63324255,-0.8115419,1.8743376,4.931379,-1.9194247
56,5.719449,5.382143,-3.1910346,-0.64385337,-0.8406141,1.8698677,4.9503746,-1.8969995
57,5.7947288,5.4879074,-3.2451732,-0.68618554,-0.8309866,1.8242544,5.039377,-1.8528792
58,5.839941,5.5434046,-3.277164,-0.7081263,-0.8216747,1.7977513,5.0971026,-1.82958
59,5.859891,5.561466,-3.2944577,-0.72030103,-0.8058653,1.7691289,5.137604,-1.8091469
60,5.850858,5.557518,-3.313167,-0.7515315,-0.7436118,1.6479806,5.2099695,-1.7183112
61,5.84125,5.53496,-3.3213332,-0.7780713,-0.676036,1.5415881,5.2784996,-1.6441065
62,5.835748,5.5139937,-3.3251653,-0.7975467,-0.6245938,1.4680147,5.331323,-1.5960459
63,5.7742205,5.420393,-3.278109,-0.79193044,-0.5795514,1.4387587,5.3091955,-1.5854156
