z1,z2,z3,z4,z5,z6,z7,z8,window,source,cluster
0.1518163,-0.37841824,0.1292608,0.4194053,0.122636996,-0.6443601,2.048574,0.80065954,0,久世.csv,4
0.1927904,-0.37704444,0.11663708,0.31014246,0.13605286,-0.69588226,2.1034849,0.80089355,1,久世.csv,4
0.22818224,-0.38569424,-0.04325548,0.2752711,0.013326528,-0.7459029,2.1764662,0.6714926,2,久世.csv,4
0.14745376,-0.39931408,-0.22888483,0.41628897,-0.16045713,-0.66930854,2.1454873,0.4977925,3,久世.csv,4
0.1320561,-0.45322868,-0.26654813,0.4576342,-0.15994011,-0.61568624,2.109562,0.4232519,4,久世.csv,4
0.12212476,-0.5206402,-0.28392604,0.504899,-0.1650674,-0.567951,2.060401,0.34370843,5,久世.csv,4
0.10214178,-0.6087106,-0.29381263,0.55847895,-0.21144086,-0.49807733,1.9988053,0.23197082,6,久世.csv,4
0.03618614,-0.744605,-0.26135188,0.7615115,-0.20944439,-0.34958914,1.9393322,0.06862039,7,久世.csv,4
0.028343905,-0.77978843,-0.2108092,0.8642083,-0.20940544,-0.29859403,1.8803335,0.00059730746,8,久世.csv,4
0.0308511,-0.8067381,-0.17839056,0.980823,-0.1758983,-0.2092926,1.8099183,-0.07207818,9,久世.csv,4
0.019304004,-0.86340064,-0.223652,1.0922097,-0.18398175,-0.099278755,1.7087458,-0.2022933,10,久世.csv,1
-0.03968311,-0.8040897,-0.3283828,1.1842359,-0.13621497,-0.022205263,1.6557374,-0.2626,11,久世.csv,1
-0.1302403,-0.6904298,-0.38031557,1.4222733,-0.020692488,0.13749641,1.5382522,-0.35157165,12,久世.csv,1
-0.19788349,-0.4220961,-0.33322468,1.8476322,0.19428714,0.3725703,1.3258986,-0.5077718,13,久世.csv,1
-0.20794006,-0.30949602,-0.3095442,2.040611,0.32244694,0.40207687,1.2078029,-0.5809356,14,久世.csv,1
-0.16299401,-0.2094319,-0.27269447,2.1227584,0.4246145,0.37962025,1.1091576,-0.58613056,15,久世.csv,1
-0.14478722,-0.14024831,-0.16326816,2.1511376,0.4960759,0.30755797,1.0771443,-0.45633128,16,久世.csv,1
-0.18401806,-0.0014077881,0.070876785,2.0309072,0.7047607,0.21958977,1.0499696,-0.19558153,17,久世.csv,1
-0.26372257,0.15845957,0.12823337,1.875188,0.7793117,0.17055438,1.071007,-0.06741441,18,久世.csv,1
-0.27600777,0.2838085,0.16386786,1.8033341,0.8400105,0.12947688,1.0852516,-0.0031895079,19,久世.csv,1
-0.20118591,0.3615321,0.25237823,1.7649885,0.9078931,0.07460681,1.088239,0.07156125,20,久世.csv,1
-0.10990751,0.42467207,0.33208215,1.7161984,0.97438836,0.01697721,1.0721692,0.15853001,21,久世.csv,1
-0.07923804,0.42309546,0.41021666,1.6691664,1.0517635,-0.05497745,1.0539668,0.23030102,22,久世.csv,1
-0.20010549,0.38344938,0.4573764,1.596613,1.147308,-0.13948609,0.9831008,0.25091892,23,久世.csv,1
-0.29334462,0.28596917,0.54831284,1.5751015,1.2557646,-0.27228138,0.97709894,0.3297418,24,久世.csv,1
-0.29498503,0.23941113,0.6959275,1.4427456,1.4026932,-0.47772926,1.07241,0.5560311,25,久世.csv,1
-0.30149582,0.28595304,0.62420213,1.4650646,1.3120451,-0.46446642,1.0724427,0.4948981,26,久世.csv,1
-0.280855,0.28198493,0.5732378,1.4134393,1.2837346,-0.44420567,1.0689164,0.4649629,27,久世.csv,1
-0.20450675,0.20808989,0.58740765,1.2570995,1.3735573,-0.5367359,1.0798029,0.5806849,28,久世.csv,1
-0.06455465,0.0020082984,0.5123706,0.9494438,1.3999542,-0.80568224,1.1952581,0.73194367,29,久世.csv,1
0.0005090907,-0.14142792,0.40646145,0.7539226,1.3289735,-0.9323867,1.339656,0.78262794,30,久世.csv,4
-0.09925038,-0.12928812,0.25647137,0.69976354,1.1397567,-0.8637044,1.3715807,0.674292,31,久世.csv,4
0.029607166,0.020962363,0.21095414,0.38890064,1.0140946,-0.9245973,1.5523192,0.7910137,32,久世.csv,4
0.009273108,0.07766224,0.14163522,0.16620956,0.82583857,-0.9047249,1.7296424,0.7189073,33,久世.csv,4
-0.14024226,0.14844166,0.012277527,-0.02453064,0.50539213,-0.8491639,1.900698,0.674305,34,久世.csv,4
-0.2032934,0.17604125,-0.0728279,-0.06760623,0.29830602,-0.84470063,2.0335848,0.5800894,35,久世.csv,4
-0.181173,0.14542744,-0.30613655,-0.066552214,0.03289009,-0.88903797,2.1443915,0.35924533,36,久世.csv,4
-0.22318436,0.088452466,-0.40155515,-0.023529416,-0.046704568,-0.78715855,2.1339953,0.17130275,37,久世.csv,4
-0.26496974,0.057951823,-0.40201965,-0.033100396,-0.13075465,-0.71880054,2.107895,0.097808056,38,久世.csv,4
-0.22148429,-0.18630444,-0.40558708,-0.08660036,-0.08578804,-0.6006522,2.06041,-0.09771189,39,久世.csv,4
-0.23603217,-0.21472698,-0.40794843,-0.04347623,-0.11873298,-0.54002076,2.0341408,-0.1725793,40,久世.csv,4
-0.34432524,-0.2377984,-0.37823117,0.12550254,-0.14805295,-0.4794566,2.0777912,-0.22675902,41,久世.csv,4
-0.4115671,-0.2010921,-0.3879469,0.2814424,-0.0913458,-0.3960145,2.0787883,-0.2850803,42,久世.csv,4
-0.76272875,-0.034459174,-0.6936277,0.4658101,-0.02567424,-0.1469709,2.0139735,-0.48830983,43,久世.csv,4
-0.88553345,0.108099215,-0.8754241,0.68248534,0.006030638,-0.022147838,1.9774055,-0.7029992,44,久世.csv,4
-0.94740444,0.15518498,-0.8884105,0.65748966,0.047941864,0.025799077,1.9493388,-0.74760973,45,久世.csv,0
-1.0089135,0.23693283,-0.8978622,0.7409454,0.10742071,0.05208256,1.8582942,-0.8197152,46,久世.csv,0
-1.0181612,0.32755318,-0.8875353,0.9074522,0.221475,0.05013745,1.6933002,-0.905102,47,久世.csv,0
-1.0134976,0.38102967,-0.8476652,1.0124975,0.3087309,0.10391466,1.5766182,-0.94629765,48,久世.csv,0
-1.0615311,0.52168417,-0.6517896,1.1923239,0.43813896,0.29955405,1.4540874,-1.011677,49,久世.csv,0
-1.0882851,0.69810355,-0.35238642,1.2614108,0.701591,0.4228336,1.3089899,-0.85655916,50,久世.csv,0
-1.0603809,0.78038406,-0.19517717,1.1509899,0.776366,0.29463747,1.3288926,-0.6280323,51,久世.csv,0
-1.2177382,0.8150851,-0.06699561,1.01284,0.99316406,0.18690261,1.186126,-0.44005427,52,久世.csv,0
-1.205999,0.8820377,0.0023396127,0.96653455,1.1117219,0.10252614,1.1647704,-0.34624827,53,久世.csv,0
-1.1430559,0.96246123,-0.034533527,0.98544836,1.1726311,0.10039803,1.0711839,-0.22738941,54,久世.csv,0
-1.1084763,0.99086463,-0.0370018,0.99586904,1.191817,0.09572259,1.0530306,-0.26232988,55,久世.csv,0
-1.0884266,1.0173768,-0.06519544,0.995577,1.2419345,0.09964564,1.0133994,-0.22333047,56,久世.csv,0
-0.9335135,1.1429006,0.017163085,0.974397,1.3150518,0.033096746,0.99076104,-0.21826446,57,久世.csv,0
-0.84716004,1.1765745,0.08699847,0.8929258,1.4549435,-0.04495537,0.9909735,-0.06342976,58,久世.csv,6
-0.7337722,1.2214363,0.25949204,0.85556185,1.520199,-0.18721348,1.0360593,0.10117098,59,久世.csv,6
-0.5493215,1.196859,0.32664648,0.73062897,1.6636267,-0.28313908,0.99766123,0.2485221,60,久世.csv,6
-0.43063948,1.1709138,0.305129,0.60383445,1.7688228,-0.32965803,0.9688611,0.31065735,61,久世.csv,6
-0.4414947,1.2259568,0.30546978,0.5301572,1.8463287,-0.33496433,1.0020539,0.29618627,62,久世.csv,6
-0.38710156,1.1289446,0.31001052,0.46097243,1.8805323,-0.45895386,1.0148836,0.26918408,63,久世.csv,6
-0.3981293,1.1348011,0.28813526,0.39296925,1.861775,-0.46959642,1.049486,0.23870832,64,久世.csv,6
-0.41191807,1.1086856,0.24078618,0.31882194,1.8413701,-0.4632228,1.0675392,0.24835727,65,久世.csv,6
-0.4545288,1.0364436,0.13677505,0.13110414,1.7528684,-0.5573691,1.1471273,0.23936498,66,久世.csv,6
-0.4014026,0.8880912,-0.00062829256,-0.17098327,1.6356695,-0.83335894,1.2776542,0.3195171,67,久世.csv,6
-0.23553781,0.8684758,-0.058624566,-0.48325244,1.5094851,-0.9581381,1.3202448,0.269786,68,久世.csv,6
-0.25288373,0.7623425,-0.14383653,-0.79408514,1.0730816,-0.9009919,1.5774366,0.15095185,69,久世.csv,4
-0.20123316,0.72007555,-0.30799603,-0.8365885,0.6553675,-1.0414785,1.790165,-0.010789635,70,久世.csv,4
-0.3452797,0.7329208,-0.40952495,-0.7264646,0.47756284,-0.9729418,1.8347033,-0.19191845,71,久世.csv,4
-0.4596365,0.772405,-0.56912124,-0.6021053,0.2560129,-0.8502365,1.8241128,-0.26519752,72,久世.csv,4
-0.40435758,0.75689876,-0.5718856,-0.667047,0.31540877,-0.85772765,1.8198595,-0.33148095,73,久世.csv,4
-0.3794697,0.72181815,-0.60008925,-0.6815476,0.33957982,-0.8190425,1.8239062,-0.32384658,74,久世.csv,4
-0.2889755,0.7456195,-0.723168,-0.6011315,0.28757995,-0.70664763,1.9279262,-0.52135915,75,久世.csv,4
-0.4780269,0.7662549,-0.7805503,-0.48191684,0.26457486,-0.60721594,1.9729013,-0.64530843,76,久世.csv,4
-0.7167135,0.68544453,-0.9124504,-0.4831394,0.32112637,-0.4575235,1.939412,-0.76300204,77,久世.csv,4
-0.84028494,0.59068644,-1.054073,-0.4007108,0.19846612,-0.27837074,1.9182094,-1.2841821,78,久世.csv,0
-0.87510335,0.59978914,-1.1186239,-0.3077777,0.14531824,-0.14508489,1.7388941,-1.5891275,79,久世.csv,0
-1.0117064,0.63808984,-1.0161406,-0.2630719,0.27721176,-0.12726782,1.3960533,-1.8168783,80,久世.csv,0
-1.1772166,0.51890165,-0.82073176,-0.23346154,0.36249712,-0.07251145,1.1421889,-2.037133,81,久世.csv,0
-1.1938432,0.54995215,-0.76406085,-0.22128417,0.35562596,-0.015799422,1.0593616,-2.142729,82,久世.csv,0
-1.1802772,0.61178064,-0.7462581,-0.21732,0.3245297,0.047888376,1.0287473,-2.1753051,83,久世.csv,0
-1.1471139,0.68506193,-0.7378895,-0.17902726,0.2957361,0.09979243,0.96905184,-2.1459785,84,久世.csv,0
-1.2629467,0.7840991,-0.52268726,-0.14093338,0.47350127,0.16536233,0.86788607,-2.0343766,85,久世.csv,0
-1.1877571,0.98698163,-0.29303512,-0.03586898,0.64012986,0.2715326,0.7384961,-2.0881279,86,久世.csv,0
-1.0403703,1.2124296,-0.0676468,-0.025484422,0.84118444,0.24092534,0.5822468,-1.9095422,87,久世.csv,0
-0.7976267,1.3237498,0.19798733,-0.10306271,0.9396998,0.111370735,0.5795207,-1.7176533,88,久世.csv,0
0.63154376,-0.28182608,-0.8699544,0.41993764,-0.38216844,-1.0020194,-0.1774815,1.0978845,0,十河1人目リラックスVID20250616115433.csv,4
0.5177227,-0.24473226,-0.91248184,0.5007318,-0.49880108,-0.95032537,-0.21090873,1.0092632,1,十河1人目リラックスVID20250616115433.csv,4
0.5269922,-0.25257853,-0.93442166,0.4710496,-0.6518015,-0.9161663,-0.19992135,0.9300301,2,十河1人目リラックスVID20250616115433.csv,4
0.5197901,-0.2636128,-0.9590007,0.4612192,-0.7734188,-0.87568146,-0.19677415,0.85751826,3,十河1人目リラックスVID20250616115433.csv,4
0.50436807,-0.28164303,-0.99558717,0.44650263,-0.87958443,-0.8197255,-0.2188114,0.7623081,4,十河1人目リラックスVID20250616115433.csv,4
0.48888302,-0.25514975,-1.0027385,0.45300624,-1.0042903,-0.77131903,-0.2130374,0.6504098,5,十河1人目リラックスVID20250616115433.csv,4
0.45657474,-0.22146946,-0.99471074,0.5142298,-1.0763654,-0.7115781,-0.24149792,0.5422958,6,十河1人目リラックスVID20250616115433.csv,4
0.46177578,-0.19721392,-0.9348288,0.5424927,-1.1415145,-0.6393218,-0.27837175,0.43123126,7,十河1人目リラックスVID20250616115433.csv,4
0.45603257,-0.18722956,-0.8605204,0.612428,-1.1803616,-0.53742856,-0.3349208,0.32694298,8,十河1人目リラックスVID20250616115433.csv,4
0.47131038,-0.15731421,-0.7651535,0.64818734,-1.2356617,-0.4545193,-0.37775937,0.23818558,9,十河1人目リラックスVID20250616115433.csv,4
0.47917092,-0.11505723,-0.66708493,0.68863565,-1.2851056,-0.37453973,-0.4164563,0.16119146,10,十河1人目リラックスVID20250616115433.csv,4
0.44508713,-0.05591242,-0.5703375,0.76409626,-1.2849158,-0.31737673,-0.41403055,0.09211931,11,十河1人目リラックスVID20250616115433.csv,4
0.41809693,-0.018160708,-0.5356785,0.8490617,-1.2118422,-0.2700006,-0.4401761,0.075103335,12,十河1人目リラックスVID20250616115433.csv,4
0.37081912,0.03863748,-0.4853176,0.94155866,-1.1858653,-0.17370914,-0.44857642,0.06256197,13,十河1人目リラックスVID20250616115433.csv,4
0.33103758,0.10597282,-0.39975092,1.0493813,-1.1511523,-0.092809275,-0.43903732,0.051664926,14,十河1人目リラックスVID20250616115433.csv,4
0.2968947,0.15857252,-0.35340077,1.1164457,-1.0838109,-0.033177003,-0.45627096,0.038729936,15,十河1人目リラックスVID20250616115433.csv,4
0.2927952,0.25265348,-0.2631066,1.1470898,-1.0520098,0.036289893,-0.45679367,0.015744021,16,十河1人目リラックスVID20250616115433.csv,1
0.3135261,0.32698518,-0.16278824,1.1586312,-1.0082299,0.10200961,-0.47495323,0.0139023755,17,十河1人目リラックスVID20250616115433.csv,1
0.34190255,0.38655046,-0.07033756,1.162591,-0.9551879,0.16357663,-0.49533904,0.05319845,18,十河1人目リラックスVID20250616115433.csv,1
0.37969384,0.45532575,0.04394853,1.1487467,-0.9083266,0.22071925,-0.50210404,0.11753859,19,十河1人目リラックスVID20250616115433.csv,1
0.44477478,0.5002381,0.16250072,1.1500041,-0.8277729,0.2363274,-0.52027833,0.17996715,20,十河1人目リラックスVID20250616115433.csv,1
0.46670598,0.55878556,0.2516096,1.1222644,-0.7693915,0.28148,-0.52808565,0.22323945,21,十河1人目リラックスVID20250616115433.csv,1
0.5195753,0.60441387,0.36189744,1.0828387,-0.6748346,0.30320856,-0.5451,0.30503654,22,十河1人目リラックスVID20250616115433.csv,1
0.58882326,0.68174,0.45382807,1.0536644,-0.5312785,0.32278857,-0.5494836,0.4211177,23,十河1人目リラックスVID20250616115433.csv,1
0.6737056,0.69796544,0.5005302,0.98856556,-0.40853646,0.29035592,-0.55147123,0.54190093,24,十河1人目リラックスVID20250616115433.csv,1
0.76389265,0.6901748,0.5206042,0.90363425,-0.2793106,0.23584403,-0.5662412,0.67363834,25,十河1人目リラックスVID20250616115433.csv,6
0.82248336,0.6766538,0.5269829,0.80502987,-0.17776749,0.19779658,-0.57840735,0.7870742,26,十河1人目リラックスVID20250616115433.csv,6
0.8953477,0.6759037,0.51619136,0.72988284,-0.088941604,0.113146946,-0.5533449,0.94657564,27,十河1人目リラックスVID20250616115433.csv,6
0.9608292,0.6789397,0.48336363,0.6308387,-0.031316042,0.018446289,-0.5095752,1.0976139,28,十河1人目リラックスVID20250616115433.csv,6
0.9623317,0.66879123,0.3988323,0.52608055,0.005472433,-0.035732083,-0.46242845,1.1927838,29,十河1人目リラックスVID20250616115433.csv,6
0.9738875,0.6314292,0.28652236,0.40133455,0.07185284,-0.09052837,-0.43915907,1.2726893,30,十河1人目リラックスVID20250616115433.csv,6
0.9787044,0.5787024,0.17744361,0.28756326,0.10305556,-0.15535513,-0.41801655,1.3275384,31,十河1人目リラックスVID20250616115433.csv,6
0.9990117,0.51596016,0.063842475,0.14916278,0.10391849,-0.20984763,-0.3891777,1.3746811,32,十河1人目リラックスVID20250616115433.csv,4
1.0146581,0.4574482,-0.09705698,-0.0015124585,0.09613221,-0.27156776,-0.3351092,1.4206917,33,十河1人目リラックスVID20250616115433.csv,4
1.0108421,0.41103914,-0.25945157,-0.13007374,0.07817009,-0.34763953,-0.25501665,1.4301691,34,十河1人目リラックスVID20250616115433.csv,4
1.0249128,0.3379428,-0.4174124,-0.24275148,-0.03882636,-0.44006747,-0.15029489,1.4454391,35,十河1人目リラックスVID20250616115433.csv,4
1.0218117,0.2942852,-0.58905375,-0.32825422,-0.13130604,-0.49388427,-0.07726352,1.4185364,36,十河1人目リラックスVID20250616115433.csv,4
0.99899286,0.26377055,-0.7500809,-0.38563702,-0.22514914,-0.5268143,-0.029293548,1.3614272,37,十河1人目リラックスVID20250616115433.csv,4
1.0103601,0.2425641,-0.87889504,-0.48993787,-0.296388,-0.5770869,-0.016066799,1.2772728,38,十河1人目リラックスVID20250616115433.csv,4
1.0226039,0.23714997,-1.012873,-0.5596552,-0.37279895,-0.6478292,-0.00047022477,1.2032726,39,十河1人目リラックスVID20250616115433.csv,4
1.004659,0.2164795,-1.145517,-0.57183945,-0.4576682,-0.67679256,-0.021625169,1.1189829,40,十河1人目リラックスVID20250616115433.csv,4
0.9352465,0.20736861,-1.3417625,-0.55726916,-0.57263947,-0.59142685,-0.07659638,0.98432535,41,十河1人目リラックスVID20250616115433.csv,4
