z1,z2,z3,z4,z5,z6,z7,z8
-0.5854843,-0.32130882,1.915237,-0.8158772,0.87891686,0.96021557,-0.8431324,1.4158542
-0.53900355,-0.42219314,1.878418,-0.8608923,0.9844699,1.0142092,-0.917631,1.4456624
-0.49349353,-0.34024522,1.8707583,-0.8626307,0.9663711,0.87663805,-0.92834485,1.478671
-0.5635516,-0.2990111,1.9109501,-0.9623811,0.8765069,0.7153177,-0.90911627,1.294422
-0.5156209,-0.22989377,1.8744332,-0.97713816,0.80370694,0.7384076,-0.92770326,1.2437453
-0.47044596,-0.19442557,1.8941871,-0.9791893,0.753565,0.71416384,-0.9067579,1.1775765
-0.43649602,-0.156543,1.9361807,-1.0316787,0.71375996,0.59941375,-0.86235887,1.0596148
-0.5077785,-0.17194359,1.9435214,-1.1983069,0.55092174,0.44829366,-0.76971376,0.83775246
-0.6182751,-0.18176386,1.9221658,-1.3258659,0.46265736,0.34554178,-0.6633876,0.7289959
-0.7030551,-0.24322253,1.8857205,-1.4384756,0.36906424,0.30226216,-0.6159116,0.60205466
-0.7467718,-0.29134354,1.9176145,-1.4430761,0.2884599,0.2598296,-0.5468177,0.49926418
-0.7663495,-0.17863129,1.9354938,-1.3562672,0.15564929,0.20184427,-0.4534201,0.4774633
-0.9246447,-0.041943002,1.976118,-1.268989,-0.034767207,0.1209177,-0.3013861,0.47196943
-1.0835621,0.22547469,1.9231015,-1.2472866,-0.32488123,0.0605648,-0.18074416,0.3886696
-1.189456,0.34289703,1.838441,-1.2954247,-0.47778445,0.05118955,-0.14394858,0.38472903
-1.2110293,0.38370505,1.7802216,-1.2409292,-0.5062674,0.12376926,-0.10655969,0.4636501
-1.2596465,0.35217932,1.7503712,-1.166807,-0.45862734,0.20819113,-0.0988617,0.6146955
-1.3012524,0.35651848,1.7046629,-1.1084545,-0.43429947,0.2558516,-0.11449717,0.71016127
-1.2898623,0.46761605,1.6277107,-1.0676244,-0.4671828,0.22045088,-0.12264716,0.76641446
-1.2786573,0.5863102,1.6044314,-0.9162755,-0.52110595,0.34541777,-0.09031564,0.8591285
-1.433886,0.79000837,1.5811042,-0.6259533,-0.5635944,0.7233697,0.02705631,0.89595175
-1.4141098,0.87825304,1.5614074,-0.44459555,-0.5964363,0.9361096,0.12434171,0.92754865
-1.3862361,0.8729232,1.5623848,-0.3320276,-0.6051652,1.1069773,0.15250696,0.9876164
-1.3709732,0.8430783,1.5921644,-0.2864951,-0.5810435,1.1754649,0.15755832,1.0401188
-1.296171,0.75661814,1.6563755,-0.07062247,-0.42499876,1.345872,0.222571,1.2446388
-1.2810783,0.46081728,1.7035427,0.13438174,-0.21815337,1.6188735,0.06853366,1.6257685
-1.2597649,0.49737173,1.75179,0.048525065,-0.22697987,1.4776424,0.029085563,1.4809802
-1.1666129,0.4881372,1.7679182,-0.014200881,-0.18072458,1.4884471,-0.0061486433,1.4526992
-1.0826379,0.3469108,1.7827377,0.026382402,-0.059775192,1.6234235,-0.08197259,1.5641989
-0.90653175,0.15848583,1.7276808,0.1287721,0.005817342,1.755435,-0.20182633,1.6837753
-0.8176319,0.09175889,1.7342682,0.13394773,0.008911703,1.7321287,-0.2643624,1.6930273
-0.7932491,0.2263952,1.755573,-0.018473461,-0.121435486,1.5298747,-0.28485566,1.5131775
-0.7069385,0.16894078,1.7182902,0.09465003,0.049541656,1.6010842,-0.38422552,1.8507271
-0.42111772,-0.018582124,1.743635,-0.13623327,0.14102976,1.2598723,-0.592849,1.8452413
-0.3954728,0.06836857,1.7818718,-0.24383146,0.32733476,1.0846592,-0.6447889,1.8812444
-0.18928656,0.005214667,1.7043718,-0.3812891,0.4391787,0.9974878,-0.83389854,1.843437
-0.03163256,-0.055065233,1.6788325,-0.5030261,0.5542118,0.9049896,-0.94783413,1.7475528
0.07619647,-0.020445868,1.682086,-0.7227063,0.32694164,0.71695966,-1.0739585,1.5036788
0.05656048,0.074059844,1.7389722,-0.8091488,0.30449784,0.5988008,-1.0195019,1.4278157
0.16528013,0.12418991,1.7316504,-0.87486327,0.28244504,0.5357606,-1.0322026,1.2747347
0.17535707,0.21170269,1.746641,-0.9916266,0.24487756,0.3907122,-0.951403,1.1591134
0.14211985,0.14421162,1.7786442,-1.0425028,0.193116,0.26943836,-0.97361183,1.1582036
0.13931623,0.12172848,1.7688859,-1.0693107,0.14091046,0.21112868,-0.9666304,1.1094489
-0.004636552,0.23968786,1.7410655,-1.2450742,-0.0065639587,0.028086223,-0.86233985,1.0083901
-0.014645632,0.30754167,1.7053874,-1.2225899,-0.11560501,0.017270006,-0.85841,0.96934175
0.056235045,0.46202973,1.7291844,-1.0637661,-0.16516107,0.11565965,-0.8297166,1.097512
0.07237633,0.50439996,1.7331303,-0.9742862,-0.2539183,0.10651193,-0.8034693,1.1304023
0.028346062,0.6061903,1.699682,-0.85705864,-0.4347128,0.123118885,-0.73720247,1.1139234
-0.1653335,0.8123368,1.6370211,-0.6780231,-0.67963934,0.17314103,-0.6117417,1.1151885
-0.25406322,0.97452927,1.4933141,-0.55621237,-0.8951047,0.1960912,-0.5801025,1.1689953
-0.26763123,1.0503954,1.372851,-0.49441528,-0.9790779,0.25543305,-0.57199144,1.269743
-0.38158473,1.1726943,1.3040863,-0.52267516,-1.0013257,0.22942746,-0.503544,1.2160635
-0.47972864,1.3443457,1.2358774,-0.43235892,-1.0137525,0.29409465,-0.45315513,1.178106
-0.65871775,1.5480165,1.1645585,-0.17445968,-1.0694057,0.6631571,-0.36247098,1.2212211
-0.6762558,1.6267576,1.1248538,-0.12616281,-1.0480806,0.6719281,-0.29809365,1.2357563
-0.6234897,1.7032471,1.098689,-0.07662531,-1.087267,0.715183,-0.24084815,1.1525095
-0.606033,1.7166501,1.0829905,-0.026487771,-1.104917,0.75730705,-0.20496707,1.1573111
-0.47950134,1.7402277,1.0822959,0.06530532,-1.134678,0.93187845,-0.20148976,1.1497723
-0.45348123,1.5947798,1.114948,0.13565417,-1.1078347,1.0864048,-0.30989823,1.339846
-0.43190473,1.3620976,1.0920993,0.31287634,-1.0722771,1.2872938,-0.40577772,1.5806952
-0.42148793,1.0897355,0.9872138,0.515954,-0.940023,1.583469,-0.45859697,1.8898448
-0.3860718,0.95154744,0.98668367,0.58730245,-0.83014053,1.7119855,-0.5748178,2.0477226
-0.30151856,0.86621785,0.9840868,0.6185225,-0.82276267,1.7239676,-0.6707579,2.084301
-0.29845905,0.7444194,0.9963247,0.6215211,-0.739367,1.8131671,-0.6903568,2.1298099
-0.25569302,0.73426926,0.99232584,0.6122885,-0.7244063,1.8109034,-0.72944605,2.121611
-0.2532978,0.6946713,0.9888126,0.5903926,-0.6912035,1.7947989,-0.75949794,2.1251686
-0.20590979,0.72563267,1.034226,0.5410583,-0.6931778,1.7479517,-0.80422634,2.0429442
-0.12763943,0.66366494,1.0291481,0.5729983,-0.59256625,1.7539818,-0.9159643,2.155617
0.40863284,0.28666577,1.0503552,0.24254265,-0.19487508,1.4464178,-1.3304589,2.2120967
0.9654282,0.12105343,1.1010957,-0.039214473,-0.17374529,0.9776474,-1.7579061,2.033487
1.0644865,0.10240233,1.0710193,-0.043117262,-0.12977098,0.9165398,-1.832436,2.0058136
1.1134448,0.28888452,1.2175049,-0.11963579,-0.31723085,0.6595237,-1.800326,1.8081441
1.0694174,0.45880648,1.1969472,-0.2540036,-0.4889884,0.41498274,-1.7725146,1.7248651
1.0857782,0.45865154,1.194009,-0.23978911,-0.44670552,0.4705448,-1.7465577,1.7046778
1.0590725,0.45228922,1.203493,-0.26993328,-0.46189028,0.4784769,-1.7452214,1.6966875
1.0383211,0.52104664,1.2516619,-0.40016338,-0.50706995,0.39037046,-1.6821822,1.5376741
1.0452743,0.55264,1.3462353,-0.5033937,-0.5298848,0.19055456,-1.6365385,1.4393761
1.0609066,0.6104873,1.4288013,-0.58497715,-0.5288103,0.061300524,-1.6108696,1.3337264
1.083525,0.6313421,1.5294318,-0.6093136,-0.54474896,0.034722067,-1.6041107,1.2329924
1.1145225,0.63009596,1.5726246,-0.58356035,-0.6210115,0.021911442,-1.5489184,1.2188579
1.0863528,0.61676955,1.5658922,-0.6279075,-0.827881,0.022443332,-1.3803474,1.1335431
1.1232166,0.58570284,1.658448,-0.49822327,-0.85686785,0.071271874,-1.1750027,1.0681207
1.0503411,0.69598496,1.5920756,-0.4414323,-1.0684974,0.100003175,-1.0926828,0.9290277
0.99081486,0.7839454,1.4418616,-0.46212962,-1.222803,0.051363513,-1.0490434,0.90304154
0.90802646,0.90140533,1.307524,-0.538614,-1.3539722,0.004104644,-1.0027219,0.8634652
0.94135803,0.9077038,1.2778062,-0.42957982,-1.4509218,-0.021458201,-1.0187917,0.9506644
0.8628406,1.0056437,1.1767645,-0.24615426,-1.6709495,-0.011795785,-0.9052904,1.125249
0.7252374,1.0756025,1.0366285,-0.11998539,-1.8588022,0.04895538,-0.7609545,1.3363171
0.7214977,1.0757107,0.9614461,-0.12931396,-1.9480841,0.13707915,-0.7091886,1.3357923
