z1,z2,z3,z4,z5,z6,z7,z8
1.0688342,0.29109174,-0.46361762,1.6351469,0.16971567,-0.5544014,-0.55107147,0.7345013
1.0592985,0.31691316,-0.48978236,1.6291078,0.22892156,-0.59883326,-0.5475214,0.8080248
1.0440081,0.31963187,-0.515561,1.5801665,0.2693505,-0.6296854,-0.5408861,0.8311855
1.0328977,0.2915508,-0.520939,1.5076525,0.29640105,-0.6607429,-0.5191558,0.87480766
1.043112,0.2654082,-0.50782686,1.4011933,0.32146904,-0.70946705,-0.49777454,0.94848436
1.0708592,0.22440934,-0.5067379,1.301825,0.34225625,-0.76089716,-0.48565137,1.0215061
1.0884254,0.18183902,-0.5057563,1.1778617,0.3713545,-0.8217103,-0.48841697,1.0824803
1.1111714,0.14193143,-0.5458198,1.0764766,0.36082137,-0.87399054,-0.4738809,1.1112617
1.1262367,0.091228135,-0.5785034,0.98474497,0.35375425,-0.89409167,-0.47116736,1.1395222
1.1448551,0.026833879,-0.60226715,0.8803957,0.39560756,-0.9106196,-0.47540534,1.1932791
1.1359487,0.0033130776,-0.65334904,0.78123134,0.41840342,-0.8905031,-0.527022,1.2008576
1.1409596,-0.007848421,-0.7103111,0.67734057,0.42094207,-0.9247128,-0.5577845,1.2190725
1.134423,-0.033958275,-0.79841626,0.6370774,0.3809508,-0.98846245,-0.53137255,1.2513087
1.1181014,-0.051767692,-0.89751416,0.57812476,0.32512498,-1.0445515,-0.5070962,1.2469866
1.1023769,-0.042756263,-1.0123781,0.541105,0.24555969,-1.0951004,-0.45331493,1.2114531
1.0737355,-0.06821512,-1.0978725,0.5033956,0.15153207,-1.11941,-0.40495402,1.1211975
1.0649513,-0.07596355,-1.1734693,0.47059667,0.027797963,-1.1458287,-0.3368877,1.0536318
1.0658282,-0.07821172,-1.2003053,0.41551706,-0.08594341,-1.1782395,-0.22595419,1.0090153
1.0476075,-0.07966215,-1.245716,0.37169895,-0.18010779,-1.1607089,-0.15996413,0.9527058
0.9961538,-0.078734875,-1.2961262,0.38715023,-0.31802896,-1.1268079,-0.10630925,0.8653944
0.9304356,-0.042438194,-1.3445786,0.49316278,-0.58937526,-1.0613292,-0.045883413,0.69491524
0.89571685,-0.03264464,-1.3909935,0.562127,-0.76570886,-1.0021479,-0.050554037,0.54325134
0.8791376,0.0033795815,-1.4032621,0.59781283,-0.87185615,-0.9508109,-0.08083455,0.42838132
0.8602582,0.028187959,-1.4182864,0.6503878,-0.9367235,-0.8820095,-0.13926098,0.32194623
0.8467054,0.052790128,-1.40001,0.7074509,-1.0147539,-0.77776164,-0.20273997,0.20219506
0.85338974,0.06295033,-1.375846,0.7454787,-1.0511261,-0.6936208,-0.26151994,0.13015287
0.87312275,0.08186778,-1.3636987,0.83987844,-1.0465394,-0.6241004,-0.33247563,0.08533512
0.8714153,0.13415281,-1.356112,0.96772563,-0.993475,-0.57936764,-0.37344065,0.070955224
0.80211926,0.19539528,-1.3144794,1.0874748,-0.9309234,-0.49028122,-0.3569329,0.050823584
0.72492224,0.23062049,-1.2291794,1.1404172,-0.8626552,-0.45489994,-0.32537276,0.07197368
0.6530308,0.2841555,-1.1379606,1.2008343,-0.8028398,-0.39239818,-0.28402752,0.08127534
0.6041252,0.35740942,-1.0632237,1.252393,-0.75037944,-0.32099712,-0.26014903,0.07161794
0.585652,0.41214326,-0.9909824,1.276568,-0.65474766,-0.26499182,-0.2810255,0.071634255
0.5927125,0.51982313,-0.8976168,1.3069384,-0.6333429,-0.1759439,-0.2668259,0.045809552
0.5998184,0.60247564,-0.8216181,1.3542671,-0.5846415,-0.10252078,-0.29727206,0.02987259
0.64350337,0.6561689,-0.7232545,1.4039398,-0.49984553,-0.043712765,-0.31839207,0.025639744
0.5981066,0.73061264,-0.6216557,1.404775,-0.44999072,-0.0018986808,-0.29914284,0.05688098
0.57691777,0.83116007,-0.49017537,1.3687239,-0.39246145,0.04469666,-0.28437313,0.12551768
0.6126729,0.92345953,-0.37081444,1.357893,-0.34263757,0.090368725,-0.28036085,0.1989209
0.72796965,0.9895253,-0.2073132,1.2812564,-0.18885697,0.08844574,-0.27738452,0.4027431
0.8049005,1.062273,-0.14212754,1.2345965,-0.09669929,0.06454644,-0.2733263,0.5463538
0.85613996,1.0948875,-0.051058806,1.1223525,0.010838167,0.019525897,-0.26655975,0.6616585
0.92402583,1.1172434,0.010676337,1.0166587,0.11219169,-0.02285035,-0.25865737,0.75185853
1.0027025,1.1028546,0.051850617,0.930769,0.1817507,-0.058381137,-0.23635088,0.858612
1.0696871,1.0842412,0.076293044,0.8323785,0.26520544,-0.10370306,-0.21766485,0.9582554
1.1503427,1.0806733,0.09610325,0.6671938,0.36023656,-0.16737384,-0.19540873,1.06169
1.234624,1.072442,0.078916155,0.51687396,0.37320885,-0.22197519,-0.12848371,1.1609395
1.3140503,1.042576,0.030621937,0.3727451,0.28996378,-0.30294427,-0.031336304,1.2498741
1.3752533,1.0330213,-0.08797254,0.22134632,0.19639109,-0.40023714,0.04876559,1.3066972
1.4685996,0.9830578,-0.17824674,0.011093189,0.11126665,-0.5081489,0.09723547,1.4018488
1.5137608,0.9850267,-0.3348554,-0.1477927,0.05331463,-0.6002962,0.14721791,1.4330264
1.5309079,0.93999076,-0.45776153,-0.27110425,-0.020267403,-0.6778467,0.18435527,1.4457843
1.5264928,0.9096869,-0.6122983,-0.3551851,-0.11949491,-0.7398776,0.2306174,1.4090558
1.4722735,0.8614439,-0.7970814,-0.4218958,-0.25492886,-0.79164314,0.27896062,1.3412333
1.4725802,0.83735776,-0.925829,-0.49443433,-0.3538319,-0.79034764,0.30948955,1.2515075
1.4304444,0.84583294,-1.0247219,-0.5081,-0.51554126,-0.82613814,0.35955006,1.1698761
