z1,z2,z3,z4,z5,z6,z7,z8
-0.18212084,-0.38814354,1.1114725,-1.2002336,0.4350324,0.34643525,0.053737238,0.049616225
-0.20580274,-0.40801045,1.1174033,-1.1191124,0.49971586,0.34221104,0.069214374,0.054296784
-0.19544479,-0.47541064,1.1345425,-1.0239631,0.4374516,0.28164595,0.054238155,0.15684602
-0.17828384,-0.51169497,1.1295452,-0.93306756,0.372852,0.23830485,0.076441735,0.22414282
-0.16798897,-0.5461861,1.106776,-0.86876637,0.29847458,0.19971165,0.12486844,0.28358626
-0.15093787,-0.57442296,1.0563359,-0.8108625,0.26647303,0.1581682,0.1535589,0.3501321
-0.14518121,-0.5779806,0.9927584,-0.7787382,0.24117875,0.09506837,0.18218806,0.39772478
-0.15266915,-0.5698711,0.95091355,-0.7384822,0.21836914,0.09662872,0.32781523,0.42945158
-0.14741358,-0.5737117,0.9009729,-0.740143,0.26406386,0.12985814,0.45946646,0.45677873
-0.13556084,-0.571925,0.86737734,-0.7469765,0.285121,0.12852702,0.54201597,0.47505036
-0.12963109,-0.5733363,0.83857924,-0.72912055,0.32614484,0.13761666,0.6320008,0.5005102
-0.09681678,-0.6095216,0.8107558,-0.7247176,0.32005394,0.11525392,0.6582787,0.5252923
-0.12740909,-0.57597876,0.7675651,-0.69335216,0.27707186,0.12011611,0.7388592,0.55631983
-0.14893173,-0.5433329,0.7043203,-0.7990811,0.38415882,0.17237246,0.7833072,0.4981064
-0.1836089,-0.51520425,0.63838154,-0.8333465,0.37730816,0.17048258,0.8530121,0.51416695
-0.2280253,-0.44092578,0.5364484,-0.9326176,0.44984186,0.23620293,0.9723705,0.5259754
-0.2580969,-0.3842435,0.46386218,-1.0960809,0.49358323,0.28590137,1.0555097,0.4881269
-0.24045438,-0.3564646,0.4283265,-1.2529869,0.51383156,0.34374684,1.0316302,0.5014589
-0.22093162,-0.3280161,0.43405783,-1.3586379,0.5188744,0.39824846,1.001646,0.4956112
-0.21582338,-0.28491375,0.42899746,-1.4510143,0.50623214,0.42977738,0.99741447,0.48703536
-0.20835763,-0.23765565,0.41055727,-1.5256127,0.47550127,0.45268568,0.98171365,0.49568442
-0.23959062,-0.1360892,0.3311243,-1.6230419,0.4747901,0.50216967,1.0322702,0.4664741
-0.22504212,-0.11261316,0.39865392,-1.6741251,0.496679,0.55439514,0.9660275,0.47291425
-0.25036114,-0.04887079,0.42428058,-1.7256278,0.53433913,0.6037252,0.95459974,0.42667583
-0.31089944,0.047884304,0.3895114,-1.7987121,0.61134183,0.67051387,0.9771147,0.37935767
-0.35943982,0.12026866,0.394979,-1.8593621,0.6576314,0.69895023,0.9342978,0.36355305
-0.39298508,0.16272049,0.42583543,-1.8936237,0.67313564,0.69293594,0.8588583,0.36759365
-0.44542915,0.21067834,0.44349813,-1.935149,0.6895522,0.669496,0.7880627,0.36022553
-0.50373125,0.2625952,0.48300856,-1.9460593,0.6974297,0.6441625,0.69085616,0.36159852
-0.556973,0.2830159,0.5921111,-1.9045532,0.6512657,0.6095522,0.5470947,0.37502623
-0.58059496,0.31053722,0.79632384,-1.8419874,0.6062228,0.55069035,0.32771587,0.3795332
-0.6012541,0.29164279,1.0092772,-1.7296895,0.6134398,0.48486713,0.108641,0.42723402
-0.63260216,0.26769418,1.1148193,-1.6265938,0.6502584,0.41565663,-0.0020656288,0.44875675
-0.6589525,0.20872554,1.2053186,-1.4932098,0.65635043,0.33415994,-0.08131259,0.4911946
-0.67690194,0.13774616,1.3028601,-1.3181391,0.6144352,0.2615904,-0.15694821,0.5167635
-0.71963626,0.088017374,1.3543476,-1.1415219,0.5851751,0.17399067,-0.18179709,0.55988246
-0.7441975,0.051041238,1.3771887,-0.94329077,0.5631604,0.08910868,-0.18268499,0.5883805
-0.7757716,0.023601543,1.3982421,-0.77492326,0.54776466,-0.007117098,-0.1579194,0.6354744
-0.7876399,-0.028173294,1.3823093,-0.63785064,0.54251504,-0.12676649,-0.2044357,0.6919587
-0.8107274,-0.05082765,1.341125,-0.44976056,0.51730716,-0.16350529,-0.1339912,0.71257627
-0.8209217,-0.09141487,1.3042105,-0.31408063,0.51402307,-0.19712627,-0.036180045,0.7270313
-0.8135092,-0.12065853,1.2258961,-0.19543633,0.51754576,-0.24132591,0.08821604,0.70577276
-0.8410341,-0.13937344,1.1368824,-0.016465887,0.52707404,-0.24063742,0.24560082,0.7105006
-0.84475106,-0.16488636,1.0544512,0.10316024,0.50379467,-0.26614252,0.34681383,0.7190376
-0.8650771,-0.15581544,0.97469735,0.192911,0.46050882,-0.28453177,0.43929303,0.7556
-0.8561967,-0.15976705,0.86845016,0.22051054,0.42455727,-0.2826802,0.5549066,0.785931
-0.8605804,-0.18681876,0.7171695,0.2696152,0.37899962,-0.25048062,0.74850184,0.81946266
-0.8604565,-0.16293478,0.5941276,0.22067103,0.36188567,-0.17224514,0.90783155,0.81862026
