z1,z2,z3,z4,z5,z6,z7,z8
-1.1421382,-0.19672368,0.38266355,-1.2920877,1.3170764,0.5852617,-0.27994436,-0.6459051
-1.1426886,-0.20713837,0.44503367,-1.2749401,1.3477755,0.551954,-0.36743098,-0.5998018
-1.1268383,-0.30089587,0.5655589,-1.1354034,1.2626935,0.5083378,-0.47835982,-0.46729937
-1.1231216,-0.34354407,0.62452894,-1.0297844,1.1877381,0.45914567,-0.54189914,-0.3866664
-1.1489307,-0.33055165,0.6638271,-0.9374998,1.1678009,0.42672572,-0.5754295,-0.40479568
-1.2188629,-0.34676614,0.70349586,-0.79682326,1.1517235,0.32942584,-0.6131403,-0.3477473
-1.2313572,-0.3892167,0.75777453,-0.6488659,1.0619757,0.22210032,-0.66712576,-0.27433422
-1.2402626,-0.42403677,0.76825356,-0.5193682,0.9583553,0.09463788,-0.69765955,-0.17783453
-1.2422777,-0.42632702,0.7981336,-0.35012937,0.82666385,-0.0064509846,-0.6729506,-0.13670638
-1.2642848,-0.45055604,0.8279571,-0.2153419,0.7277136,-0.1130412,-0.65008295,-0.048999716
-1.2610387,-0.46751696,0.823889,-0.05374302,0.61864746,-0.16804656,-0.5760427,0.01273521
-1.2233326,-0.5214792,0.82093424,0.05193668,0.55597925,-0.1930129,-0.48117176,0.080947794
-1.2063612,-0.5460257,0.7832549,0.122288175,0.5063788,-0.21975535,-0.39880192,0.16280428
-1.169836,-0.5719325,0.7316369,0.123807125,0.513269,-0.25232795,-0.32436392,0.22573319
-1.1439484,-0.5669366,0.6606074,0.19872397,0.50896794,-0.22123322,-0.15198278,0.29105768
-1.0922592,-0.60850185,0.5797321,0.25396422,0.52384824,-0.15709366,0.1016919,0.35021076
-1.0485001,-0.6230059,0.48733896,0.21205854,0.53778625,-0.10663176,0.2866782,0.38670808
-1.0298136,-0.6127326,0.39501297,0.13478899,0.55812496,-0.045768596,0.46239382,0.39466855
-1.029983,-0.58136535,0.3123341,0.0076521784,0.5771912,0.00196426,0.61749977,0.36866137
-1.0532497,-0.5456679,0.19624329,-0.13190958,0.5527644,0.057072565,0.8178346,0.36320508
-1.0812192,-0.47170603,0.06333171,-0.3016866,0.53599745,0.11967798,0.94061124,0.32069212
-1.1113895,-0.377767,-0.047094315,-0.44525492,0.51725763,0.17456517,1.0127633,0.30086392
-1.1728398,-0.25812975,-0.13104986,-0.57852805,0.5507594,0.29159787,1.104749,0.23633006
-1.2237688,-0.12613177,-0.20429648,-0.70547724,0.5995044,0.4094584,1.1735032,0.16545168
-1.2679068,0.010044623,-0.32715166,-0.82637054,0.56348866,0.46908298,1.2234565,0.14817052
-1.3056581,0.14393197,-0.44865763,-0.9522946,0.545308,0.50549585,1.2655659,0.11699362
-1.3391597,0.27566868,-0.5034814,-1.1135427,0.6143017,0.5542294,1.282855,0.04433223
-1.3716017,0.37666818,-0.52217066,-1.2463665,0.6540311,0.5744896,1.2304273,0.00808743
-1.3803487,0.45662937,-0.53167677,-1.3736001,0.6899795,0.5968915,1.1527774,0.003284717
-1.3945324,0.516985,-0.54138494,-1.5293816,0.7183195,0.606049,1.0248972,0.010481952
-1.3785666,0.59407705,-0.5187718,-1.671871,0.80095404,0.65345144,0.84893245,0.03436605
-1.3929933,0.64734966,-0.4503824,-1.7404555,0.88765484,0.62590367,0.61792135,0.06590223
-1.407045,0.6651171,-0.3741305,-1.7478875,0.97396415,0.5915967,0.41925386,0.09162472
-1.43664,0.66851944,-0.2955321,-1.710147,1.0453125,0.58033985,0.23142576,0.1475193
-1.4375262,0.5962991,-0.0368149,-1.5967923,1.0783745,0.5414861,-0.059820455,0.17808448
-1.4530011,0.5459253,0.17856653,-1.449938,1.0958431,0.4566564,-0.31630036,0.24839377
-1.4836745,0.48722944,0.409173,-1.2125362,1.0957667,0.30798015,-0.541207,0.32259145
-1.5389092,0.45713472,0.59831685,-0.9348137,1.0480841,0.16655558,-0.6563719,0.37503767
-1.5879334,0.45271164,0.6774737,-0.7411279,0.98385715,0.038166985,-0.71268517,0.44207305
-1.6090137,0.41778192,0.6893474,-0.64360297,0.9441746,-0.08953953,-0.762218,0.47966835
-1.6118021,0.4024945,0.6860302,-0.49656183,0.8654883,-0.16803524,-0.7215222,0.5414185
-1.5965002,0.34911153,0.6884493,-0.30277333,0.8146519,-0.24574849,-0.64166063,0.637668
-1.5857044,0.3072195,0.6734005,-0.14177786,0.7883131,-0.32953104,-0.58350515,0.7379498
-1.5297238,0.21757092,0.646777,-0.0651505,0.71653855,-0.40905654,-0.5398129,0.8125373
