z1,z2,z3,z4,z5,z6,z7,z8
0.05493577,-0.59419924,0.1773121,0.5171306,-0.20289783,-0.3110582,0.9066139,-0.52541876
0.050462805,-0.500903,0.1647068,0.49964413,-0.2548833,-0.27930236,0.9491225,-0.4970253
-0.008111063,-0.3683962,0.10503034,0.5993134,-0.25242114,-0.16533586,1.0124435,-0.25040472
-0.042119913,-0.28992495,0.008007813,0.62257016,-0.19242749,-0.045914307,1.0671895,0.014437474
-0.07214138,-0.2901173,-0.09633002,0.60966253,-0.2465029,0.03170769,1.1241689,0.033248782
-0.11479558,-0.31640837,-0.2249924,0.5816461,-0.26447266,0.11856807,1.154068,0.103589505
-0.14941698,-0.36153436,-0.34466597,0.58168435,-0.2506427,0.2142483,1.1870966,0.17854924
-0.16487081,-0.4136263,-0.4541656,0.5577178,-0.22491257,0.29615346,1.1799014,0.25887913
-0.15380892,-0.4529408,-0.5421125,0.5231534,-0.21597676,0.3476207,1.164032,0.26292562
-0.16047251,-0.4593814,-0.63964987,0.42226034,-0.23556982,0.3552142,1.1413113,0.2223591
-0.15603173,-0.49763048,-0.7387359,0.34795174,-0.21211386,0.40031108,1.1390733,0.20966737
-0.1327265,-0.55373627,-0.81232256,0.29713655,-0.17211734,0.4598376,1.1225195,0.22172706
-0.1160301,-0.5825647,-0.88321847,0.25095773,-0.14348918,0.49534258,1.0764668,0.21078815
-0.09149871,-0.63593507,-0.94869477,0.21596289,-0.093543,0.55388784,1.0265088,0.23157902
-0.062171087,-0.69916236,-1.0322202,0.18422246,-0.029929433,0.6448459,0.9661846,0.2512576
-0.021079585,-0.8209429,-1.0816133,0.1607986,0.056234583,0.7214226,0.90585893,0.31210428
0.02792941,-0.9451393,-1.1028881,0.17194569,0.1426589,0.76717484,0.8174947,0.36063766
0.074538074,-1.0505502,-1.0803982,0.17677756,0.21187185,0.78197235,0.71900153,0.38989443
0.13469213,-1.119614,-1.0234691,0.17868492,0.27990678,0.75823474,0.62869,0.3780725
0.21970123,-1.1444604,-0.92509276,0.21084583,0.36237502,0.68472767,0.5565258,0.31349862
0.31842926,-1.1143099,-0.7557482,0.27952924,0.42935255,0.5381018,0.5229604,0.16064495
0.41207206,-1.0992137,-0.6112842,0.3302009,0.4992866,0.38530678,0.53465015,0.0396199
0.45113763,-1.0577081,-0.47268435,0.37662363,0.5482315,0.24382934,0.55520046,-0.031390168
0.46831748,-0.98906773,-0.35403353,0.3904932,0.53480357,0.1083897,0.5696413,-0.12315367
0.4897,-0.9421071,-0.24752352,0.43364945,0.4958973,0.01669804,0.5678114,-0.22151195
0.4945583,-0.9019728,-0.16099072,0.47499683,0.46854922,-0.0579964,0.5850526,-0.30234993
0.49591103,-0.85132754,-0.09399543,0.5171448,0.43190432,-0.14411974,0.59093744,-0.39295202
0.51023513,-0.7958759,-0.021505404,0.5411786,0.38848087,-0.2430279,0.5999807,-0.490923
0.5289834,-0.70911664,0.053248975,0.5615412,0.31388482,-0.31608993,0.6111236,-0.5662985
0.5249434,-0.6063084,0.09311879,0.5862621,0.23449448,-0.36205417,0.6430013,-0.60766536
0.51822746,-0.50369453,0.115238905,0.6258631,0.16209579,-0.4032969,0.6859737,-0.62961584
0.52487606,-0.40080202,0.12985717,0.64994514,0.097528465,-0.43754452,0.73602957,-0.6448512
0.49793473,-0.30714482,0.112522885,0.67308176,0.007896747,-0.4472902,0.78969306,-0.6415051
0.47385195,-0.21334778,0.09772904,0.67851305,-0.08511879,-0.43753257,0.84190434,-0.62988025
0.41763303,-0.1523917,0.04941876,0.6900029,-0.18203808,-0.40591136,0.8686125,-0.5877869
0.3534341,-0.06893957,-0.014084544,0.71125257,-0.29445243,-0.35203123,0.9372165,-0.5655402
0.30695385,-0.01562025,-0.14082207,0.7101166,-0.41144064,-0.2664851,1.008579,-0.5581013
0.26095095,-0.01607417,-0.30160972,0.68868685,-0.50129557,-0.14771509,1.0539587,-0.5310565
0.1996736,-0.029200202,-0.47994226,0.6845616,-0.5744028,-0.008007295,1.0995904,-0.48296696
0.15497631,-0.04177172,-0.67490447,0.6726358,-0.6346197,0.14003015,1.1544997,-0.4485396
0.15246305,-0.08070588,-0.8389414,0.63572836,-0.64051014,0.25235382,1.1751935,-0.39972955
0.17018709,-0.13576646,-0.9771885,0.56145966,-0.6181869,0.32573485,1.1795514,-0.33502072
0.2142787,-0.19418079,-1.0805968,0.46794924,-0.5713059,0.36844385,1.1545677,-0.26401973
0.26617965,-0.24806905,-1.2086103,0.39435044,-0.5239813,0.41269052,1.129819,-0.18143506
0.32166216,-0.3045489,-1.2781774,0.35434946,-0.4591124,0.43053094,1.0723317,-0.119136006
0.39106202,-0.36359867,-1.362541,0.30256367,-0.40482026,0.46474847,1.0219008,-0.06428639
0.47068307,-0.43657112,-1.4444929,0.22867292,-0.35316885,0.5132564,0.97933567,-0.010863319
0.53877246,-0.52887714,-1.4787573,0.16087855,-0.29717153,0.58020693,0.93228644,0.07086982
0.607555,-0.6393499,-1.5029981,0.15575168,-0.20431277,0.6326879,0.8426155,0.13931671
0.6949237,-0.76608944,-1.506052,0.18213809,-0.08114957,0.6596728,0.73316437,0.20609511
0.7609313,-0.8412306,-1.4217451,0.2256177,-0.018586725,0.64276177,0.63524014,0.2205887
0.8356703,-0.87407506,-1.2917027,0.26337603,0.018396722,0.61000437,0.5503284,0.16895358
0.9077441,-0.912893,-1.1465416,0.3053542,0.07383723,0.5452919,0.47605234,0.09476516
0.9805811,-0.9543632,-1.034692,0.37162694,0.123153806,0.46669748,0.40567464,0.03781765
1.0080211,-0.9459944,-0.8944439,0.4190068,0.16038725,0.35632783,0.37770066,-0.0213597
1.056168,-0.93337584,-0.74377316,0.47447053,0.15431742,0.25264516,0.3378889,-0.109799
1.0973737,-0.8858661,-0.5889945,0.51691663,0.117007785,0.16488796,0.27724966,-0.21212038
1.1439143,-0.8114238,-0.43877196,0.54037464,0.068475746,0.07619623,0.19919871,-0.31793684
1.1922956,-0.7558512,-0.30608618,0.54741573,0.017484821,-0.010787159,0.14705811,-0.43077737
1.2412106,-0.70367146,-0.19480039,0.57656574,-0.0716329,-0.10449208,0.10112344,-0.53366095
1.2785,-0.63887,-0.12081249,0.6008254,-0.18795393,-0.1911431,0.07792817,-0.6284633
1.2536908,-0.566639,-0.05380117,0.6336976,-0.27022395,-0.21618766,0.06148476,-0.6916922
1.2327379,-0.4885516,-0.020794954,0.6855223,-0.40711194,-0.25702956,0.07025359,-0.7574529
1.2500994,-0.38484585,0.008298833,0.7255343,-0.5689875,-0.3033677,0.124932796,-0.8186832
1.238242,-0.273111,0.029363152,0.75096583,-0.7223559,-0.33564517,0.20576891,-0.85622144
1.2198275,-0.1728151,0.031803396,0.7672241,-0.8381136,-0.33867842,0.25306675,-0.8715212
1.18711,-0.09019032,-0.003386952,0.7990904,-0.97179174,-0.32579267,0.29722068,-0.87663937
1.152823,-0.0049315384,-0.13898887,0.838025,-1.1864629,-0.2647457,0.38479283,-0.81549037
1.1090887,0.06079826,-0.23828977,0.8453413,-1.3417715,-0.19969672,0.43614373,-0.7742456
1.0584521,0.13950308,-0.43989947,0.84830797,-1.5182815,-0.06843999,0.5211522,-0.7034312
1.0196029,0.15336518,-0.6230708,0.7949215,-1.6653969,0.038642697,0.604869,-0.64412284
