z1,z2,z3,z4,z5,z6,z7,z8
1.7498056,1.9054253,0.9172134,-0.39252022,0.50031954,-0.6583422,-0.10555145,0.33837435
1.7327076,1.9039023,0.9396564,-0.32648447,0.4851268,-0.644579,-0.12894781,0.3068196
1.7122849,1.8857541,0.9670532,-0.25885305,0.44450685,-0.6347594,-0.10986221,0.27223304
1.6798581,1.8582026,0.99027616,-0.15276784,0.3836294,-0.6220853,-0.07824904,0.219488
1.6116726,1.777131,1.0312122,0.100392126,0.25204307,-0.5812496,-0.041409932,0.1482458
1.4962432,1.7478536,1.063133,0.36325312,0.0028173104,-0.5822438,-0.068757765,0.04837945
1.322058,1.6921616,1.048172,0.7620847,-0.4394344,-0.61921024,-0.10584449,-0.10829313
1.2039596,1.5022607,1.0046238,0.9757675,-0.78884065,-0.6327517,0.0022982508,-0.3152296
1.0926273,1.2189314,0.9830583,1.1615205,-1.0723454,-0.59102744,0.06619476,-0.57517326
0.91266096,0.7402118,0.72633386,1.2722312,-1.1548047,-0.44412574,-0.052908204,-0.8018569
0.77661365,0.17440301,0.2776425,1.4861119,-1.1065139,-0.28848243,-0.34823868,-1.115512
0.42656365,-0.4103749,-0.2070735,1.6667473,-1.0183871,-0.42699242,-0.55552113,-1.8834937
0.4390934,-0.41448456,-0.25211322,1.6854591,-0.9884364,-0.42581463,-0.53647053,-1.8369646
0.3905992,-0.40670294,-0.35066843,1.6794183,-1.0303127,-0.45093784,-0.4443623,-1.876903
0.347322,-0.38685197,-0.4543556,1.6642896,-1.0274221,-0.44180006,-0.3603905,-1.9088488
0.31921953,-0.37998274,-0.47620326,1.7001492,-1.001712,-0.43601638,-0.3685306,-1.921791
0.3188222,-0.37198025,-0.51165056,1.701979,-1.0012546,-0.4456077,-0.35355118,-1.9201082
0.3461674,-0.37027723,-0.59750235,1.6227597,-1.0661781,-0.4903927,-0.32224083,-1.9439418
0.42190316,-0.40992278,-0.6840815,1.4350609,-1.0295804,-0.4781156,-0.14561537,-1.9132092
0.4689619,-0.43261725,-0.72351605,1.3401872,-0.9447904,-0.45309162,-0.09353232,-1.9201782
0.513822,-0.45240182,-0.7379835,1.2449019,-0.8704732,-0.42591417,-0.0821109,-1.9253851
0.56286025,-0.49572647,-0.7588774,1.041092,-0.65434426,-0.36026466,0.04307594,-1.8920864
0.64096427,-0.5094159,-0.77455854,0.8715195,-0.52784336,-0.3404723,0.027836278,-1.8966074
0.68329185,-0.47728854,-0.8289419,0.7658959,-0.42422327,-0.32594004,-0.039993297,-1.8859185
0.74003714,-0.45949113,-0.8534636,0.64346784,-0.3405479,-0.31515455,-0.10844548,-1.8879156
0.86211854,-0.42981496,-0.8930476,0.44386107,-0.2114774,-0.2963079,-0.23289675,-1.8792459
0.97546905,-0.41443622,-0.8582087,0.25573802,-0.083454795,-0.2624866,-0.3850714,-1.8504785
1.0088699,-0.39836815,-0.76754504,0.18859214,-0.0014384016,-0.2485089,-0.48767596,-1.8161716
1.0363641,-0.39099443,-0.6473471,0.1368986,0.050612867,-0.2384704,-0.5493846,-1.7766786
1.04416,-0.33801365,-0.5825066,0.10003894,0.1003164,-0.26972944,-0.6312946,-1.6760179
1.0949752,-0.32284203,-0.517088,0.06379598,0.23988219,-0.2559707,-0.79304594,-1.5895064
1.057374,-0.25939807,-0.37921274,0.1718005,0.23881353,-0.27061108,-0.934883,-1.5617822
0.9668816,-0.21933867,-0.2705804,0.44821697,0.17561434,-0.2702354,-1.0875278,-1.5943006
0.8857755,-0.20283593,-0.24748813,0.5648689,0.15303564,-0.26346162,-1.0986754,-1.6292931
