z1,z2,z3,z4,z5,z6,z7,z8
-1.1209301,-0.10468744,-0.24973741,0.87123597,0.118151136,-0.007284742,0.047697037,0.60914403
-1.1315818,-0.09050161,-0.3125153,0.8885659,0.06516843,0.049108915,0.048794385,0.6021307
-1.1494343,-0.087847784,-0.36731166,0.86978626,0.03696554,0.06985835,0.060128316,0.5522948
-1.1661536,-0.107193634,-0.43715003,0.8594322,0.024846131,0.102441974,0.064189665,0.49118602
-1.1947155,-0.15069309,-0.52794486,0.84227896,0.011742966,0.16710892,0.047828894,0.43967396
-1.1972041,-0.1943975,-0.6077815,0.8146421,0.03229099,0.2232795,0.021033552,0.3834725
-1.2102953,-0.24615295,-0.6758833,0.80464697,0.060507633,0.26276144,-0.042756084,0.34266305
-1.2174629,-0.3266104,-0.7568381,0.79513574,0.09735073,0.3181012,-0.09899117,0.32647967
-1.2126893,-0.39094636,-0.8214685,0.7688056,0.16462706,0.37363505,-0.15122692,0.33012134
-1.2035377,-0.46203196,-0.88457257,0.737551,0.24867097,0.4268176,-0.21917216,0.3396592
-1.1118908,-0.622899,-0.98892796,0.7024212,0.36950785,0.5717196,-0.25262806,0.42495346
-1.0374727,-0.6740891,-1.0314726,0.6784111,0.5017897,0.65808946,-0.3356816,0.47342455
-0.98331475,-0.71617794,-1.0369071,0.65876806,0.60711247,0.6814854,-0.42292312,0.468198
-0.91025305,-0.7685893,-1.0435615,0.64073324,0.6934359,0.6968444,-0.49092063,0.43384695
-0.8582696,-0.8040604,-1.0123106,0.6481086,0.77611285,0.69102657,-0.5648826,0.40663314
-0.8119568,-0.8287088,-0.9739515,0.6523011,0.8316208,0.6839144,-0.6149253,0.37629926
-0.7850352,-0.8405777,-0.93351436,0.66195416,0.86675274,0.6802799,-0.64978606,0.35532212
-0.7569053,-0.8331219,-0.8623557,0.6757641,0.8970937,0.6668939,-0.673549,0.3204713
-0.74525064,-0.8175947,-0.754773,0.71096075,0.9029385,0.6421613,-0.6858706,0.27656782
-0.7361998,-0.78294706,-0.629322,0.7521335,0.9015324,0.61227125,-0.6847649,0.2305937
-0.75600314,-0.7343877,-0.5459787,0.78376234,0.9059636,0.58778024,-0.682981,0.18733291
-0.7636471,-0.70201683,-0.45922473,0.84190536,0.91592973,0.5576497,-0.67697924,0.16523308
-0.78766435,-0.649807,-0.38283217,0.88866067,0.9220455,0.5360624,-0.6702511,0.15478665
-0.80762565,-0.5832864,-0.3164839,0.91930795,0.91331017,0.5211472,-0.6525983,0.13653056
-0.82141477,-0.45188233,-0.24573879,0.9351766,0.8561633,0.5273216,-0.6305972,0.080341056
-0.8759485,-0.33442858,-0.18968087,0.9455236,0.77581596,0.50191474,-0.6017864,0.058028266
-0.9196594,-0.2510032,-0.14992881,0.96199346,0.7018328,0.49835542,-0.5533711,0.03981991
-0.9553514,-0.15906912,-0.11556363,0.9654609,0.6348945,0.5019343,-0.4854387,0.04118003
-0.99645203,-0.06917092,-0.110588476,0.9597976,0.56909597,0.51917994,-0.4129926,0.057148427
-0.987297,0.04427047,-0.062038735,0.9675088,0.4925549,0.54264265,-0.2607704,0.07372159
-0.9861444,0.114766434,-0.08253016,0.94607973,0.46324784,0.576517,-0.20727324,0.10158926
-0.9819118,0.20358452,-0.16957885,0.94252336,0.45624575,0.61462796,-0.18448725,0.11534937
-0.9777358,0.28112236,-0.29329374,0.9449538,0.45491913,0.6766773,-0.1763907,0.12154432
-0.994537,0.31020463,-0.4269933,0.95804584,0.44483078,0.7678681,-0.15907289,0.14858867
-1.0039144,0.32203093,-0.55588216,0.9778936,0.43794298,0.8566653,-0.16151954,0.17851712
-1.0218035,0.29610795,-0.69149673,0.97958374,0.43664753,0.9435226,-0.16542634,0.22086357
-0.99753094,0.28394678,-0.8123624,0.98221946,0.46327686,1.0132266,-0.22207269,0.24445419
-0.99877346,0.24618134,-0.93970394,0.9545876,0.46986976,1.0796896,-0.2482139,0.25112402
-0.9461434,0.21494582,-1.0350095,0.91921294,0.5107289,1.1334108,-0.29786462,0.25037658
-0.85079336,0.18405299,-1.0740262,0.8558948,0.5629897,1.1649832,-0.34097004,0.24439798
-0.7808213,0.1400303,-1.1540906,0.7661512,0.60356766,1.2408562,-0.35708055,0.26897156
-0.6988694,0.12103517,-1.2006927,0.69222987,0.67241216,1.2920465,-0.39411095,0.2897299
-0.59415793,0.083187744,-1.2325592,0.62138104,0.75899535,1.3338141,-0.44858268,0.2914741
-0.5042896,0.05932245,-1.2378353,0.571929,0.83473885,1.3531349,-0.49431172,0.28361613
-0.44710907,0.029043622,-1.221383,0.5669807,0.8935107,1.3447238,-0.5369153,0.27247453
-0.38671246,0.0036676954,-1.1792033,0.5790491,0.9443256,1.3131522,-0.5659178,0.2606727
-0.3141162,0.0005982695,-1.1178956,0.5969598,0.9950772,1.266975,-0.5985218,0.23943101
-0.26477733,0.04976395,-1.025144,0.63347256,1.0389415,1.1749777,-0.65128076,0.1563546
-0.22638378,0.07295573,-0.9458308,0.67501855,1.0610809,1.1143619,-0.66344595,0.09387015
-0.2029739,0.10681604,-0.8076452,0.7348366,1.0826659,1.0331103,-0.6767668,-0.003965333
-0.17171378,0.116662055,-0.6690651,0.7511314,1.0784491,0.95595443,-0.66453046,-0.10167976
