z1,z2,z3,z4,z5,z6,z7,z8
0.0702642,-0.35928407,1.0075994,-0.74051154,0.4364097,0.32279116,0.49359518,0.83382064
0.08372323,-0.36562234,0.97486985,-0.7348968,0.41118827,0.34844434,0.52187556,0.83710486
0.101056606,-0.38957343,0.9346023,-0.73220605,0.39462358,0.35738054,0.5441739,0.8562075
0.113077365,-0.38674086,0.889201,-0.74032676,0.3766382,0.38271248,0.5814591,0.85823345
0.11091811,-0.356493,0.8441519,-0.762958,0.3782122,0.43446475,0.62955815,0.841225
0.10192882,-0.32486188,0.80773133,-0.80623114,0.37636912,0.4975604,0.67160434,0.82041395
0.09530217,-0.2795731,0.7948852,-0.86295384,0.38266817,0.5465026,0.67960435,0.8000967
0.075979166,-0.24476768,0.773916,-0.90892416,0.379873,0.5957417,0.6971411,0.78291065
0.062267356,-0.20757495,0.7480815,-0.95845073,0.3760554,0.6436207,0.71080536,0.7598389
0.04199823,-0.16508856,0.7102644,-1.0183208,0.37785357,0.68632275,0.72521067,0.7485543
0.029296858,-0.12710978,0.6683966,-1.0843045,0.3831662,0.7349536,0.7364895,0.7370779
0.024238933,-0.089858666,0.64234096,-1.1572106,0.40292254,0.76291746,0.71112967,0.7261265
0.025026038,-0.029595058,0.5899277,-1.263879,0.41404408,0.7964452,0.6924987,0.70152014
0.02247237,0.05118488,0.51952964,-1.4026408,0.4170716,0.84113944,0.6781067,0.66436416
0.011585789,0.1053649,0.4982282,-1.4883922,0.42144796,0.8720025,0.622863,0.6285481
-0.013781937,0.14299344,0.4946934,-1.5247446,0.41865417,0.90444964,0.5812021,0.60299754
-0.04191663,0.17143854,0.51554024,-1.5496012,0.42656738,0.9100048,0.5089725,0.569795
-0.05700308,0.18584995,0.56351775,-1.5539161,0.4284704,0.9090527,0.4233898,0.54773664
-0.07042649,0.18744996,0.62783766,-1.5410037,0.43334642,0.9045104,0.33898848,0.5370439
-0.07934344,0.18653786,0.72621137,-1.5126474,0.44337747,0.87412214,0.21419936,0.5382798
-0.0626727,0.16400139,0.86093324,-1.4475682,0.4579591,0.85970545,0.085675836,0.5589235
-0.06264879,0.1546146,0.98217756,-1.3714101,0.4642501,0.83708405,-0.033051055,0.5595058
-0.08658792,0.14552587,1.0753956,-1.2749567,0.47274825,0.80709493,-0.113995165,0.5416012
-0.10176394,0.11806436,1.1581459,-1.1788812,0.4859416,0.7771354,-0.16924226,0.55669755
-0.11958313,0.086742595,1.2249445,-1.0663481,0.4980961,0.7362498,-0.21297795,0.5731718
-0.13929562,0.044529274,1.2691909,-0.93156177,0.5079084,0.68589294,-0.23382911,0.5923279
-0.13206217,-0.018035833,1.3033286,-0.8053481,0.51019865,0.62748736,-0.24829172,0.65016353
-0.11168948,-0.06689927,1.3161284,-0.69876003,0.5200384,0.5970032,-0.21844983,0.71141636
-0.095247716,-0.11539887,1.3081616,-0.613293,0.53277886,0.5699643,-0.16621086,0.7528169
-0.09452796,-0.15223156,1.2893143,-0.5202836,0.5530887,0.54270655,-0.1117827,0.7772717
-0.08367263,-0.20930822,1.2310083,-0.4193177,0.5756197,0.5054911,-0.022064514,0.81079894
-0.073060215,-0.2537035,1.1576263,-0.3251859,0.5960837,0.48015365,0.08559856,0.8441619
-0.057657793,-0.29984984,1.0633098,-0.24142137,0.6060708,0.4612412,0.2098957,0.8797135
-0.027314907,-0.36287495,0.97498155,-0.16832691,0.60396487,0.4421099,0.30944678,0.9372769
-0.00978408,-0.3864402,0.88586384,-0.12407598,0.60366035,0.45347038,0.4357503,0.97818595
0.002721889,-0.38702554,0.7982619,-0.121987365,0.60969746,0.5084106,0.5675711,0.99245244
0.007567743,-0.35375267,0.72589,-0.18114385,0.6312534,0.5996962,0.68885404,0.98068404
0.00042970106,-0.2951148,0.683261,-0.2847867,0.669632,0.702276,0.788839,0.94812864
-0.020672338,-0.22642128,0.6254208,-0.41930342,0.698644,0.81143653,0.88111895,0.8988301
-0.040571623,-0.16162516,0.57227033,-0.56113136,0.71708846,0.90671027,0.9177255,0.8619276
-0.06543238,-0.09515777,0.50067496,-0.69496816,0.7221982,0.98636127,0.9331491,0.82678753
-0.07421526,-0.031978343,0.44020724,-0.791222,0.72639686,1.0901331,0.95254755,0.8093979
-0.09465708,0.058155175,0.37547553,-0.9584462,0.7633815,1.1185606,0.90247166,0.7855409
-0.09011261,0.12614655,0.35785794,-1.0849216,0.79723454,1.1184882,0.7935332,0.75653934
-0.08752763,0.1823628,0.325018,-1.1784908,0.8282934,1.1387833,0.74314994,0.74102765
-0.0973129,0.22616026,0.27523157,-1.2531165,0.8474356,1.1792762,0.7357126,0.74335593
-0.1257114,0.2870047,0.2660665,-1.2999365,0.8777952,1.2041614,0.7079825,0.722962
-0.16315012,0.3219576,0.22632006,-1.3495789,0.89007944,1.1880476,0.6649273,0.69045347
-0.1859451,0.34255624,0.22781214,-1.3733668,0.9123529,1.1733099,0.5983695,0.68103504
-0.20155549,0.37571928,0.25475922,-1.3884922,0.94576466,1.1594105,0.5064279,0.66994584
-0.20376652,0.3875003,0.3402639,-1.3634337,0.98032516,1.1665225,0.40273508,0.6792254
-0.20670715,0.3998134,0.43139094,-1.3429923,1.0124449,1.1700153,0.28819454,0.6866978
-0.21122807,0.41287884,0.5432512,-1.2964339,1.0368531,1.1692573,0.15121442,0.6935932
-0.19933853,0.3973983,0.6510728,-1.2139927,1.0406518,1.1665616,0.024759136,0.7258416
-0.20243551,0.38441277,0.77167964,-1.0925838,1.0432694,1.1505898,-0.112155,0.75772357
-0.21699166,0.3527224,0.91721827,-0.93152994,1.0510938,1.1360899,-0.24661136,0.7978596
-0.23973519,0.3414719,1.0279284,-0.769806,1.042251,1.0854555,-0.35017714,0.8134603
-0.2610297,0.3191836,1.0886118,-0.60968626,1.0151534,1.0214047,-0.4077576,0.82166487
-0.2684167,0.29661238,1.0412716,-0.48242676,0.9915363,0.9112753,-0.40708733,0.82998294
-0.2624042,0.2317297,1.0040929,-0.32891312,0.98247796,0.76944554,-0.43800274,0.89329255
-0.23144242,0.17846693,0.99347997,-0.219251,0.9971171,0.6939584,-0.36652038,0.97399443
-0.19395095,0.10270874,0.9933961,-0.12747294,1.0148059,0.64309245,-0.27025074,1.0611935
-0.15112765,0.04643781,0.93757945,-0.07457733,1.0135847,0.6270891,-0.099668875,1.1454257
-0.121233955,-0.014435511,0.86126065,-0.023361098,0.99381864,0.5935847,0.015964828,1.205537
-0.092865564,-0.0911538,0.76487434,0.04557079,0.94750816,0.5236158,0.092451066,1.2502882
-0.06122604,-0.14222029,0.6457545,0.09252813,0.9054611,0.5118375,0.2487019,1.3129001
-0.03891305,-0.15812095,0.53977495,0.077012636,0.8908878,0.5423947,0.40117958,1.35349
-0.038968846,-0.13139305,0.4429937,0.039903305,0.9178651,0.6037472,0.5619826,1.3636266
-0.036163516,-0.101290956,0.37619728,-0.0135773085,0.9443641,0.6931723,0.67667145,1.384666
-0.045833677,-0.031658117,0.28251326,-0.12832573,0.94663054,0.79234153,0.794703,1.3784136
-0.03485907,0.029097535,0.20737529,-0.24955821,0.98059845,0.9408339,0.89222807,1.3674579
-0.032237016,0.08033538,0.149508,-0.36950636,0.96629566,1.0655366,0.9503517,1.375608
-0.048610188,0.1390708,0.03275732,-0.48088294,0.8946089,1.1538025,1.0202296,1.3747907
-0.06599027,0.20489298,-0.030276537,-0.60024166,0.8486001,1.1948088,1.007462,1.3482442
-0.060581565,0.2619727,-0.04387243,-0.702684,0.86501455,1.2260928,0.93327534,1.3034403
-0.058114663,0.32680276,-0.07676892,-0.7858837,0.9032963,1.2477686,0.8675501,1.2558565
-0.060720846,0.41820043,-0.11235283,-0.894117,0.94292575,1.281857,0.8016189,1.20677
-0.06482395,0.486744,-0.13277633,-0.9850638,0.94608957,1.3307508,0.70973176,1.1760324
-0.094735034,0.54163677,-0.16564097,-1.0453044,0.932989,1.3402605,0.64569753,1.1506847
-0.12825964,0.5977621,-0.15470769,-1.0827365,0.9308568,1.3376551,0.54618424,1.128978
-0.16248772,0.6601615,-0.14170726,-1.0828272,0.950262,1.343034,0.45327133,1.1202501
-0.1970356,0.7275669,-0.14782627,-1.1293792,0.97080827,1.3633648,0.31087816,1.1512552
-0.22442874,0.80586505,-0.13836068,-1.1919775,0.97476673,1.358303,0.10378519,1.1837716
