z1,z2,z3,z4,z5,z6,z7,z8
-0.8753385,0.08425304,-1.7104391,-0.98157275,1.5213593,0.94085455,-1.693432,0.8471292
-0.85637385,0.051986177,-1.6799344,-0.93433785,1.5449928,0.92830527,-1.770632,0.823612
-0.8066672,0.055383947,-1.6619437,-0.90212834,1.599485,0.888247,-1.8022747,0.7663918
-0.7524095,0.07968369,-1.6230079,-0.86331666,1.6367505,0.8440448,-1.8304647,0.6833567
-0.663864,0.09280972,-1.5379301,-0.7976259,1.7222795,0.757711,-1.8426495,0.55262697
-0.5917995,0.13564438,-1.3882238,-0.7473004,1.8176572,0.6140193,-1.8252012,0.33235353
-0.5398776,0.19893332,-1.2968616,-0.7239708,1.8895355,0.52044237,-1.8129449,0.23251303
-0.5604507,0.32446852,-1.1211238,-0.7264713,1.8575886,0.18070075,-1.7543957,-0.10064643
-0.6191414,0.53793716,-1.0042773,-0.6590283,1.6676484,-0.09078245,-1.6056308,-0.43633085
-0.6261273,0.64314365,-0.8921884,-0.54375446,1.5769242,-0.16613314,-1.5640128,-0.5344894
-0.6578122,0.6972359,-0.7797604,-0.4198069,1.499717,-0.22684366,-1.5498807,-0.5618812
-0.6508907,0.7250974,-0.75232327,-0.35760042,1.4375901,-0.27450922,-1.506454,-0.6396523
-0.6423014,0.7755154,-0.72019345,-0.30211058,1.3691254,-0.3211655,-1.4590168,-0.67432404
-0.61991644,0.82494503,-0.7024357,-0.2527228,1.2810445,-0.36177135,-1.4272326,-0.71469045
-0.61350465,0.88662213,-0.67845225,-0.23748839,1.2136147,-0.40941602,-1.3731843,-0.7478857
-0.62104243,0.95616156,-0.6542522,-0.21637988,1.1580443,-0.46143726,-1.3051513,-0.77450925
-0.63179505,1.0420871,-0.63559145,-0.19947614,1.1062845,-0.49689612,-1.2244878,-0.79539657
-0.65466154,1.1227031,-0.61425555,-0.19429687,1.0617243,-0.5152345,-1.132951,-0.8117198
-0.7029416,1.188724,-0.5741574,-0.23552394,1.0886537,-0.5106972,-0.9780249,-0.82871574
-0.7242907,1.2977933,-0.5535291,-0.21287405,1.0540813,-0.5131488,-0.89352816,-0.82490736
-0.732846,1.3961481,-0.5567473,-0.18778023,1.0071468,-0.5010582,-0.82194906,-0.8312808
-0.7362423,1.4803517,-0.5790086,-0.1835227,0.9691672,-0.4790099,-0.7675644,-0.8260871
-0.73897105,1.5425224,-0.6056752,-0.16838594,0.92863184,-0.46541715,-0.72925353,-0.8053575
-0.74464536,1.6073948,-0.6277676,-0.12026316,0.8670807,-0.44855568,-0.7015068,-0.74990946
-0.7404427,1.6305844,-0.6619826,-0.10860289,0.80940384,-0.421185,-0.6877111,-0.7228244
-0.75455517,1.6521659,-0.7100705,-0.07794263,0.7302859,-0.39593893,-0.6679202,-0.69898224
-0.79304534,1.6742828,-0.7703458,-0.06196227,0.6609571,-0.33124232,-0.6320159,-0.6595819
-0.8400283,1.6827382,-0.85371244,-0.08348776,0.60258526,-0.24853784,-0.5787595,-0.620031
-0.87952673,1.7052736,-0.9224777,-0.11840245,0.49528828,-0.15251485,-0.54261863,-0.603471
-0.91622454,1.7145745,-0.99904215,-0.1535006,0.41908497,-0.083667696,-0.5179589,-0.6003959
-0.94143736,1.7241699,-1.0691315,-0.15766525,0.3274449,-0.01928293,-0.48597455,-0.5605415
-0.9493232,1.7335845,-1.1491553,-0.17877941,0.26834697,0.032077476,-0.4789937,-0.49817228
-0.95314354,1.7376966,-1.2101943,-0.19009185,0.21498533,0.08745008,-0.4683947,-0.43985194
-0.9481671,1.7320046,-1.2901131,-0.23494054,0.1850548,0.1339938,-0.46771428,-0.4139611
-0.9281311,1.7115952,-1.3736417,-0.28514874,0.16363874,0.1820535,-0.46633998,-0.39223897
-0.9010918,1.6678332,-1.4828166,-0.373925,0.18293498,0.22525072,-0.5254097,-0.42174417
-0.8656669,1.6178133,-1.5706341,-0.42549324,0.19381456,0.2599649,-0.5383575,-0.3945197
-0.8368648,1.5788369,-1.652294,-0.464712,0.19904454,0.2836292,-0.5650664,-0.35014945
-0.8020834,1.5176121,-1.7348411,-0.47261488,0.21443047,0.27016824,-0.6593924,-0.29399902
-0.7648994,1.4374113,-1.812337,-0.49474984,0.23267463,0.25190216,-0.77232397,-0.27387476
-0.71652704,1.3375336,-1.8761156,-0.54392815,0.273271,0.24450484,-0.87200564,-0.29065546
