z1,z2,z3,z4,z5,z6,z7,z8
1.1767851,-0.07191922,-0.17670794,1.1022971,-0.72843874,1.429706,-0.30342513,-0.8367464
1.1918509,-0.078951105,-0.20071752,1.1015997,-0.7672294,1.4286216,-0.2679445,-0.8208402
1.2147694,-0.08292544,-0.23405485,1.087005,-0.7899445,1.428415,-0.21685764,-0.7975766
1.2320452,-0.09105788,-0.27403653,1.0623924,-0.802161,1.430668,-0.14532039,-0.7827582
1.26177,-0.0937863,-0.32236868,1.0235591,-0.80418706,1.4346321,-0.07023225,-0.7633255
1.2861605,-0.090144634,-0.37250936,0.9755503,-0.7903347,1.4381981,0.008244768,-0.745092
1.3020487,-0.08535433,-0.4230463,0.91198033,-0.7544418,1.4331889,0.08033137,-0.7205269
1.3042091,-0.07048926,-0.45489448,0.8261772,-0.71680415,1.4293112,0.13171689,-0.704491
1.2890043,-0.052984048,-0.47644478,0.76934946,-0.6914835,1.4263226,0.16169901,-0.70634604
1.2825638,-0.055611793,-0.4871981,0.71465373,-0.6389041,1.4367563,0.19936854,-0.7041987
1.2797225,-0.051188868,-0.49204808,0.6537591,-0.5783561,1.4444647,0.23531014,-0.6961397
1.2688257,-0.04778933,-0.49043244,0.6086925,-0.52298397,1.4522644,0.25879538,-0.7128531
1.2658389,-0.046485845,-0.4964968,0.56410056,-0.45561972,1.4488127,0.25712326,-0.7226091
1.2686229,-0.04674657,-0.4892246,0.50115573,-0.36563346,1.4569794,0.25451273,-0.73002565
1.2591964,-0.0269319,-0.46562296,0.43019488,-0.2862947,1.482109,0.24236676,-0.7515793
1.2688009,-0.011268448,-0.44298613,0.35339493,-0.19524163,1.5039036,0.20673895,-0.7665022
1.2848666,0.008960232,-0.41920078,0.26695687,-0.103363566,1.5249707,0.15296552,-0.7789353
1.2905265,0.034382332,-0.39203936,0.21295464,-0.05078516,1.5376097,0.08322382,-0.7916835
1.2917095,0.06001125,-0.3520589,0.16544202,0.010732867,1.547713,0.011062294,-0.80440474
1.3028662,0.07122412,-0.30897772,0.08144464,0.11908094,1.5489432,-0.05814557,-0.7992262
1.3083535,0.07844675,-0.28315443,0.05798533,0.16258302,1.5393139,-0.12765111,-0.76789844
1.3119545,0.0851166,-0.24723686,0.039195403,0.21355322,1.5189875,-0.18861449,-0.7579509
1.3147867,0.10394195,-0.24054946,0.0054360777,0.2407257,1.509761,-0.22274804,-0.75634474
1.319464,0.11285953,-0.23006673,-0.022726469,0.27838808,1.4999529,-0.26202068,-0.75711423
1.3193568,0.1267969,-0.22220744,-0.04746075,0.31417048,1.4968816,-0.30063084,-0.76574516
1.3200848,0.13947126,-0.21253566,-0.053137843,0.33366978,1.4950294,-0.36500496,-0.788042
1.3364791,0.14222346,-0.18849231,-0.043828353,0.33424744,1.506087,-0.4241464,-0.7971555
1.339263,0.14704664,-0.1564327,-0.0128277205,0.33785608,1.5075179,-0.48327225,-0.8037277
1.3499936,0.14612788,-0.13290006,0.005433142,0.355435,1.499687,-0.52891827,-0.79738677
1.3575188,0.13322347,-0.11334652,0.04005353,0.36101538,1.4856464,-0.5587971,-0.7824758
1.3643807,0.123093344,-0.11733514,0.07502843,0.35492402,1.4643737,-0.5795049,-0.75883156
1.3852412,0.10517484,-0.14920442,0.08154825,0.35498235,1.4278675,-0.5878379,-0.7136093
1.4195995,0.10195446,-0.19837426,0.0014749169,0.36676672,1.4070673,-0.5861294,-0.67447853
1.4007404,0.15574959,-0.24624313,-0.015833229,0.31086648,1.421144,-0.6108828,-0.74223346
1.3841418,0.17848548,-0.28983152,-0.014489032,0.29517892,1.424089,-0.63911235,-0.77264625
1.3784595,0.18225582,-0.28549194,0.01951608,0.29868844,1.4198812,-0.7159015,-0.7697321
1.3852082,0.17783697,-0.26415205,0.0831066,0.2990819,1.394077,-0.79856205,-0.73399115
1.3734118,0.15727021,-0.19973992,0.19812414,0.297125,1.3735734,-0.8710681,-0.6960946
1.3595424,0.12444991,-0.13467444,0.29880807,0.3080065,1.359947,-0.9256392,-0.6630794
1.3727642,0.09403929,-0.12114586,0.3791001,0.2716738,1.349687,-0.95311403,-0.623028
1.3755556,0.07019517,-0.10031377,0.4539619,0.24016045,1.342912,-0.96609306,-0.5929766
1.3735573,0.045534298,-0.082460165,0.5232294,0.20773685,1.3315737,-0.97257537,-0.56225747
1.3602353,0.046892826,-0.055979937,0.5649054,0.17586347,1.3424027,-0.98496073,-0.56598514
1.350701,0.048717566,-0.028349653,0.64034414,0.13222428,1.335943,-1.0141375,-0.57828903
1.3997455,0.07349088,-0.03909847,0.69267434,0.08761968,1.3165606,-0.9843093,-0.6244247
1.3848836,0.043247245,0.0047693625,0.75543404,0.055652574,1.3570874,-0.9629929,-0.6844809
1.3883896,0.059153907,0.0060239807,0.7969057,0.0052997973,1.3633803,-0.94575834,-0.704157
1.3647145,0.050732393,0.03164272,0.84525806,-0.034166045,1.3702096,-0.9463796,-0.70980453
1.373096,0.020889692,0.05059484,0.8982328,-0.07441478,1.3794091,-0.8889354,-0.67120993
1.362541,-0.0032503568,0.029304177,0.94008386,-0.15318269,1.3780115,-0.8325412,-0.63557667
1.3565717,-0.040816713,-0.001646407,0.9966917,-0.23698524,1.3772843,-0.7563421,-0.5948642
1.3541911,-0.07009295,-0.040572017,1.0625746,-0.347437,1.3829936,-0.684571,-0.5542205
1.3575908,-0.07838628,-0.091805264,1.1177216,-0.46403918,1.385355,-0.59609205,-0.51705384
1.361008,-0.09702633,-0.16153543,1.1432985,-0.49303195,1.371204,-0.46981746,-0.4777515
1.3764027,-0.10978553,-0.2370239,1.1086336,-0.5181989,1.372992,-0.3169313,-0.45726505
1.4063548,-0.123468444,-0.32381904,1.0615764,-0.5254986,1.3665358,-0.18108673,-0.42292595
1.417508,-0.12269582,-0.3678953,1.0151217,-0.5442132,1.3635406,-0.09683518,-0.41082302
1.4181871,-0.111068055,-0.3996269,0.98214495,-0.56834704,1.3582458,-0.039647818,-0.39350927
1.4039042,-0.0989099,-0.42331702,0.93200916,-0.59600407,1.3702369,0.035807572,-0.38123247
1.3936882,-0.06606637,-0.45300633,0.8405985,-0.6281484,1.398536,0.124511436,-0.3860038
1.3737739,-0.04547405,-0.4846496,0.8185609,-0.61744434,1.4094453,0.16478267,-0.36110058
1.3566523,-0.022842888,-0.48318893,0.7783118,-0.6057867,1.4228041,0.1915344,-0.33937636
1.3401748,0.017239418,-0.49980623,0.71648437,-0.5947096,1.4165815,0.20598584,-0.32104412
1.3185345,0.03820643,-0.5121229,0.65681726,-0.57275426,1.4201756,0.22990662,-0.3130633
1.2943921,0.05855168,-0.51629084,0.5415494,-0.47456816,1.4296455,0.24617875,-0.2875233
1.2935139,0.09335099,-0.5330856,0.42163566,-0.41995665,1.4218673,0.24059251,-0.24998379
1.2859465,0.11465496,-0.5275092,0.30937394,-0.3132455,1.4112675,0.22432148,-0.22065055
1.2905941,0.13819346,-0.5245741,0.1659643,-0.21050674,1.4116219,0.19612774,-0.20382282
1.3036486,0.17830907,-0.54625136,0.03269393,-0.18874075,1.4033201,0.14130138,-0.17118095
1.3046571,0.21484931,-0.52970546,-0.08070551,-0.1194854,1.4101372,0.06347613,-0.16375688
1.3004806,0.26798853,-0.5234798,-0.20934868,-0.06053199,1.4175591,-0.03248929,-0.15356997
1.3266343,0.29611385,-0.53576875,-0.35539982,-0.012569876,1.4093922,-0.14665247,-0.10618706
1.329143,0.33828992,-0.5264699,-0.4818517,0.031881496,1.4119732,-0.2471726,-0.09989065
1.3531075,0.3652969,-0.50560886,-0.5642667,0.05301708,1.4046541,-0.36034676,-0.07323915
1.3760728,0.37267643,-0.4590146,-0.6177524,0.086894706,1.381129,-0.47545946,-0.052748594
1.3861034,0.38232532,-0.35966927,-0.618537,0.105361514,1.3660654,-0.5967668,-0.061802562
1.3814881,0.38187632,-0.26549035,-0.59293044,0.12117127,1.3344692,-0.72081614,-0.06648962
1.3733302,0.37333655,-0.19011407,-0.5460007,0.12944518,1.2942281,-0.83311546,-0.055797342
1.3607395,0.36758408,-0.15533222,-0.5300705,0.13674924,1.2525421,-0.9148615,-0.051205967
1.3430997,0.3513056,-0.11926536,-0.49314636,0.16866079,1.2053742,-0.9943625,-0.05632588
1.338326,0.336893,-0.06333062,-0.4663943,0.16895372,1.163233,-1.0727384,-0.051532704
1.3466736,0.31012824,0.0032715127,-0.39739153,0.15324725,1.107397,-1.1495943,-0.013884578
1.3429433,0.2771782,0.09602858,-0.28144777,0.12742767,1.0626764,-1.2410289,0.015718166
1.3420236,0.24881773,0.19155988,-0.18013158,0.09948479,1.0431504,-1.3129116,0.043357983
