z1,z2,z3,z4,z5,z6,z7,z8
0.9167352,-1.4923744,0.26518703,0.59600645,0.7069415,-0.7875788,-1.099134,0.24177444
0.97494847,-1.520158,0.25294834,0.4896915,0.69434625,-0.8252788,-1.1064576,0.2889085
1.0388266,-1.5505723,0.23532616,0.3824671,0.6742675,-0.85816675,-1.1115056,0.32328027
1.0949918,-1.5831434,0.20032682,0.30177373,0.63195664,-0.8951511,-1.1032526,0.34660652
1.122947,-1.605505,0.1411243,0.27445343,0.5768752,-0.9295498,-1.1165719,0.3324748
1.1268914,-1.6302502,0.06330206,0.25938478,0.5023983,-0.9484545,-1.1235178,0.30384493
1.1235236,-1.6521131,-0.0059648342,0.24078697,0.4300814,-0.93228537,-1.1480101,0.23771328
1.0987412,-1.6695186,-0.071436055,0.24288861,0.36074212,-0.9173088,-1.1478821,0.18269596
1.063433,-1.672622,-0.13066201,0.25499612,0.30519262,-0.90413857,-1.1509376,0.118662305
0.9944487,-1.6654874,-0.20099156,0.30518666,0.25578344,-0.87962955,-1.1517799,0.026807962
0.91816247,-1.6490453,-0.26731303,0.3675154,0.20946334,-0.8506032,-1.136047,-0.056132514
0.84007096,-1.6386355,-0.3347132,0.42697218,0.17842336,-0.81235915,-1.1167606,-0.13165548
0.78934324,-1.6483777,-0.36640745,0.48008794,0.17319736,-0.7496004,-1.1275628,-0.20448789
0.7237921,-1.6455852,-0.39016077,0.54370177,0.18458357,-0.6811309,-1.1360246,-0.27778095
0.6547603,-1.6308066,-0.41218635,0.6050819,0.20782717,-0.6212919,-1.1474737,-0.3355983
0.62122685,-1.6084415,-0.4054251,0.65171325,0.23453604,-0.5440106,-1.1716465,-0.37809572
0.58709437,-1.5861453,-0.40192637,0.7140319,0.25685292,-0.4841961,-1.2130746,-0.41578835
0.5485197,-1.5496101,-0.3874989,0.76510715,0.2782505,-0.42531055,-1.2141014,-0.4398413
0.52495337,-1.506197,-0.34102157,0.8119594,0.313492,-0.36332545,-1.2259935,-0.4592878
0.50454885,-1.4623426,-0.30194297,0.86392903,0.3309092,-0.3098943,-1.2268419,-0.48185676
0.49435717,-1.4130483,-0.24172805,0.9164864,0.3654389,-0.25730887,-1.2401162,-0.49330154
0.4872825,-1.3634472,-0.14923732,0.95232576,0.4205988,-0.23244329,-1.2542683,-0.47456363
0.50291383,-1.319427,-0.039676625,0.99141705,0.4848147,-0.2272083,-1.2642984,-0.4123051
0.5637572,-1.2708867,0.105214775,0.97645795,0.56013656,-0.25029418,-1.2660722,-0.3101993
0.6196587,-1.2450705,0.20845853,0.95359135,0.6249215,-0.30170834,-1.2750385,-0.19814616
0.6732935,-1.2367699,0.29068217,0.9022347,0.679845,-0.36579034,-1.2679455,-0.08009361
0.69729674,-1.2528981,0.32683352,0.81886524,0.7481337,-0.45127448,-1.2452085,0.054736026
0.7448176,-1.2799256,0.3330561,0.6991008,0.7965789,-0.5342443,-1.2184349,0.14365979
0.78671086,-1.3081542,0.32127392,0.5978635,0.8084444,-0.6144755,-1.1929067,0.2201118
0.82218885,-1.3274502,0.28637266,0.47772393,0.8115605,-0.69117284,-1.153296,0.31345665
0.8572564,-1.3646127,0.23820923,0.35942718,0.8023979,-0.7695072,-1.1173168,0.3848793
0.8588191,-1.3997529,0.18160203,0.24054606,0.78050387,-0.85141844,-1.0664608,0.4566287
0.863129,-1.4319395,0.1264512,0.15856671,0.76606286,-0.9013159,-1.0375249,0.4630441
0.86106884,-1.4446182,0.06104599,0.09818612,0.73358333,-0.93735784,-1.009111,0.46403182
0.85224694,-1.4577432,-0.02530964,0.06664528,0.6749789,-0.9786995,-0.9932066,0.46208847
0.8453075,-1.4748117,-0.10867143,0.062515065,0.5967115,-0.9838709,-1.0044378,0.40211883
0.84041286,-1.4903656,-0.18480267,0.052089885,0.506528,-0.9769061,-0.99861646,0.33902445
0.8591454,-1.501751,-0.24695945,0.043841127,0.41507325,-0.95560193,-1.0253832,0.25600776
0.85120547,-1.511635,-0.32295784,0.0738704,0.3230061,-0.9081923,-1.0712817,0.14107831
0.8155013,-1.5252354,-0.3900932,0.12555127,0.25890568,-0.8544501,-1.0970038,0.028277835
0.74448395,-1.5323822,-0.46423122,0.19014707,0.20300665,-0.80547017,-1.1219305,-0.08129693
0.6651985,-1.5399296,-0.5254669,0.27313626,0.16356021,-0.7387215,-1.1693856,-0.19660325
0.5977877,-1.5479988,-0.5528418,0.34761804,0.15179835,-0.6651303,-1.2164822,-0.30304486
0.5584602,-1.5442758,-0.5503115,0.4042775,0.16455874,-0.58069265,-1.2601507,-0.4054517
0.5074155,-1.5269156,-0.5510256,0.4852556,0.1797833,-0.50529957,-1.2979373,-0.4907702
0.47054964,-1.4931878,-0.5174185,0.5385293,0.22122663,-0.4384587,-1.303793,-0.53844076
0.4518292,-1.4336158,-0.48285156,0.5935256,0.24710242,-0.3790264,-1.2975222,-0.5869517
0.4212314,-1.368943,-0.4157659,0.6866707,0.291578,-0.30017126,-1.3176407,-0.606596
0.39680475,-1.3134875,-0.35555226,0.75902635,0.32589817,-0.23939054,-1.3420652,-0.6368883
0.37756133,-1.2644931,-0.26906002,0.8066574,0.37487838,-0.19282876,-1.3544881,-0.6309133
0.37346965,-1.2181987,-0.1613574,0.82382625,0.44906425,-0.15253487,-1.3681532,-0.59139115
0.38387296,-1.1832719,-0.059100963,0.8303921,0.50963974,-0.14691691,-1.381082,-0.5396991
0.42268738,-1.1257812,0.08358029,0.8276846,0.5960531,-0.15019774,-1.3942741,-0.42819563
0.46361572,-1.0764036,0.2239127,0.8191518,0.67626184,-0.18009883,-1.395672,-0.26596087
0.51886934,-1.0390298,0.36186466,0.7589165,0.7395762,-0.24354756,-1.3848373,-0.113449775
0.55420834,-1.0387903,0.40965763,0.67228115,0.7997265,-0.31870645,-1.359956,0.01877427
0.5923318,-1.0697168,0.4240038,0.5710381,0.84599537,-0.38953426,-1.3421531,0.10458013
0.6399244,-1.1062962,0.40716672,0.4633484,0.873853,-0.4533932,-1.3182632,0.1786887
0.6856479,-1.1287087,0.36519906,0.3522817,0.89339113,-0.5380144,-1.2883209,0.26352978
0.7242714,-1.147284,0.3129721,0.23018831,0.89679074,-0.6293333,-1.254701,0.35213706
0.74254024,-1.1707982,0.25879654,0.1215102,0.8920172,-0.7206558,-1.2236729,0.40532252
0.75977117,-1.1809422,0.170899,0.01874328,0.8721524,-0.7923021,-1.1869655,0.44151568
0.7427572,-1.208063,0.08112316,-0.067260586,0.8433838,-0.856887,-1.1392761,0.46295118
0.70281416,-1.2441052,-0.009915744,-0.11679778,0.8056158,-0.90262663,-1.084618,0.46199566
0.6666835,-1.2684093,-0.10476559,-0.14831948,0.732272,-0.93668693,-1.0223534,0.44708726
0.6622764,-1.2932606,-0.18453889,-0.16843139,0.6413599,-0.9461351,-0.9916036,0.40076217
0.7011119,-1.3129206,-0.25372434,-0.20461889,0.5392693,-0.9401876,-0.9982753,0.34528926
0.70131314,-1.3415917,-0.32833424,-0.16918744,0.439945,-0.9039508,-1.0453117,0.24287206
0.6643749,-1.3571422,-0.42193934,-0.10405948,0.33032942,-0.84471816,-1.0805786,0.13073616
0.5652572,-1.3777266,-0.5178816,-0.019248893,0.26682922,-0.7957477,-1.0916129,0.018674256
0.4871925,-1.3844976,-0.5872838,0.06657508,0.21548247,-0.74357724,-1.1431271,-0.09614996
0.43294394,-1.3939209,-0.62010586,0.13392897,0.1678051,-0.6683928,-1.214845,-0.22170919
0.39818886,-1.4022336,-0.6287038,0.20197701,0.15448113,-0.5819554,-1.2652102,-0.3574487
0.37597853,-1.3959924,-0.6213586,0.28981337,0.1789435,-0.5215044,-1.2830485,-0.46784025
0.3504323,-1.3606048,-0.6055323,0.3572399,0.20657097,-0.4391054,-1.3054348,-0.5582122
0.3467942,-1.289393,-0.57141984,0.4155056,0.2226656,-0.36682355,-1.324075,-0.6395759
0.3610553,-1.2249691,-0.5012825,0.493314,0.2652315,-0.29052964,-1.3480097,-0.67993385
0.35406375,-1.1823059,-0.44040036,0.56293064,0.30376548,-0.22404933,-1.3674488,-0.6959631
0.32839593,-1.137294,-0.3655701,0.6401829,0.35473534,-0.17698304,-1.39571,-0.69059986
0.31669486,-1.0820876,-0.28517053,0.67795783,0.4083059,-0.1390929,-1.4173481,-0.6710875
0.31941688,-1.0255575,-0.16436765,0.6874479,0.47852677,-0.13765077,-1.4197907,-0.6209684
0.32312194,-0.9528842,-0.040218353,0.7144778,0.56145245,-0.117077105,-1.4242123,-0.5265136
0.33494434,-0.90021616,0.08902296,0.7145999,0.6294248,-0.13095255,-1.4112556,-0.3818541
0.37330386,-0.8515435,0.21452846,0.6963701,0.69592154,-0.1767906,-1.3926021,-0.21371247
0.42311913,-0.82830137,0.32250336,0.64614594,0.76445895,-0.2421116,-1.3812995,-0.072181016
0.47359502,-0.83017033,0.36857888,0.5549684,0.83068955,-0.30395424,-1.3640727,0.040941603
0.527651,-0.8416133,0.39417785,0.4449852,0.8716885,-0.35308036,-1.3600488,0.11695624
0.5917629,-0.8636303,0.38675335,0.3308874,0.8979846,-0.41661656,-1.3493904,0.18946864
0.6581173,-0.8981799,0.33890805,0.22094038,0.91060954,-0.51077074,-1.3291132,0.2716395
0.7134179,-0.92504984,0.27735546,0.1033177,0.89792204,-0.6187349,-1.3017186,0.35605696
0.75598234,-0.94330627,0.1793127,-0.017840756,0.8672556,-0.73387456,-1.2582784,0.4509629
0.75075644,-0.9686917,0.07174887,-0.123467885,0.84176844,-0.83008146,-1.189406,0.492767
0.7241329,-1.0203007,-0.039971203,-0.18546759,0.77803504,-0.915407,-1.1156851,0.52253777
0.6805449,-1.0493127,-0.13729163,-0.23884821,0.7072877,-0.946419,-1.0405376,0.50351787
0.63773274,-1.0696605,-0.23486866,-0.271141,0.61598635,-0.9703745,-0.9726622,0.46586707
0.63620055,-1.0955498,-0.31912148,-0.28885898,0.50005376,-0.9822719,-0.9516514,0.41883692
0.62658024,-1.108079,-0.39369395,-0.25607336,0.3908917,-0.9522479,-0.97485226,0.31907567
0.5654057,-1.1430897,-0.49008366,-0.19805504,0.27579933,-0.89636534,-0.9674348,0.21201538
0.5116027,-1.1565341,-0.5509124,-0.11397759,0.20045213,-0.8509223,-0.99337035,0.10419277
0.45216128,-1.1704109,-0.59207237,-0.016321072,0.15996085,-0.7972483,-1.0361108,-0.0074856114
0.40575206,-1.1852376,-0.6264131,0.0529247,0.151626,-0.7219176,-1.1052866,-0.1024385
0.34951147,-1.191479,-0.6542517,0.092975155,0.16763408,-0.617479,-1.173257,-0.21249205
0.3062963,-1.1808244,-0.6940352,0.16156204,0.17960283,-0.53917336,-1.2488233,-0.31482896
