z1,z2,z3,z4,z5,z6,z7,z8
-0.061500542,-0.29613957,0.5036021,-0.7798231,-0.865131,-0.08554835,0.021093585,-0.8246705
0.030801015,-0.42883953,0.51706094,-0.7452636,-0.74231523,-0.075375095,0.049331054,-0.7832441
0.0742295,-0.4629193,0.49937767,-0.77293473,-0.702866,-0.039954387,0.087141156,-0.78268313
0.16638826,-0.5269003,0.47385973,-0.818156,-0.63770455,-0.0046762377,0.120715916,-0.7803084
0.21225694,-0.543788,0.4482118,-0.88077337,-0.60882425,0.028467245,0.12988453,-0.7863735
0.20700592,-0.515986,0.43273568,-0.9439706,-0.61648494,0.05195696,0.1149361,-0.7994666
0.17362306,-0.4575246,0.41349357,-1.0064803,-0.6395007,0.0639425,0.10436261,-0.81243575
0.16596338,-0.42612848,0.39333695,-1.0443796,-0.6503385,0.061537817,0.08833817,-0.8191068
0.12452164,-0.36607802,0.37044245,-1.0920918,-0.6816807,0.06048619,0.08320619,-0.8304864
0.08162139,-0.29479897,0.34233052,-1.1434189,-0.71898246,0.062125728,0.08370863,-0.8462096
0.05233661,-0.23032735,0.31057847,-1.2182449,-0.7434815,0.103065304,0.08907789,-0.87165475
0.003263916,-0.14839113,0.28314874,-1.2862709,-0.77263445,0.1241697,0.074129626,-0.9021633
-0.038156964,-0.0885085,0.2859292,-1.3159078,-0.79108065,0.12473751,0.03566111,-0.92152584
-0.07456502,-0.051031213,0.31631202,-1.3319011,-0.7739416,0.15307915,-0.00058259815,-0.9360167
-0.094559774,-0.049831506,0.37384152,-1.3023701,-0.744071,0.16183123,-0.057476424,-0.9377277
-0.11627035,-0.06332703,0.43504667,-1.2692189,-0.7192374,0.1657061,-0.1044452,-0.9366372
-0.12724513,-0.087757915,0.48922646,-1.2301378,-0.6904907,0.17540205,-0.13109171,-0.93218267
-0.13291815,-0.11577037,0.5492794,-1.1772568,-0.6579206,0.18728909,-0.16042715,-0.9264368
-0.13953789,-0.14996065,0.60125804,-1.1215487,-0.6288482,0.19663343,-0.17634295,-0.9166235
-0.13836887,-0.18512787,0.6468286,-1.047981,-0.5969125,0.20083138,-0.18877894,-0.898783
-0.14232343,-0.20861463,0.6830115,-0.9769543,-0.58090526,0.1856623,-0.19802488,-0.88048625
-0.1335409,-0.24474315,0.7075285,-0.9210947,-0.57030964,0.17234135,-0.19057047,-0.8609815
-0.116582945,-0.2824739,0.7152275,-0.87170374,-0.5533967,0.16326308,-0.17028326,-0.83746463
