z1,z2,z3,z4,z5,z6,z7,z8
0.42879245,-1.3784018,0.1403223,1.1602628,-0.013282226,-1.1029806,-0.8572518,-0.5360027
0.4492453,-1.4233669,0.099222645,1.1145138,0.048009504,-1.0471234,-0.9638811,-0.6128899
0.4589861,-1.4602076,0.0483362,1.0724831,0.12552258,-1.0014591,-1.0794635,-0.6598573
0.47481793,-1.4958707,0.008125847,1.0167762,0.1935741,-0.95751095,-1.1797954,-0.70603675
0.4852475,-1.5204034,-0.021355566,0.97117364,0.24594867,-0.9158582,-1.260954,-0.7522183
0.49049884,-1.5293351,-0.030452907,0.94585896,0.28485814,-0.87960386,-1.3228407,-0.78300136
0.5249251,-1.5583065,-0.040785633,0.87242895,0.33796635,-0.86778134,-1.397368,-0.8091617
0.557134,-1.5694008,-0.024466941,0.8313442,0.3637227,-0.8527815,-1.4496686,-0.83010584
0.58329326,-1.5671825,0.016240267,0.81446975,0.38403958,-0.834304,-1.494526,-0.8423949
0.62381005,-1.5671692,0.058462672,0.7851282,0.41306964,-0.82062715,-1.5490438,-0.8492418
0.6486515,-1.5555582,0.1185486,0.7702663,0.44689107,-0.8155613,-1.5798085,-0.8429034
0.67484945,-1.5547154,0.18602616,0.7375927,0.4861427,-0.8165267,-1.6049016,-0.832778
0.6991514,-1.5582985,0.25197694,0.7190663,0.51504934,-0.81730443,-1.6275711,-0.8210056
0.7205524,-1.5542133,0.31512183,0.7116333,0.53177315,-0.8132129,-1.6498806,-0.80131555
0.7361613,-1.554872,0.37306428,0.6891433,0.5521546,-0.81699985,-1.6772038,-0.78004503
0.74814457,-1.5585195,0.41288975,0.6586047,0.5673858,-0.8161784,-1.702111,-0.7510139
0.7537509,-1.5606799,0.44690892,0.63396585,0.5748682,-0.8199145,-1.7183337,-0.7214469
0.7626271,-1.5656315,0.4819888,0.60502124,0.5805249,-0.821629,-1.7410605,-0.70541215
0.7696984,-1.5701183,0.5122837,0.56523556,0.59220207,-0.82474124,-1.7648726,-0.6907783
0.7585937,-1.5634872,0.5413324,0.53835654,0.6017475,-0.8356963,-1.7663311,-0.6784025
0.7420667,-1.5589551,0.5663857,0.49589694,0.6287813,-0.86159664,-1.7659999,-0.665347
0.73256457,-1.5506581,0.5940525,0.4604568,0.64768827,-0.8929533,-1.7653475,-0.64426744
0.7157767,-1.5386108,0.6181038,0.41013068,0.6731192,-0.9428083,-1.7590659,-0.6095015
0.70416474,-1.5199196,0.6496094,0.3376852,0.6981465,-1.0058393,-1.7527635,-0.55306745
0.6830819,-1.4979669,0.67240775,0.2651241,0.69514734,-1.0721958,-1.7214317,-0.47664332
0.6539797,-1.4899992,0.68765867,0.18282507,0.7051808,-1.1245781,-1.7060729,-0.43709114
0.626727,-1.472926,0.6959372,0.1172094,0.6933765,-1.194532,-1.6634015,-0.36466965
0.5884007,-1.4642354,0.6958501,0.051146917,0.69321626,-1.2597632,-1.6168725,-0.3225933
