z1,z2,z3,z4,z5,z6,z7,z8
-0.34508297,-1.5151317,0.18790793,0.5590159,0.014600974,-0.36771947,-0.767928,-0.2996285
-0.39441285,-1.4818368,0.18807335,0.5798755,0.059916608,-0.32767555,-0.761827,-0.29190108
-0.40658307,-1.4561486,0.19705541,0.5854375,0.11011156,-0.2957275,-0.7958887,-0.30159524
-0.4263193,-1.4181938,0.20236376,0.6185995,0.1496057,-0.2628031,-0.8154556,-0.31384438
-0.423957,-1.400097,0.23123,0.64084923,0.20457754,-0.23688197,-0.841038,-0.30515975
-0.3938756,-1.3842362,0.306184,0.653964,0.2464209,-0.21533671,-0.8769523,-0.2893654
-0.35092992,-1.3727859,0.40207,0.6493921,0.30484095,-0.20260763,-0.9080264,-0.25273472
-0.3104267,-1.3626428,0.4917124,0.62886226,0.3671064,-0.2003093,-0.93265444,-0.20349877
-0.29845026,-1.350669,0.54210126,0.6096967,0.41814268,-0.21296258,-0.9353643,-0.14511204
-0.30664563,-1.3367084,0.5701415,0.5863573,0.4516069,-0.23742351,-0.9287871,-0.06367032
-0.31672302,-1.337512,0.576629,0.53800625,0.49719688,-0.28649715,-0.9103319,0.014445627
-0.3197864,-1.3394749,0.5796488,0.49940974,0.5351508,-0.34577554,-0.8884331,0.08039128
-0.3093951,-1.3362353,0.5853344,0.4708253,0.54914033,-0.3884762,-0.8850999,0.1333464
-0.2942605,-1.3317354,0.61005765,0.4355563,0.5567183,-0.4248569,-0.875988,0.1693021
-0.29395714,-1.33702,0.60745597,0.3875224,0.56608623,-0.4655712,-0.85642457,0.21171916
-0.30035284,-1.3565462,0.5915224,0.33445776,0.57142144,-0.5032856,-0.8418727,0.25206783
-0.30041236,-1.3888769,0.5631413,0.27538788,0.58468103,-0.5444496,-0.82053185,0.28657225
-0.29656303,-1.4173675,0.5276329,0.2193072,0.5881414,-0.59247464,-0.7987948,0.3177325
-0.29799587,-1.4496642,0.47605333,0.17274429,0.5607237,-0.65362775,-0.76748,0.3391413
-0.29311615,-1.4717804,0.4328794,0.13778219,0.4985297,-0.70869184,-0.7311077,0.3480329
-0.29513523,-1.4864945,0.3898123,0.10897877,0.4173949,-0.7358997,-0.6846626,0.3201824
-0.2584586,-1.4770906,0.3796233,0.08595537,0.35281783,-0.7454754,-0.6799514,0.29178402
-0.22242923,-1.4831613,0.33761296,0.04921855,0.31798452,-0.7406508,-0.68942195,0.2765499
-0.2059749,-1.4936796,0.28362936,0.024750028,0.28025806,-0.7403557,-0.6915763,0.24033359
-0.22292207,-1.5070322,0.22580212,0.017571352,0.22610869,-0.7314336,-0.66898483,0.19741112
-0.23729485,-1.5251786,0.1731072,0.021578085,0.18561459,-0.72695124,-0.65637314,0.14179868
-0.251148,-1.5266773,0.13740842,0.04461535,0.14344983,-0.71890664,-0.6511848,0.07656217
-0.25606695,-1.5153968,0.12424478,0.082914695,0.1060708,-0.703735,-0.6468919,0.015646713
-0.2750155,-1.48528,0.11365417,0.14441603,0.058826946,-0.6702631,-0.63894355,-0.056296095
-0.29528984,-1.4763434,0.081847735,0.19595936,0.028472992,-0.6229328,-0.6548232,-0.111039646
-0.31568757,-1.4700642,0.07305632,0.26229638,-0.008544447,-0.5683243,-0.6825106,-0.1629632
-0.3183649,-1.47138,0.06396373,0.3168483,-0.013060367,-0.51142544,-0.7166761,-0.21885988
-0.3303751,-1.4769757,0.05922965,0.35640016,0.013830623,-0.44474062,-0.75436014,-0.2632123
-0.350858,-1.4732851,0.04558593,0.40152004,0.041269023,-0.3800862,-0.800537,-0.3062079
-0.3670529,-1.4492766,0.04541313,0.45714995,0.07052574,-0.31577972,-0.83452594,-0.34675014
-0.3970466,-1.4108751,0.053109832,0.5124446,0.09791797,-0.2574013,-0.84657854,-0.35962775
-0.40162367,-1.3724071,0.08896607,0.5633325,0.11780452,-0.21343677,-0.8669301,-0.37696242
-0.39613378,-1.3283708,0.1390684,0.60758775,0.14023972,-0.17171198,-0.8812074,-0.37953576
-0.37788013,-1.293132,0.20430969,0.6434335,0.17710647,-0.13991013,-0.8996541,-0.36548766
-0.3338769,-1.2736373,0.26980597,0.64312285,0.24299914,-0.12112544,-0.92856926,-0.34609628
-0.2939355,-1.2546886,0.35046527,0.6364884,0.32189572,-0.107629344,-0.94669753,-0.29790878
-0.25748104,-1.2253318,0.44515425,0.6237929,0.4038101,-0.11056735,-0.9470225,-0.21935172
-0.21786207,-1.1999317,0.5309474,0.60224324,0.47262594,-0.12930156,-0.93452656,-0.120176196
-0.1960217,-1.1835116,0.58249867,0.5668957,0.5304079,-0.16750413,-0.9135195,-0.01016983
-0.16414665,-1.1835347,0.62187326,0.5280195,0.56481636,-0.22133107,-0.89572275,0.090352096
-0.12880833,-1.1958323,0.6450249,0.47564748,0.58664685,-0.2764658,-0.881342,0.1736476
-0.09317866,-1.2041596,0.64334375,0.41642252,0.60790104,-0.33270553,-0.87544376,0.25617707
-0.06265258,-1.2215024,0.62828207,0.34722587,0.6303115,-0.37606114,-0.8844755,0.31007844
-0.040000133,-1.2254686,0.5948372,0.28099364,0.6434895,-0.4150863,-0.86836946,0.37380892
-0.014533028,-1.2279259,0.5592873,0.22138412,0.63288265,-0.47628838,-0.83247054,0.43786994
0.0071284138,-1.2407868,0.48486608,0.15518764,0.6141586,-0.5431625,-0.78771377,0.51467127
0.020913083,-1.2731891,0.40808353,0.09788682,0.59311604,-0.6162,-0.7418049,0.5482269
0.044605445,-1.3075453,0.3341676,0.03844767,0.57152617,-0.6578997,-0.72240937,0.54634416
0.03592972,-1.3498114,0.23914789,-0.0060245357,0.5311004,-0.70898473,-0.6948016,0.53261817
0.011218172,-1.3745105,0.14175071,-0.0356842,0.46624506,-0.7494727,-0.65199715,0.5151122
-0.006335914,-1.3864554,0.060847558,-0.05021718,0.38748592,-0.77263165,-0.6172019,0.47847077
-0.042432696,-1.4020371,-0.027371414,-0.05005636,0.30880833,-0.7801291,-0.57749784,0.431495
-0.07375943,-1.4114823,-0.09789049,-0.03591153,0.23124601,-0.7728454,-0.5468186,0.37244225
-0.11041272,-1.4172764,-0.16443461,-0.0109533,0.15951559,-0.7461512,-0.5402781,0.29801542
-0.15424636,-1.4260163,-0.20824619,0.04236363,0.10997393,-0.707008,-0.55949575,0.20350355
-0.19393982,-1.4216735,-0.23572639,0.11086885,0.07262798,-0.65704393,-0.58962595,0.11302029
-0.25793198,-1.4267187,-0.26019874,0.16686666,0.07632005,-0.59149086,-0.60408777,0.06291123
-0.2960645,-1.4229883,-0.2781735,0.21917565,0.10910314,-0.53712696,-0.6330225,0.013911469
-0.32030392,-1.4124136,-0.2875801,0.27788383,0.13701786,-0.4870758,-0.6611169,-0.031598233
-0.3551826,-1.3943233,-0.29470614,0.3231368,0.18384534,-0.41707844,-0.69481754,-0.06507123
-0.35893413,-1.3663125,-0.30536154,0.3688908,0.2242546,-0.3557598,-0.7303436,-0.11370229
-0.35659426,-1.328677,-0.33165017,0.41025424,0.2557892,-0.30654192,-0.7670618,-0.16549528
-0.35442674,-1.2950093,-0.3424313,0.4580831,0.29089093,-0.27002785,-0.78951323,-0.19886895
-0.383362,-1.2631521,-0.33990717,0.53450966,0.3198306,-0.23053597,-0.79446715,-0.2301954
-0.389092,-1.2373307,-0.3124764,0.57435155,0.36729497,-0.19467922,-0.7783024,-0.23015553
-0.40332597,-1.2054013,-0.2643952,0.6038097,0.41544157,-0.1672538,-0.77506036,-0.21256027
-0.4181411,-1.1716932,-0.21154341,0.6436845,0.46154976,-0.13171507,-0.7797482,-0.192173
-0.40897915,-1.1348397,-0.138548,0.66449803,0.50903815,-0.1092052,-0.782084,-0.15284428
-0.39670873,-1.1036881,-0.06261793,0.6783364,0.56450284,-0.095776565,-0.78686136,-0.10152247
-0.39050066,-1.0800853,0.0073861033,0.69370854,0.6235313,-0.09208851,-0.7925013,-0.03661187
-0.376599,-1.0615147,0.07327766,0.69770116,0.6916444,-0.10203215,-0.79100776,0.04411442
-0.36426458,-1.0521239,0.1381254,0.6858549,0.7616624,-0.1321796,-0.7901105,0.13973692
-0.35830122,-1.0508647,0.18220027,0.6648741,0.82518286,-0.17653479,-0.7895519,0.23774523
-0.3387282,-1.0662823,0.20702715,0.61206913,0.8801008,-0.23455706,-0.77779776,0.30911016
-0.31902438,-1.079163,0.21930891,0.55321395,0.9218816,-0.27567086,-0.7646277,0.36810902
-0.2973236,-1.1085569,0.20350571,0.48784858,0.95118773,-0.3387584,-0.7466928,0.432395
-0.2698135,-1.1305746,0.1853061,0.41425642,0.9717907,-0.39584675,-0.72445685,0.5146535
-0.24275717,-1.1499143,0.17000979,0.33208695,0.9612404,-0.45409983,-0.69268805,0.58484215
-0.20299897,-1.1664414,0.12018569,0.23974654,0.9416241,-0.52793,-0.6413349,0.66951597
-0.18582785,-1.1993608,0.06391593,0.1686734,0.89537114,-0.57311016,-0.61680746,0.68171614
-0.1767849,-1.2312775,-0.020603435,0.10717719,0.82345015,-0.62498474,-0.5871023,0.71050185
-0.17320374,-1.2522588,-0.082763165,0.063292466,0.72533494,-0.6596401,-0.5682781,0.695848
-0.15473571,-1.263567,-0.13581747,0.02541997,0.62536514,-0.66275483,-0.5646424,0.65897447
-0.15426001,-1.2808872,-0.2036375,-0.0006427197,0.53145605,-0.6764154,-0.5608786,0.61312896
-0.16305634,-1.2956021,-0.26212582,-0.0036880504,0.44166696,-0.694188,-0.54126084,0.56555736
-0.16371293,-1.2980717,-0.3083659,-0.0052996743,0.36620224,-0.69389594,-0.52762616,0.5164049
-0.19073433,-1.3134035,-0.36691338,0.0076419003,0.30227765,-0.6917536,-0.5177387,0.4619928
-0.21068907,-1.3105348,-0.39363813,0.03576772,0.24090831,-0.6776273,-0.52826756,0.39102286
-0.22951816,-1.2937229,-0.40748146,0.07985424,0.18355162,-0.64268416,-0.547993,0.3128099
-0.25158864,-1.2795001,-0.4271715,0.1342094,0.13548273,-0.5921778,-0.56505686,0.24138728
-0.27123255,-1.2649916,-0.44469163,0.19547322,0.10661442,-0.5327156,-0.58537394,0.17185377
-0.28359056,-1.250999,-0.44462284,0.25468242,0.10413081,-0.48186076,-0.6139067,0.10567243
-0.29026553,-1.235758,-0.44276398,0.29855826,0.11254108,-0.42864612,-0.64335454,0.05094871
-0.29969987,-1.2182852,-0.43761134,0.34455633,0.11871769,-0.37907836,-0.67188686,-0.00039783865
-0.32726794,-1.1995566,-0.42933053,0.3833262,0.14718248,-0.322385,-0.6932086,-0.043410055
-0.34672892,-1.1640586,-0.41614816,0.4245525,0.15996374,-0.27419877,-0.71891266,-0.09831329
-0.3699609,-1.1227362,-0.38388836,0.49136254,0.16989905,-0.21997434,-0.72498953,-0.1384761
-0.38794625,-1.0902281,-0.35688293,0.54053134,0.19095649,-0.1789702,-0.7335715,-0.16331677
-0.38156575,-1.0464844,-0.29417288,0.58004236,0.21836601,-0.14737436,-0.73162085,-0.17704141
-0.37816444,-0.99542207,-0.21881913,0.6096204,0.25405645,-0.111995116,-0.7345836,-0.1598113
-0.38626006,-0.935247,-0.123095535,0.64441997,0.29671788,-0.08202961,-0.7371193,-0.1305624
-0.40098354,-0.88355297,-0.049621675,0.67783046,0.36659044,-0.05120518,-0.74334943,-0.078094326
-0.40956816,-0.83617485,0.028014662,0.7032315,0.4267211,-0.046454277,-0.7411306,-0.008068625
-0.41249195,-0.7943596,0.10530768,0.71009016,0.5074448,-0.058952097,-0.7318527,0.09375573
-0.42164055,-0.778659,0.15464425,0.70790726,0.5895343,-0.0976549,-0.73271084,0.18178546
-0.44060636,-0.77143973,0.19333884,0.6957252,0.6649516,-0.15891822,-0.72574687,0.28472266
-0.45757073,-0.7842437,0.22224782,0.6700713,0.7238178,-0.22915386,-0.7204579,0.36877632
-0.45955572,-0.8271363,0.22695573,0.6021468,0.80126303,-0.2714511,-0.72569185,0.40477452
-0.44937384,-0.8692102,0.19199435,0.5134233,0.8648917,-0.3367055,-0.72321427,0.4454011
-0.44024897,-0.878041,0.1520455,0.43435723,0.9413198,-0.38755816,-0.69421494,0.5461552
-0.440726,-0.9274981,0.10545504,0.32277536,0.9642569,-0.46153453,-0.66091734,0.6239736
-0.436969,-0.98127854,0.034265757,0.22781003,0.9644229,-0.52913374,-0.63086456,0.68650144
-0.39234918,-1.001094,-0.045105413,0.1447165,0.9601739,-0.61895484,-0.5880825,0.7697298
-0.37511623,-1.029528,-0.118797496,0.06304364,0.9448356,-0.6741797,-0.565513,0.7882283
-0.37857124,-1.0592153,-0.19404209,0.004120171,0.89214677,-0.7172068,-0.55017227,0.78552574
-0.38614294,-1.0854945,-0.28506225,-0.04942034,0.8126441,-0.7518217,-0.532866,0.77618265
-0.3929719,-1.1036978,-0.3787135,-0.09367465,0.7276498,-0.7809266,-0.51457095,0.74908316
-0.3974194,-1.114229,-0.45746264,-0.12841272,0.6156556,-0.7972413,-0.5064494,0.696421
-0.39483374,-1.1244473,-0.5175237,-0.14872338,0.52549833,-0.80345255,-0.5006427,0.6461329
-0.39555603,-1.1279337,-0.55511665,-0.1563488,0.4450077,-0.7942646,-0.49876815,0.59596026
-0.40379345,-1.1315064,-0.5831578,-0.1486753,0.40071565,-0.7736495,-0.51768214,0.53029
-0.4183598,-1.1188062,-0.59419906,-0.1280688,0.34501347,-0.7405125,-0.5377671,0.44762483
-0.4363355,-1.1069537,-0.60374963,-0.10084107,0.28198645,-0.6867373,-0.56487453,0.34344992
-0.44824353,-1.107589,-0.60841143,-0.053659573,0.23760809,-0.6116148,-0.58128446,0.25377408
-0.46539488,-1.1141372,-0.62217784,-0.0018164068,0.22544487,-0.5471675,-0.6300283,0.16591363
-0.4685817,-1.1108085,-0.6253157,0.048580892,0.23279436,-0.49404418,-0.68544424,0.088213064
-0.47454557,-1.1046271,-0.6202587,0.08547366,0.2500051,-0.4347826,-0.7354421,0.028354244
-0.49363184,-1.0714618,-0.60316515,0.119890615,0.2862644,-0.36495906,-0.77397984,-0.034729056
