z1,z2,z3,z4,z5,z6,z7,z8
-1.6423659,-0.20108297,1.6933379,-0.42685965,0.058473933,1.5097678,0.614253,0.606008
-1.6504066,-0.39855924,1.7046888,-0.5163945,0.17184548,1.4734526,0.5838869,0.52875674
-1.5786799,-0.5216977,1.703025,-0.6021848,0.22747529,1.4208633,0.48981163,0.45831108
-1.520038,-0.65450096,1.7246248,-0.7316613,0.2862408,1.30661,0.37806913,0.3919462
-1.3622444,-0.9023443,1.7788508,-0.9582304,0.37591103,1.0514772,0.23281673,0.30606973
-1.2217698,-1.0704565,1.8278549,-1.1150686,0.4655018,0.8761761,0.066951044,0.29201132
-1.1266297,-1.1058161,1.87581,-1.1882912,0.49088913,0.74781495,-0.007999901,0.2773143
-1.0682708,-1.0868433,1.8937639,-1.2305144,0.48138404,0.6791003,-0.038462777,0.28596902
-1.0266384,-1.0812197,1.8887395,-1.2690396,0.4933649,0.63142276,-0.03641663,0.30534273
-1.012599,-1.0555227,1.8988553,-1.3169893,0.436388,0.5641704,-0.020478139,0.26527274
-0.9810936,-1.0226247,1.9001243,-1.3550987,0.40476528,0.50072837,0.015363302,0.2371545
-0.9601557,-0.9859541,1.9230684,-1.4138618,0.31029674,0.41327548,0.05475896,0.12802105
-0.92652726,-0.9151122,1.971321,-1.494121,0.21596836,0.2722318,0.119400226,-0.022973664
-0.968439,-0.87595767,1.9752632,-1.5302023,0.17178318,0.23321676,0.15897854,-0.05167111
-1.0031829,-0.86159843,1.9739214,-1.5087931,0.15010336,0.23238209,0.17968692,-0.03201141
-1.047681,-0.819757,1.9922491,-1.4327745,0.10838778,0.24395111,0.22314413,-0.031103186
-1.1578186,-0.7322259,2.0262163,-1.2823635,-0.007087942,0.27899322,0.30414245,-0.073844664
-1.3219342,-0.6134658,2.0257504,-1.2187089,-0.098502345,0.3169656,0.43460494,-0.052281495
-1.410045,-0.5464417,1.9863807,-1.1933166,-0.17957465,0.34318674,0.5072205,-0.046925776
-1.4496609,-0.4859258,1.9693109,-1.160823,-0.2844564,0.363884,0.52407765,-0.1115101
-1.4992111,-0.44372842,1.9586478,-1.1642442,-0.34532794,0.36667138,0.56302416,-0.1165877
-1.552267,-0.37292486,1.9569763,-1.178326,-0.43247858,0.33804837,0.5760178,-0.16757074
-1.5936253,-0.31984878,1.9555093,-1.1803931,-0.49958512,0.34142104,0.55260545,-0.20615537
-1.5856342,-0.28346634,1.9256753,-1.1610563,-0.5248574,0.36990514,0.5577931,-0.20556226
-1.539262,-0.2801548,1.9173589,-1.0755213,-0.48986432,0.41746882,0.58646405,-0.12735397
-1.5267133,-0.22785467,1.8908038,-1.0178213,-0.52066827,0.4629723,0.5911118,-0.10867615
-1.5917075,-0.09098485,1.8544815,-0.842075,-0.55422854,0.64204925,0.62379414,-0.03699825
-1.7239395,0.13245864,1.7817644,-0.60134625,-0.6181817,0.9416996,0.68957806,0.046534367
