z1,z2,z3,z4,z5,z6,z7,z8
-0.75760573,-1.956353,0.70739514,0.6604836,0.9930974,-0.20333375,0.9114894,0.39895087
-0.8248793,-1.9758285,0.712626,0.6687218,0.97617805,-0.18131047,0.9289115,0.43703616
-0.8647241,-1.9534752,0.76028186,0.69984406,0.96693575,-0.15808548,0.9357078,0.4030917
-0.79929227,-1.887547,0.86328065,0.73672026,0.88222003,-0.15203576,0.88375014,0.27760944
-0.7468123,-1.8481627,0.9609022,0.7487414,0.7712544,-0.16065088,0.82620406,0.13471155
-0.66703886,-1.7951835,1.0559945,0.7563034,0.6601124,-0.2152258,0.7691007,0.027357463
-0.56434953,-1.7403117,1.1749259,0.7757439,0.53420186,-0.27499828,0.70540124,-0.032963723
-0.3853578,-1.6135457,1.2572225,0.7607667,0.39794147,-0.44152123,0.59812456,-0.17571063
-0.26126516,-1.5009212,1.2637972,0.70923334,0.26230425,-0.55503416,0.53519815,-0.18929249
-0.104682714,-1.3104726,1.2497145,0.5602042,0.11169468,-0.6812816,0.4662216,-0.33849168
0.109086365,-1.088684,1.2724004,0.4203547,0.018137679,-0.8050638,0.41549256,-0.47319803
0.39259815,-0.91085714,1.3205044,0.3881413,0.11517133,-0.91767067,0.28860885,-0.42035332
0.7660917,-0.59789115,1.2194161,0.2628868,0.38189664,-1.1554404,0.17753133,-0.36816245
1.0532466,-0.25423083,1.0697083,0.1400685,0.75312734,-1.467398,0.11876556,-0.3287555
1.1526065,-0.14032316,0.9757659,0.004999738,0.9437847,-1.5262249,0.11348888,-0.26688135
1.1320251,-0.07996092,0.91682184,-0.1237499,1.0236064,-1.4815172,0.07580612,-0.199559
1.0680293,-0.11043208,0.798466,-0.18602827,1.0309697,-1.4726733,0.07164559,-0.11071158
0.982753,-0.14649144,0.65199876,-0.19777983,1.0615662,-1.4629376,0.049770936,-0.0133263245
0.98738784,-0.13591817,0.55540884,-0.19824755,1.0599877,-1.4596598,-0.028632976,0.049091253
0.88556015,-0.12377065,0.43270105,-0.20395064,1.1229385,-1.4283037,-0.06412559,0.09177761
0.71294385,-0.13740692,0.31693777,-0.25278813,1.2268175,-1.3837602,-0.03361497,0.17894067
0.5498985,-0.14074114,0.19859439,-0.30734003,1.346999,-1.326412,-0.019236185,0.29462725
0.44005185,-0.13368922,0.10546655,-0.36417618,1.3888729,-1.3185986,-0.034604944,0.34034005
0.36780232,-0.14552474,0.028371088,-0.39273438,1.4130074,-1.3255031,-0.036144696,0.38294315
0.19278222,-0.19252837,-0.13535364,-0.4251679,1.5471687,-1.3305838,0.018653192,0.59915704
-0.038226604,-0.3400033,-0.24071907,-0.4370576,1.5893118,-1.384761,0.12055418,0.69568384
-0.042863503,-0.33730772,-0.21308295,-0.37187982,1.5080525,-1.3821298,0.04216441,0.6340665
-0.10559304,-0.36234674,-0.22073713,-0.3287802,1.4674948,-1.3478563,0.026001982,0.57583636
-0.27065444,-0.45009854,-0.2670878,-0.28648743,1.4303048,-1.3264759,0.07718535,0.5588073
-0.5650652,-0.5968484,-0.2909665,-0.22952126,1.3849908,-1.2740448,0.16978264,0.547026
-0.745654,-0.69975007,-0.25931138,-0.17094311,1.3226342,-1.2274076,0.27142063,0.5223625
-0.7380117,-0.70999706,-0.14753668,-0.103056476,1.2220683,-1.1853175,0.21228974,0.43151793
-0.9019902,-0.7673648,-0.21534859,-0.05238595,1.2681664,-1.1302109,0.24974215,0.53806263
-0.9608778,-0.8021723,-0.14900614,-0.019005472,1.2185328,-1.1072141,0.264695,0.5178274
-1.1126578,-0.96077204,0.1430497,0.14649731,0.9877087,-0.9765721,0.33651987,0.48293963
-1.1525402,-1.0397894,0.27018738,0.24342977,0.89275026,-0.92661506,0.34340185,0.5083783
-1.1722096,-1.0914007,0.3615691,0.3347809,0.8419087,-0.8661004,0.3251483,0.52256006
-1.1409856,-1.125575,0.45358834,0.34215817,0.74303794,-0.84354734,0.2507369,0.36670017
-1.1158558,-1.1701722,0.59987724,0.4602645,0.60228395,-0.75692755,0.19947669,0.2669215
-0.9939954,-1.2626519,0.8172616,0.65671414,0.45866096,-0.6359682,0.15714335,0.091252595
-0.80037683,-1.276819,1.0686225,0.81064904,0.26984283,-0.5542847,0.10643158,-0.0071190186
-0.56385636,-1.2437764,1.215246,0.90479237,0.09922046,-0.5957546,0.06279616,-0.102847196
-0.3416679,-1.1700443,1.2881503,0.95981306,-0.0014446974,-0.60276484,0.008066781,-0.1781139
-0.02330926,-1.0071896,1.339644,0.95425445,-0.002025582,-0.71641195,-0.1328418,-0.34598514
0.1779111,-0.8395872,1.302054,0.8592052,0.16771357,-0.93465173,-0.2131044,-0.42279178
0.26544282,-0.7644512,1.1775794,0.8504219,0.29094857,-0.9675247,-0.28201535,-0.28384155
0.5172688,-0.6291721,1.140599,0.85776097,0.3194431,-1.0340525,-0.41097507,-0.23025577
0.8520978,-0.43269086,1.0956091,0.811098,0.43326697,-1.2023083,-0.51305115,-0.24380802
1.1347511,-0.25527647,0.9345233,0.7142867,0.63210046,-1.3370754,-0.62229544,-0.12593345
1.3047088,-0.10571174,0.72984976,0.5807698,0.79513323,-1.4248416,-0.7413817,0.018569056
1.2247171,-0.07960536,0.5693659,0.52518034,0.85824513,-1.3260577,-0.846435,0.14596361
1.1701772,-0.07152067,0.4748754,0.48807502,0.9167235,-1.3054732,-0.8761896,0.15553805
1.0958,-0.05109242,0.36517236,0.40849334,0.98468626,-1.3022879,-0.8698288,0.17510276
0.93755686,-0.03552594,0.21661085,0.34865916,1.1162071,-1.2291348,-0.8637078,0.14727609
0.8443762,-0.011062795,0.11354708,0.27245185,1.200501,-1.1686933,-0.83424294,0.14662075
