z1,z2,z3,z4,z5,z6,z7,z8
-0.11978148,0.097363904,0.7320738,-0.32389033,0.73841643,0.42002186,0.95332944,0.6283635
-0.17626046,0.07233225,0.7055055,-0.32094786,0.72164786,0.43627846,0.98215437,0.6213492
-0.23754413,0.057039976,0.69178015,-0.3264073,0.70334613,0.45769492,1.0238578,0.6360933
-0.29469407,0.045884054,0.69582814,-0.30579174,0.6766528,0.47894984,1.0748563,0.6410056
-0.34346414,0.045631804,0.7042347,-0.26992512,0.6481668,0.5013984,1.1241528,0.64899796
-0.35934877,0.06260891,0.7091926,-0.23585482,0.6087315,0.5087701,1.1552149,0.64245516
-0.34989387,0.07812992,0.72858393,-0.20785882,0.5586519,0.52381366,1.1696386,0.59628946
-0.3673057,0.08913318,0.7250431,-0.19851072,0.5528003,0.53077656,1.1856773,0.5959438
-0.38705045,0.08230723,0.7397597,-0.18081543,0.53667957,0.5429881,1.1958426,0.5834589
-0.38901854,0.05636539,0.77779007,-0.16367218,0.5038954,0.5800178,1.1773123,0.5397757
-0.35937124,0.040795673,0.81741166,-0.14051606,0.45968387,0.6067341,1.1483893,0.49736282
-0.26094794,0.057401616,0.8869794,-0.10553917,0.40534744,0.64808905,1.0919584,0.42084336
-0.17263184,0.058204126,0.9526289,-0.08591272,0.36681253,0.6792966,1.0348293,0.36176023
-0.17665906,0.01834517,0.99626225,-0.094790496,0.34280056,0.7211381,1.002299,0.3239003
-0.19771661,-0.020960815,1.0466837,-0.04437183,0.31595975,0.7607037,1.0175626,0.30225652
-0.1794904,-0.03588187,1.0870237,-0.0067787208,0.2798249,0.78552794,1.0077378,0.2809388
-0.13447008,-0.030578502,1.1309325,0.05336414,0.23665363,0.79567206,1.0071172,0.2612763
-0.08566257,-0.013220418,1.1643096,0.12187722,0.19910097,0.80144334,1.0211878,0.24650912
-0.027909279,0.01708784,1.1890645,0.1744337,0.16986924,0.79903626,1.0257885,0.22041781
0.13422583,0.101216346,1.2276855,0.2704688,0.11975671,0.74486655,1.0231386,0.15913494
0.27748585,0.19103336,1.2368497,0.2881966,0.1327503,0.70398384,0.9789315,0.12336911
0.39969283,0.30430722,1.224383,0.21315514,0.17191167,0.6424303,0.87442666,0.12084691
0.5185439,0.4050974,1.2211375,0.10599987,0.22155486,0.5779115,0.71533465,0.124322265
0.6001477,0.4429364,1.1940163,0.0025027096,0.28730518,0.58173436,0.6263573,0.17037797
0.63232154,0.45341134,1.1891485,-0.1224692,0.34863132,0.53232425,0.49867776,0.15084901
0.7186341,0.50695014,1.1918311,-0.1913772,0.3937015,0.47688836,0.40020898,0.1422348
0.77689683,0.53948075,1.137922,-0.24208143,0.44730455,0.42754182,0.3327827,0.16883564
0.78554976,0.57131714,1.0276669,-0.30954528,0.5268414,0.4221146,0.30683637,0.24190168
0.7818444,0.5928358,0.9639044,-0.39935994,0.5849043,0.39238667,0.25022084,0.25327313
0.7622105,0.60302144,0.84959096,-0.49574786,0.6616012,0.3988192,0.21514367,0.28998107
0.7430254,0.6226735,0.74586046,-0.5612943,0.75560606,0.38658187,0.18116868,0.34810448
0.7005428,0.6268121,0.63964635,-0.5632616,0.8651234,0.37007013,0.16581967,0.43930724
0.6375562,0.65027565,0.57649666,-0.5602192,0.94484246,0.33564222,0.1584929,0.5096406
0.5432812,0.6571308,0.48747596,-0.583547,1.0066357,0.3307961,0.15625699,0.59079903
0.44134355,0.65384936,0.4010899,-0.63836634,1.0762447,0.37177715,0.15974429,0.64944607
0.33241642,0.6457775,0.31490302,-0.6821762,1.140977,0.41943157,0.17112339,0.7058296
0.18897727,0.61126065,0.24156052,-0.70438147,1.1939442,0.46198756,0.20208973,0.7584418
-0.014458336,0.55256975,0.15957703,-0.7280559,1.2658486,0.5252446,0.2583412,0.83624
-0.23501696,0.48640716,0.086953536,-0.7358915,1.3426433,0.5703245,0.32309258,0.88665444
-0.44964802,0.42132723,0.032976687,-0.73509175,1.3788946,0.6125191,0.35566548,0.8958816
