z1,z2,z3,z4,z5,z6,z7,z8
-0.30857188,-0.19778132,0.50135106,-0.5483758,-0.85709333,-0.61645263,0.73086387,0.524458
-0.30233848,-0.23271203,0.54965824,-0.5624969,-0.8892518,-0.58401746,0.63841176,0.4428735
-0.27964777,-0.25156787,0.589625,-0.57474416,-0.9183495,-0.5771089,0.57077414,0.39555478
-0.25070602,-0.26503223,0.6305893,-0.5895543,-0.94168663,-0.5797096,0.5085044,0.35576057
-0.21412896,-0.26593262,0.6675564,-0.5807439,-0.9583601,-0.5918033,0.46199697,0.31918505
-0.17352392,-0.26806635,0.7099774,-0.5801819,-0.9725765,-0.6169918,0.42034653,0.3035676
-0.12277697,-0.26269048,0.74879587,-0.56576777,-0.99238455,-0.6512622,0.37674382,0.28188536
-0.07370187,-0.24982214,0.78940946,-0.54947436,-1.007891,-0.6914332,0.33831072,0.25694913
-0.03991115,-0.24256203,0.828805,-0.5460361,-1.0229243,-0.7263047,0.30176094,0.24578525
-0.004335299,-0.22552794,0.86767,-0.5224346,-1.0469221,-0.77364665,0.26110482,0.21739121
0.06432092,-0.20051023,0.8973258,-0.49264657,-1.0815392,-0.86374587,0.21967633,0.20332043
0.11349608,-0.18243998,0.9102364,-0.4934199,-1.0909593,-0.9324002,0.17289247,0.21037774
0.14311945,-0.17742407,0.9026034,-0.5406006,-1.0624129,-0.9579295,0.1147929,0.28153086
0.1610094,-0.17828852,0.90411985,-0.61803246,-1.0261973,-1.0164839,0.046732176,0.36352566
0.16716218,-0.1763317,0.89317816,-0.6651517,-0.9987556,-1.0555766,-0.012698792,0.4108188
0.16206087,-0.18051246,0.8562379,-0.7251346,-0.96122956,-1.066443,-0.06692303,0.49191865
0.16925743,-0.16239652,0.81079906,-0.7865975,-0.94079804,-1.0899245,-0.14220488,0.5191446
0.15956429,-0.1457456,0.75702894,-0.8351993,-0.91320336,-1.0760053,-0.18953079,0.53987056
0.13372487,-0.12586814,0.7005904,-0.8904966,-0.87734056,-1.0696195,-0.2102625,0.58295393
0.09720933,-0.11389194,0.64252675,-0.95144135,-0.82991374,-1.0650718,-0.24049175,0.645403
0.050081447,-0.110445194,0.5740242,-1.0115664,-0.7712529,-1.0646061,-0.24177822,0.7616009
-0.020065755,-0.13683209,0.5494092,-1.0285299,-0.746452,-1.0320554,-0.21870181,0.77926445
-0.11390537,-0.17454425,0.5397592,-1.0460814,-0.75483143,-0.99950165,-0.15316963,0.77107036
-0.1904789,-0.19767678,0.5339441,-1.0654968,-0.7531719,-0.952532,-0.10857295,0.76896465
-0.26474333,-0.20503059,0.5283349,-1.102058,-0.75699663,-0.9129871,-0.076484986,0.6939546
-0.3418185,-0.20113349,0.4930924,-1.1382616,-0.7284856,-0.89825875,-0.05538995,0.6774091
-0.4450575,-0.19005379,0.4316967,-1.1424156,-0.70552886,-0.88111085,-0.035633184,0.62905765
-0.53006315,-0.19765946,0.3814796,-1.1163294,-0.7007936,-0.8442158,-0.02559533,0.5633838
-0.6165921,-0.20119134,0.3352665,-1.0881288,-0.7018455,-0.77854323,-0.023418784,0.48421803
-0.7386466,-0.2293562,0.26902938,-1.0766126,-0.7125542,-0.69935447,-0.017231174,0.4205294
-0.8309646,-0.23855487,0.22153494,-1.034828,-0.71929765,-0.6212486,0.017823517,0.35947576
-0.92340386,-0.24785379,0.21597594,-1.0036782,-0.739323,-0.54951453,0.062593356,0.30028635
-0.9105402,-0.22054935,0.26329264,-0.9261413,-0.78209007,-0.55750424,0.14734626,0.25048718
-0.9707259,-0.21943027,0.29012075,-0.86501235,-0.8393347,-0.5248615,0.23040044,0.22950439
-1.0531567,-0.22912392,0.30482873,-0.8135622,-0.8700625,-0.46451285,0.30305383,0.2033876
-1.13586,-0.233975,0.37072763,-0.6826769,-0.9130609,-0.42354995,0.4057474,0.1679835
-1.1007282,-0.18966383,0.4495239,-0.5765769,-0.9928155,-0.41987467,0.42741302,0.116491914
-1.0173867,-0.14359215,0.61836886,-0.39059237,-1.1428679,-0.407077,0.43447477,0.07567178
-0.8729377,-0.08798175,0.77950287,-0.24869345,-1.241958,-0.43304664,0.41759068,0.048755657
-0.7029944,-0.023343397,0.92296505,-0.0735988,-1.3046494,-0.51045823,0.43372428,0.048417877
-0.5342537,0.10108329,1.0371699,0.04251874,-1.3431855,-0.65246964,0.4740831,0.02905367
-0.35374647,0.24658075,1.0554954,0.13970509,-1.362098,-0.8189603,0.49990532,0.0018254928
-0.11045486,0.38438118,1.1149805,0.1488272,-1.3998234,-0.9896036,0.41122538,-0.10409583
0.081955895,0.49816507,1.0745295,0.090252236,-1.3966049,-1.1465319,0.31320047,-0.17935127
0.21257302,0.5858539,1.0038415,0.021019597,-1.3292786,-1.2546356,0.21115963,-0.17740102
0.3056572,0.64368236,0.97329855,-0.03973841,-1.2476275,-1.3564322,0.1024005,-0.13490714
0.39338607,0.69270635,0.9163443,-0.12158395,-1.1392637,-1.4279608,0.0034465268,-0.039778624
0.44341004,0.7267182,0.87592465,-0.18128273,-1.000877,-1.4986039,-0.04996208,0.15089573
0.4520409,0.75452214,0.8298162,-0.25918236,-0.8726847,-1.5551257,-0.081415124,0.3595522
0.42566603,0.780373,0.77472764,-0.34044823,-0.7513077,-1.6158413,-0.103130706,0.580961
0.39990264,0.7912653,0.7080614,-0.44195506,-0.6330658,-1.6355481,-0.13721612,0.75572366
0.33390617,0.82844704,0.6090146,-0.53056335,-0.49380264,-1.6639687,-0.13785884,0.9184072
0.22076902,0.81888884,0.5207187,-0.61710286,-0.40855926,-1.6402155,-0.07461601,1.004891
0.066713125,0.80011845,0.42091456,-0.695815,-0.33978605,-1.6126297,0.0076881275,1.0677942
-0.083144695,0.793175,0.3258991,-0.7667645,-0.27041683,-1.6088609,0.07818091,1.0806807
-0.24400534,0.76760495,0.2087648,-0.84918994,-0.20997351,-1.6309683,0.14669587,1.0675646
-0.3841465,0.65050703,0.109553404,-0.9378662,-0.25109345,-1.5713161,0.2242848,1.0187372
-0.5335771,0.62860566,0.042289,-0.9139935,-0.23868829,-1.532492,0.18714696,0.91037005
-0.67606413,0.5906378,-0.03149188,-0.95363665,-0.25992188,-1.4491765,0.19937122,0.81210625
-0.8042861,0.5590482,-0.04558829,-0.9515825,-0.28592306,-1.3788792,0.23485175,0.7081155
-0.9471774,0.56299454,-0.10041638,-1.016067,-0.30113974,-1.3074732,0.2581511,0.5866062
-1.0688369,0.55208844,-0.13505314,-1.0373892,-0.33025464,-1.2384095,0.28952992,0.4857897
