z1,z2,z3,z4,z5,z6,z7,z8
-0.7495069,-0.1944758,-0.1000482,-0.38016185,-0.67264116,0.128462,0.7335473,0.19844858
-0.7475623,-0.21546361,0.0060691116,-0.2887675,-0.7154987,0.19447033,0.69387,0.101446986
-0.67372286,-0.19574422,0.11291872,-0.18086572,-0.7843939,0.22763482,0.67174035,0.025991488
-0.5183521,-0.12271085,0.24133736,-0.017366895,-0.8967285,0.23069945,0.6865618,-0.046967108
-0.28690428,-0.040409323,0.35646877,0.10962038,-0.99801636,0.1640221,0.6973227,-0.09771237
-0.014139719,0.048687167,0.49533775,0.2467454,-1.0889393,0.09735491,0.6732055,-0.12678105
0.22919211,0.13361067,0.593498,0.37146485,-1.1516901,0.029192206,0.64717466,-0.10421713
0.44247878,0.21560732,0.64369744,0.43922365,-1.1633477,-0.031193776,0.57646656,-0.088575415
0.6454354,0.29034382,0.6312558,0.45275608,-1.1492078,-0.07174644,0.5398419,-0.033196095
0.8259626,0.3828693,0.5936617,0.4690531,-1.076699,-0.1455862,0.5071854,0.052119855
0.99337703,0.4547514,0.53784144,0.41666692,-0.9809176,-0.22293918,0.47611466,0.15782101
1.1088276,0.49056044,0.47551325,0.31644195,-0.842275,-0.28766605,0.39986116,0.2716737
1.2173707,0.512903,0.3944036,0.19704819,-0.68620265,-0.37052312,0.26302388,0.3587613
1.2130531,0.52354985,0.27886742,0.03264227,-0.5507796,-0.36869663,0.1915251,0.5051233
1.1976036,0.5284909,0.15400504,-0.07979682,-0.38764992,-0.3672993,0.16438657,0.67590195
1.1717155,0.5467662,0.006575384,-0.12880924,-0.19641876,-0.36108214,0.14213657,0.8940913
1.1206849,0.55082476,-0.0783084,-0.15410236,-0.06403442,-0.3375254,0.15866077,1.0081419
1.010514,0.52879786,-0.15071446,-0.1983166,-0.025600053,-0.296263,0.18796246,1.0559187
0.8957256,0.51377505,-0.21592654,-0.2653129,0.0051665977,-0.24704841,0.24829584,1.0856539
0.7520268,0.48639157,-0.28781986,-0.31706086,0.03820966,-0.19132695,0.31217948,1.1418872
0.5680317,0.4420996,-0.3683169,-0.38744092,0.034511507,-0.12517542,0.40626955,1.1452684
