z1,z2,z3,z4,z5,z6,z7,z8
1.9449773,-2.0422282,0.37625703,0.9716936,-0.27034318,1.4829636,0.44576615,0.10086201
1.9825892,-2.0327747,0.36190897,0.9873583,-0.22851312,1.4870379,0.4549696,0.10752788
2.0055602,-1.9901971,0.32150942,0.95869285,-0.15484275,1.4564434,0.45164964,0.12246245
2.054926,-1.9070772,0.240545,0.8962773,-0.027107581,1.3855795,0.42845365,0.15549748
2.1047812,-1.7452381,0.080904566,0.8095558,0.19515607,1.238486,0.38747013,0.18315434
2.0676656,-1.6048648,0.07022246,0.6599245,0.436095,1.0669142,0.37246788,0.12305604
1.8427826,-1.3428205,0.13777174,0.32994112,0.8349334,0.68898326,0.3544905,-0.24609914
1.7162825,-1.1616334,0.10186184,0.1462231,1.1058493,0.43842614,0.3374163,-0.435951
1.5780451,-0.9323722,0.17980957,0.07244834,1.3896449,0.1257756,0.39278728,-0.59504324
1.4203519,-0.83063626,0.3091728,-0.01837342,1.5720574,-0.058973312,0.5143429,-0.6381553
1.3385099,-0.65186226,0.40391675,-0.092230245,1.6413351,-0.16749999,0.5159518,-0.7122824
1.057226,-0.3368418,0.73310417,-0.2903979,1.6206297,-0.395823,0.54061866,-0.96906674
1.0495217,-0.3187051,0.73336047,-0.30571267,1.6543155,-0.3508121,0.51312345,-0.9421131
0.97410256,-0.351343,0.7155514,-0.38148484,1.7396587,-0.32062405,0.5379359,-0.8494463
0.85979927,-0.42419344,0.6699774,-0.44956762,1.8532026,-0.24879774,0.595576,-0.704617
0.8660091,-0.4095481,0.6790642,-0.45279014,1.8873062,-0.21027769,0.59912527,-0.7079622
0.84282374,-0.40963173,0.6718261,-0.4657116,1.9168301,-0.19930856,0.58823305,-0.7057862
0.74072343,-0.44374207,0.65306336,-0.5396075,1.9143013,-0.2118123,0.5535202,-0.6981958
0.5515702,-0.519518,0.5565948,-0.5733241,1.9529502,-0.16039781,0.596404,-0.6015452
0.44548625,-0.5600945,0.49582395,-0.58826995,1.9797065,-0.13040021,0.61589473,-0.5491946
0.33945996,-0.59832877,0.4316248,-0.59027517,1.9761479,-0.11382931,0.65094644,-0.52230066
0.19840407,-0.6097761,0.32684729,-0.53098595,1.9760593,-0.07060016,0.72318053,-0.488166
0.08969779,-0.6401542,0.24476135,-0.5345907,1.9790785,-0.061109714,0.7563411,-0.4711281
0.014674485,-0.6605736,0.21044794,-0.5173526,1.9750898,-0.0051234365,0.78185886,-0.48694232
-0.10981703,-0.7061485,0.2096607,-0.47484258,1.9229743,0.038581472,0.84330636,-0.5336026
-0.32018596,-0.83271545,0.2781806,-0.39944124,1.800346,0.11980503,0.9543597,-0.5952275
-0.51553035,-0.94172883,0.33793506,-0.3248222,1.6855985,0.18157762,1.0715085,-0.62939614
