z1,z2,z3,z4,z5,z6,z7,z8
0.40429747,-1.1431018,-1.3016002,0.6882217,-0.36281598,-0.0967788,1.0475378,-0.37880403
0.53949475,-1.1212081,-1.313535,0.72334534,-0.35851955,-0.11790056,1.0486178,-0.43815473
0.65302426,-1.0956631,-1.3585501,0.72814816,-0.32432804,-0.13945702,1.0388196,-0.45390907
0.7478358,-1.0742877,-1.4204946,0.707654,-0.27130082,-0.15278736,1.017089,-0.44285953
0.81219053,-1.065476,-1.4907575,0.6652396,-0.21393451,-0.15276754,0.990855,-0.42452663
0.84699816,-1.0551832,-1.5487144,0.6325621,-0.17034772,-0.15885241,0.9716136,-0.41894785
0.85341954,-1.0557252,-1.6164922,0.588025,-0.13180421,-0.14226595,0.96247023,-0.41749755
0.8567473,-1.0597961,-1.6702191,0.56301415,-0.08188583,-0.14275451,0.9699635,-0.39594603
0.8689246,-1.0456289,-1.718291,0.55441564,-0.03476303,-0.16145216,0.9784175,-0.35636634
0.85990995,-1.0314604,-1.7549143,0.5240689,-0.005221911,-0.16329259,0.98417073,-0.3301356
0.8544247,-1.0130966,-1.7845331,0.48780406,0.016823992,-0.16083571,0.97352856,-0.3153085
0.88652587,-0.9777756,-1.8212489,0.4769904,0.055816393,-0.1757475,0.9462007,-0.28265992
0.93063664,-0.937283,-1.8476295,0.43669796,0.103898205,-0.16191858,0.9161228,-0.23680258
0.9528726,-0.90702885,-1.8724437,0.41147196,0.15618125,-0.14799312,0.8779075,-0.193983
0.90646964,-0.9087044,-1.8953676,0.39447895,0.19845207,-0.09661132,0.88904005,-0.13169987
0.8612693,-0.9243644,-1.9088901,0.34381297,0.21442017,-0.023061128,0.90179217,-0.08170669
0.8163215,-0.9558929,-1.9389274,0.28767332,0.24975145,0.051396687,0.8846487,-0.031614363
0.7620292,-0.98864603,-1.9760175,0.23397319,0.27938777,0.12400397,0.8723443,0.021530371
0.663692,-1.0354087,-2.0113323,0.19819453,0.29592288,0.16032256,0.88028663,0.069165096
0.5655418,-1.0722696,-2.0185106,0.1679483,0.29177544,0.19302288,0.9006042,0.11364201
0.5086842,-1.0903649,-2.0186431,0.16543671,0.2701147,0.2033827,0.9195788,0.11953007
0.45472187,-1.1098307,-2.0094092,0.17094254,0.23524722,0.20906043,0.92943096,0.09575045
0.40320998,-1.1194794,-2.007941,0.20044771,0.20804416,0.18911336,0.93089914,0.07748531
0.32323104,-1.1338593,-1.9984778,0.259544,0.17627278,0.16609395,0.95533526,0.07125865
0.24591099,-1.1429996,-1.958447,0.29993436,0.15108052,0.16746345,0.977589,0.07359861
0.16751012,-1.1544367,-1.8946607,0.35494936,0.12116028,0.17228627,0.9913836,0.075161844
0.10210954,-1.1490133,-1.8013898,0.4280534,0.09574221,0.14608209,0.9934725,0.09190908
0.06430862,-1.1423066,-1.7115073,0.46572554,0.0589759,0.12450384,0.98122436,0.08186665
0.036502264,-1.1546125,-1.6613566,0.4685356,0.014382046,0.11908037,0.96909666,0.038277533
0.007934809,-1.1834766,-1.6112965,0.47304296,-0.041462675,0.13039893,0.96676695,-0.030332316
-0.013887219,-1.2122728,-1.559566,0.49037725,-0.10789932,0.14632934,0.971148,-0.107093945
-0.036365986,-1.2559428,-1.4977008,0.50123596,-0.20360342,0.18256207,0.981131,-0.21929637
-0.035782263,-1.2818123,-1.4191805,0.525811,-0.2990151,0.22135243,0.9802104,-0.3310494
-0.015515864,-1.3023779,-1.354327,0.56625324,-0.3948176,0.2540128,0.9706834,-0.44197112
0.056341726,-1.2874669,-1.3143772,0.5940858,-0.45343223,0.25343114,0.9403751,-0.5343331
0.15397128,-1.2639856,-1.280187,0.6564005,-0.5025853,0.2226115,0.92527455,-0.6013756
0.30721796,-1.2180197,-1.2582407,0.7011511,-0.5409404,0.17832373,0.8876166,-0.6616401
0.46505517,-1.1794829,-1.3027474,0.7296663,-0.51971614,0.15630864,0.8516167,-0.6737486
0.584001,-1.1510242,-1.3760573,0.7210572,-0.48070356,0.13810459,0.80933255,-0.6524031
0.66528946,-1.1223406,-1.441441,0.71522415,-0.41795933,0.11868485,0.7663424,-0.6029391
0.76171863,-1.0751905,-1.5037775,0.7169913,-0.33253673,0.08735679,0.72943884,-0.5349088
0.8430028,-1.02363,-1.5679799,0.7199004,-0.23522791,0.06843904,0.70509523,-0.43412578
0.91226715,-0.9650433,-1.6127741,0.75789946,-0.12561315,0.02634353,0.69565505,-0.3219985
0.9334073,-0.9204604,-1.6523983,0.71687436,-0.056812696,0.037753575,0.713519,-0.22057137
0.92962104,-0.8856587,-1.6811243,0.6790918,-0.012248442,0.045709983,0.7134999,-0.13925889
0.9390483,-0.8478478,-1.7282442,0.63511133,0.053784117,0.068639606,0.6875539,-0.062152524
0.95505345,-0.81455046,-1.770034,0.58187294,0.10865666,0.08344846,0.66132736,-0.0032978766
0.99790704,-0.77020854,-1.7992234,0.54254884,0.16505997,0.09137192,0.61839193,0.068351135
0.9792434,-0.7580789,-1.8425533,0.51695555,0.22548021,0.109048575,0.606833,0.13512988
0.9528427,-0.75378114,-1.8778603,0.48329884,0.25196788,0.11637878,0.60924315,0.19158159
0.8726074,-0.77719665,-1.9323618,0.4408649,0.27870157,0.14405726,0.6198998,0.23561983
0.72881866,-0.82297236,-1.9988842,0.37626198,0.29429603,0.17616539,0.6345073,0.30159938
0.5646816,-0.8819652,-2.0485742,0.3271433,0.28255993,0.2200604,0.67442745,0.36296636
0.45801777,-0.91359144,-2.071673,0.29520822,0.25924602,0.2630005,0.6993523,0.3903035
0.37779444,-0.93673193,-2.0809183,0.29128712,0.23573196,0.29909357,0.7109356,0.40474203
0.3131097,-0.96287954,-2.0741963,0.30144224,0.2024265,0.31777242,0.70459527,0.4164688
0.16896163,-1.0170609,-2.033503,0.33319962,0.13398224,0.36907905,0.72491175,0.40308353
0.022091672,-1.0512555,-1.9836127,0.35092184,0.074262805,0.4096668,0.722848,0.3800084
-0.11081725,-1.0977674,-1.8850973,0.42398247,0.0069075227,0.4131148,0.7287091,0.32643095
-0.17045234,-1.1100744,-1.7995633,0.47102934,-0.030165642,0.42094767,0.72721833,0.30581167
-0.18489946,-1.1059246,-1.7159503,0.5158792,-0.061719507,0.40888417,0.70366824,0.27080217
-0.2290109,-1.1350275,-1.6149853,0.57606435,-0.107111186,0.39502618,0.69154626,0.19242738
-0.26734352,-1.1691264,-1.5325124,0.5976726,-0.17513743,0.41143036,0.6998156,0.096826285
-0.28314662,-1.1802444,-1.474739,0.6252081,-0.22167882,0.43847847,0.69462985,0.01873808
-0.27609348,-1.1757513,-1.4397522,0.6624976,-0.25606665,0.45123705,0.68487895,-0.036375433
-0.2625566,-1.1732281,-1.3994575,0.7182801,-0.30854017,0.46109152,0.667314,-0.120995015
-0.18761997,-1.1490457,-1.3884759,0.7523222,-0.33954734,0.46663523,0.6438863,-0.17986
-0.070264965,-1.1341474,-1.3651947,0.83480144,-0.3961673,0.47825557,0.64281964,-0.27765688
0.14007938,-1.1048597,-1.2738416,0.94561493,-0.4807625,0.48163754,0.6664917,-0.42057776
0.38139242,-1.0495228,-1.245082,1.0256348,-0.5158452,0.48302,0.64765966,-0.5208613
0.5023655,-1.0063574,-1.2714796,1.0355464,-0.5029528,0.45877084,0.5954664,-0.55110645
0.653823,-0.96245474,-1.341196,0.9555065,-0.43864182,0.4435936,0.5081094,-0.538063
0.84163004,-0.9146555,-1.433442,0.9046586,-0.28582472,0.44971466,0.38315308,-0.5118102
0.9706567,-0.8575594,-1.4992863,0.9277713,-0.17772649,0.41522714,0.35696787,-0.5008813
1.0376322,-0.8362718,-1.5630885,0.8820423,-0.08488259,0.44566432,0.36008465,-0.4265403
1.0612957,-0.8278458,-1.6369281,0.83351004,0.0045222044,0.49061978,0.32004708,-0.36406815
