z1,z2,z3,z4,z5,z6,z7,z8
0.04959666,-0.37749386,0.1786971,-0.009348251,-0.010808252,0.20789227,1.5235491,0.08951281
0.08825237,-0.3410261,0.17774169,-0.012014169,-0.027618505,0.21052003,1.53678,0.054052565
0.14432596,-0.30107078,0.1783671,-0.00920843,-0.026468292,0.21270035,1.5521758,0.032566313
0.21085617,-0.25095606,0.18225227,-0.0040105283,-0.015072018,0.20733333,1.5561987,0.016857069
0.26755273,-0.22238564,0.17974935,-0.015734205,-0.0013764948,0.21032286,1.5664405,0.01319113
0.30620456,-0.2036035,0.16893084,-0.032964125,0.022317242,0.21065481,1.5797361,0.024275344
0.34205562,-0.18765739,0.15021785,-0.049128678,0.04761117,0.21526688,1.5849175,0.035716865
0.37901908,-0.17602971,0.12305964,-0.06802927,0.07285879,0.22090356,1.5859898,0.049305696
0.40063882,-0.16913494,0.089866646,-0.08288125,0.10090892,0.22677408,1.5969259,0.076379344
0.4222157,-0.16155136,0.058277532,-0.09391829,0.128741,0.23939049,1.6020391,0.10391271
0.4399315,-0.15369254,0.023899619,-0.11364585,0.17089355,0.2542418,1.6062851,0.14284769
0.4578973,-0.1379016,0.0031947335,-0.12754722,0.20961617,0.25734174,1.5936396,0.17732793
0.48153985,-0.1293551,-0.008259522,-0.1502728,0.24606,0.26103,1.5713959,0.2102093
0.48979598,-0.12044657,-0.027885325,-0.17117509,0.2799192,0.27096686,1.5589747,0.24137788
0.49424392,-0.112140186,-0.041005734,-0.19376959,0.30460644,0.28944176,1.5370189,0.2572018
0.49443763,-0.11214156,-0.055874016,-0.21693003,0.31855175,0.31210175,1.5172979,0.27440295
0.47341472,-0.113821976,-0.08083498,-0.24150182,0.31300718,0.32889745,1.5041907,0.28040543
0.45858622,-0.12094473,-0.112322554,-0.28010383,0.31831324,0.35306236,1.4935671,0.28318942
0.43677336,-0.12323334,-0.13055831,-0.3340565,0.31530005,0.37613496,1.4465828,0.26436636
0.42059147,-0.14329362,-0.14073804,-0.37519932,0.31865624,0.39594758,1.4375212,0.27161416
0.3758533,-0.16190815,-0.1525024,-0.4037223,0.30862904,0.40776217,1.4280246,0.27476594
