z1,z2,z3,z4,z5,z6,z7,z8
0.5804101,-0.86536705,-1.5070109,-0.45916605,-0.2959792,0.034478385,1.2711909,-0.94918007
0.57981837,-0.86393076,-1.5215966,-0.45858422,-0.29316694,0.025502637,1.2772455,-0.9661823
0.58504575,-0.8565611,-1.5341005,-0.45653373,-0.28290308,0.01907436,1.2796166,-0.9579868
0.5932395,-0.847423,-1.5407906,-0.4584765,-0.28078768,0.011333092,1.2815472,-0.9545043
0.60841775,-0.836538,-1.5416951,-0.45724156,-0.2816239,0.0010683071,1.2773868,-0.95518947
0.6207589,-0.8292517,-1.5419095,-0.4536326,-0.27616113,-0.00982059,1.2717932,-0.95496047
0.63116467,-0.8230702,-1.5417333,-0.45078406,-0.268852,-0.015429569,1.2670149,-0.9525586
0.6364633,-0.81994104,-1.5423545,-0.44685444,-0.25765002,-0.018195601,1.2642512,-0.95047224
0.6407354,-0.8153094,-1.5408286,-0.44462326,-0.24558684,-0.017782604,1.2592639,-0.9486135
0.63835925,-0.81820494,-1.5372719,-0.45137137,-0.23497081,-0.010407744,1.2586081,-0.94256043
0.63332796,-0.82040066,-1.534593,-0.456091,-0.2245987,-0.00055081584,1.2617689,-0.94063675
0.6296594,-0.8222385,-1.5311806,-0.4615707,-0.21621183,0.008467941,1.2664604,-0.94197136
0.6262323,-0.82426333,-1.528575,-0.46644554,-0.21250042,0.018083213,1.2738805,-0.94862175
0.6217889,-0.82807523,-1.5263177,-0.47091433,-0.21244794,0.02674972,1.2830138,-0.9590115
0.6130418,-0.8336252,-1.5237768,-0.47427872,-0.21215275,0.034761637,1.2910986,-0.9747345
0.59950763,-0.84481424,-1.5226725,-0.47815862,-0.2153995,0.045621328,1.300666,-0.9918989
0.59048027,-0.8528548,-1.5205728,-0.48092493,-0.21975034,0.053090237,1.307337,-1.0082494
0.58241886,-0.86047393,-1.51695,-0.48410803,-0.22446543,0.06017276,1.3132471,-1.0262772
0.5745955,-0.8676533,-1.515953,-0.4849913,-0.2281304,0.06579152,1.3193206,-1.0442506
0.5677364,-0.8735999,-1.5150466,-0.48636568,-0.23125237,0.070966646,1.3256679,-1.0598838
0.5620568,-0.8790999,-1.5131959,-0.48908433,-0.23421502,0.07502971,1.3314041,-1.0739655
0.5573313,-0.88438654,-1.5111005,-0.49171826,-0.23759958,0.07826573,1.3359352,-1.0881109
0.55435747,-0.8887058,-1.5076591,-0.49441862,-0.2409426,0.07901198,1.3369367,-1.1026568
0.55281436,-0.89332867,-1.5031148,-0.49697325,-0.24339288,0.08025844,1.3366667,-1.115652
0.5533643,-0.8975557,-1.4944385,-0.5009099,-0.24659455,0.08053665,1.33256,-1.1293867
0.5540722,-0.9006637,-1.4840358,-0.5029459,-0.25050855,0.08009987,1.3239913,-1.1469609
0.55737406,-0.90318245,-1.4784675,-0.5028959,-0.25634867,0.0821658,1.320052,-1.1564867
0.56328833,-0.90230644,-1.4743327,-0.504538,-0.2591638,0.08040245,1.3171848,-1.1611737
0.57199097,-0.8993834,-1.4726361,-0.5064032,-0.2615942,0.07650572,1.3147384,-1.1588563
0.58017135,-0.8959376,-1.4725058,-0.5077441,-0.2653574,0.072791114,1.3147339,-1.1534371
0.58771735,-0.89389396,-1.4741712,-0.5120745,-0.26746467,0.070543274,1.3175637,-1.1441561
0.5898392,-0.89926136,-1.4757898,-0.5201737,-0.26813567,0.07423099,1.3253087,-1.1335906
0.58591413,-0.9034852,-1.475335,-0.5230982,-0.2688343,0.077336095,1.3310033,-1.1312308
0.58211815,-0.90636563,-1.4751875,-0.52361125,-0.27049372,0.07960711,1.3319165,-1.1279434
0.5736877,-0.91513383,-1.4679927,-0.52996385,-0.2724752,0.08462831,1.3307588,-1.1254249
0.56330436,-0.935276,-1.4505852,-0.5482873,-0.2739504,0.09346421,1.323135,-1.1175231
0.55857956,-0.9622069,-1.4179633,-0.57424307,-0.28405517,0.10062982,1.3043194,-1.1210034
0.5595246,-0.9897559,-1.3864235,-0.5941691,-0.30438256,0.10506642,1.2869791,-1.1367201
0.5606211,-1.0176511,-1.3593582,-0.6151305,-0.31846154,0.108771294,1.2717845,-1.150434
0.560484,-1.0403253,-1.3402181,-0.6274297,-0.33357695,0.11338301,1.2616386,-1.166058
0.5646377,-1.0563983,-1.3259895,-0.63724726,-0.34887615,0.11362745,1.2537142,-1.1764046
0.56861144,-1.0696971,-1.3149462,-0.6464501,-0.36061734,0.11364507,1.2477163,-1.1854867
0.5735167,-1.0794985,-1.3076675,-0.65288794,-0.3725891,0.112750806,1.243508,-1.193055
0.5782643,-1.0868275,-1.3014715,-0.6588534,-0.38230932,0.11137137,1.2404065,-1.1983423
0.58238846,-1.0913866,-1.2981306,-0.6613202,-0.39100403,0.109104834,1.2373351,-1.2043462
0.5860126,-1.0944048,-1.2958444,-0.66365796,-0.39754185,0.107193016,1.2356209,-1.2078859
0.58994824,-1.0965426,-1.2940625,-0.6656406,-0.4028121,0.10553875,1.2342895,-1.2093711
0.5929579,-1.1018958,-1.2900555,-0.6707391,-0.4066587,0.107513204,1.2333355,-1.2068901
0.5964608,-1.1054486,-1.286062,-0.6737471,-0.41159457,0.1086107,1.2324077,-1.2068691
0.6005406,-1.1062261,-1.283519,-0.6743124,-0.417076,0.10800001,1.2328883,-1.2084345
0.60500526,-1.1052833,-1.2824491,-0.6742954,-0.42075074,0.106453896,1.233554,-1.209222
0.6099319,-1.1031907,-1.2819697,-0.67417544,-0.4229952,0.104093365,1.2338606,-1.2090868
0.6148283,-1.0969981,-1.2842302,-0.6703902,-0.425418,0.09929283,1.231346,-1.2148064
0.61888367,-1.0944135,-1.2847519,-0.6701991,-0.42708334,0.096720755,1.231782,-1.2153417
0.62318414,-1.0906312,-1.2866386,-0.6700246,-0.42774612,0.09293323,1.229665,-1.2165933
0.6265582,-1.0896626,-1.2873144,-0.67100626,-0.4317076,0.08981776,1.2287037,-1.215906
0.63088506,-1.089125,-1.2876315,-0.6738271,-0.43457076,0.08674235,1.2265534,-1.2129387
0.6348609,-1.0891713,-1.2874775,-0.67582893,-0.4380851,0.084510945,1.2251439,-1.210878
0.63771504,-1.088933,-1.2868432,-0.6775861,-0.44171867,0.08167401,1.2243733,-1.2085034
0.63985324,-1.087554,-1.2870038,-0.67841136,-0.4444205,0.078121416,1.2233688,-1.2070248
0.6440562,-1.0874422,-1.2857825,-0.6826206,-0.44508824,0.074918665,1.2222061,-1.1999379
0.64640677,-1.0883713,-1.2847283,-0.6841514,-0.44749865,0.07236223,1.220974,-1.1990054
0.6476131,-1.0894538,-1.2837596,-0.68588483,-0.4494523,0.07093285,1.2199872,-1.1973448
0.64865714,-1.0894822,-1.2822523,-0.68678564,-0.4512584,0.069328755,1.2193209,-1.1970223
0.6498213,-1.0894,-1.2789806,-0.68710643,-0.45555976,0.06666181,1.2162296,-1.1972448
0.64909863,-1.0893317,-1.2799355,-0.686459,-0.4564084,0.06838584,1.2162987,-1.200314
0.6488502,-1.0913372,-1.2783957,-0.6879164,-0.45939943,0.07069733,1.2166854,-1.1970804
0.64793533,-1.0932252,-1.2745032,-0.6904721,-0.4602919,0.07301507,1.2171478,-1.1976175
0.6472902,-1.0945424,-1.2708219,-0.69080263,-0.46370688,0.073511325,1.2161317,-1.1973733
0.64624,-1.0949878,-1.2676141,-0.6907333,-0.46682772,0.07318906,1.2159247,-1.1989733
0.6460232,-1.095121,-1.2650906,-0.6909452,-0.47002032,0.072802074,1.2162867,-1.1993128
0.64682835,-1.0948992,-1.262448,-0.691151,-0.47369954,0.07119907,1.215606,-1.1999706
0.6492746,-1.09295,-1.2614582,-0.690503,-0.4768302,0.06799706,1.2145084,-1.200229
0.6517717,-1.091022,-1.2609808,-0.6907855,-0.47786596,0.06523274,1.2137315,-1.1995449
0.65445405,-1.0858492,-1.2638284,-0.68771106,-0.4795052,0.061347097,1.2143173,-1.2019856
0.6570286,-1.0810319,-1.2665161,-0.6859366,-0.47929206,0.057752945,1.2160028,-1.2014219
0.6589715,-1.0780591,-1.2670896,-0.68570226,-0.47787222,0.05532691,1.2176768,-1.1993276
0.6594621,-1.0760138,-1.2670817,-0.68512106,-0.47789165,0.05377305,1.2193279,-1.1981499
0.6596478,-1.0744343,-1.2671785,-0.6847299,-0.4776949,0.05234139,1.2202216,-1.1969793
0.659701,-1.0745589,-1.2657954,-0.6856346,-0.4782603,0.05173447,1.2204638,-1.1959091
0.66011035,-1.0754801,-1.2644227,-0.6865367,-0.4787599,0.05172231,1.2209594,-1.1957426
0.6610519,-1.0777111,-1.2631145,-0.6887325,-0.4800826,0.05197038,1.2216864,-1.1932129
