z1,z2,z3,z4,z5,z6,z7,z8
0.61189115,-0.6347179,-0.9180271,-0.73847675,-0.82447803,-0.59653413,0.91272753,-1.2321144
0.5988558,-0.6270778,-0.9423922,-0.7223027,-0.8090366,-0.5960493,0.9082941,-1.214816
0.58312654,-0.67623353,-0.9844681,-0.71021265,-0.8288816,-0.57580286,0.95953864,-1.1252114
0.5676105,-0.64630353,-0.9812647,-0.6999654,-0.8458184,-0.5873467,0.92300344,-1.1556292
0.56970596,-0.6479443,-0.9919463,-0.68703985,-0.86559546,-0.5843699,0.91693646,-1.1577367
0.574029,-0.65109795,-1.0023022,-0.67087007,-0.8818357,-0.5739733,0.9320444,-1.1476276
0.5760086,-0.6434781,-1.0111158,-0.64736027,-0.8939792,-0.5661223,0.9454182,-1.1384774
0.5733657,-0.6346121,-1.0186213,-0.62280387,-0.907146,-0.5617192,0.95864433,-1.1221905
0.5632912,-0.6295558,-1.0227444,-0.6061038,-0.91542196,-0.5529273,0.9736171,-1.0970404
0.57129496,-0.62126744,-1.0382931,-0.59457314,-0.90482223,-0.5419692,0.9881368,-1.0246177
0.5701366,-0.5961539,-1.0445219,-0.6076142,-0.88490903,-0.5247517,0.9967298,-0.95281994
0.5766114,-0.57550234,-1.0418576,-0.6202372,-0.8776392,-0.48626447,1.0010389,-0.88283885
0.5837667,-0.5550726,-1.0364127,-0.64254016,-0.87309504,-0.4342458,1.0101107,-0.799556
0.58857423,-0.5404788,-1.0395906,-0.6660499,-0.8715919,-0.3844156,1.021444,-0.7072826
0.584299,-0.5295341,-1.0536816,-0.681581,-0.86780274,-0.35065997,1.0333173,-0.61918557
0.57224166,-0.52761406,-1.0792587,-0.6856459,-0.8591919,-0.32563198,1.054116,-0.53058136
0.5682722,-0.53658164,-1.1214797,-0.66317034,-0.8458847,-0.29516938,1.0882748,-0.43783826
0.57079387,-0.54950774,-1.1719818,-0.6195346,-0.82920897,-0.2567172,1.1376457,-0.33499277
0.5746747,-0.55164266,-1.2239262,-0.5524322,-0.81249607,-0.19439022,1.2095988,-0.19659238
0.5756571,-0.53643674,-1.2662861,-0.49435624,-0.78090286,-0.12283289,1.2721776,-0.029197
0.5555776,-0.50911987,-1.2870055,-0.47076288,-0.74791,-0.079570636,1.2915708,0.07129851
0.5391084,-0.4960065,-1.2906153,-0.4689655,-0.73986423,-0.05921021,1.297207,0.09317681
0.5364536,-0.49802506,-1.2939487,-0.45524764,-0.7428851,-0.05463992,1.3061645,0.0977492
0.53874344,-0.492452,-1.2980562,-0.42808643,-0.74478805,-0.04737027,1.3173819,0.11088717
0.53382915,-0.47322282,-1.2842687,-0.41593412,-0.74456537,-0.04115764,1.3172206,0.1056817
