z1,z2,z3,z4,z5,z6,z7,z8
-0.1494237,-0.6641802,0.73076904,-0.602639,-0.7103827,-1.4965796,0.08596679,-0.2262721
-0.22235613,-0.7195848,0.7085323,-0.63637507,-0.70905066,-1.5047674,0.1158741,-0.23711768
-0.2867536,-0.75211746,0.69503504,-0.6529916,-0.713151,-1.5130566,0.14517355,-0.24848674
-0.36229706,-0.7829654,0.65889144,-0.66625345,-0.74489546,-1.4998245,0.17579211,-0.27304447
-0.43233275,-0.8055143,0.62155646,-0.65654194,-0.79022944,-1.4678526,0.20859647,-0.277024
-0.4619556,-0.8015579,0.56032133,-0.6380411,-0.823375,-1.432432,0.2465168,-0.2810263
-0.479046,-0.7666492,0.4384761,-0.63855386,-0.8627653,-1.3965079,0.30608445,-0.32212853
-0.49871182,-0.6975398,0.30485502,-0.6121031,-0.93852293,-1.355293,0.36659673,-0.39764744
-0.48950636,-0.63336486,0.25843245,-0.59816635,-1.0356494,-1.307847,0.40950978,-0.47134915
-0.48597336,-0.5939362,0.26444292,-0.6044413,-1.1523438,-1.2421491,0.44628787,-0.5134864
-0.47338164,-0.5743208,0.27531,-0.6197646,-1.2238894,-1.1698883,0.48415625,-0.48505947
-0.43362898,-0.55583596,0.3028665,-0.5511141,-1.258191,-1.1290604,0.48297763,-0.46063277
-0.38285923,-0.5307056,0.3253892,-0.53864074,-1.2914059,-1.1042323,0.49749634,-0.45639914
-0.30884153,-0.48706552,0.35134137,-0.4952712,-1.3259369,-1.0918499,0.49971634,-0.4540227
-0.20220838,-0.4368883,0.39944863,-0.46007466,-1.3693312,-1.1093463,0.47387618,-0.4793047
-0.07971117,-0.37175673,0.447597,-0.4320948,-1.4089477,-1.1431694,0.4238848,-0.526038
0.059127994,-0.3066481,0.45664644,-0.4205871,-1.4349087,-1.2130336,0.35396764,-0.5690284
0.19899788,-0.25474465,0.43854958,-0.43896073,-1.4255321,-1.3254108,0.26912245,-0.5972343
0.31225044,-0.1835976,0.38177934,-0.46837294,-1.3895453,-1.4346765,0.19318439,-0.59195435
0.41872466,-0.100301735,0.32173154,-0.47363627,-1.3341818,-1.5332906,0.123172775,-0.5292729
0.4933021,-0.034974128,0.27126783,-0.48699,-1.2806259,-1.5930825,0.087646484,-0.43792388
0.5146901,-0.013085952,0.23752084,-0.504831,-1.227038,-1.6179168,0.07409669,-0.3709085
0.51901966,0.0024716458,0.19907887,-0.53118896,-1.1760328,-1.6247646,0.063635565,-0.3212398
0.5134755,0.033464417,0.14819077,-0.5749864,-1.1258502,-1.6252159,0.04352271,-0.29365215
0.4845028,0.05527209,0.05604814,-0.6692474,-1.0652277,-1.6391757,0.042440835,-0.21017544
0.3933288,0.024088304,-0.0039682025,-0.7595282,-1.0070521,-1.6342181,0.054125212,-0.17326118
0.29280567,-0.011059569,-0.043209895,-0.86813474,-0.9647715,-1.6134574,0.076118626,-0.15885721
0.19236529,-0.043956835,-0.08060101,-0.9635359,-0.92679036,-1.5637157,0.11096733,-0.15383267
0.10954935,-0.045769062,-0.12060416,-1.0500638,-0.89182115,-1.5375829,0.13536873,-0.16808099
0.004444018,-0.058899157,-0.15881804,-1.1194948,-0.8681797,-1.4788053,0.1553769,-0.21094589
-0.12814705,-0.07573016,-0.19065432,-1.1376859,-0.86411214,-1.4278526,0.18312106,-0.26739827
-0.26491642,-0.12245401,-0.16534653,-1.0918137,-0.88868,-1.349385,0.22692409,-0.36168426
-0.34220237,-0.14479673,-0.17313892,-1.0224928,-0.9219309,-1.3233281,0.2813532,-0.38054594
-0.42264402,-0.16482785,-0.20799552,-0.96296734,-0.9348619,-1.2580576,0.32112297,-0.4266716
-0.51046073,-0.16715193,-0.2525461,-0.94326407,-0.9407408,-1.185103,0.39754707,-0.45340598
