z1,z2,z3,z4,z5,z6,z7,z8
-0.46318978,-0.29583722,0.2871912,-0.41362688,0.041236337,-0.7793356,1.2874291,-0.34249774
-0.47969723,-0.36216193,0.37162378,-0.47523203,0.0024319887,-0.7503651,1.1227872,-0.476944
-0.5092526,-0.3778622,0.40239963,-0.50167024,-0.040418036,-0.72597253,1.0900241,-0.5932809
-0.48205358,-0.33177826,0.4221216,-0.48548767,-0.11620055,-0.72188556,1.1429127,-0.7015516
-0.44853288,-0.29919836,0.48187542,-0.4954322,-0.18699414,-0.71917117,1.14945,-0.83080584
-0.34180874,-0.27417552,0.54306036,-0.432532,-0.2520493,-0.7511137,1.1644777,-0.8659188
-0.23819219,-0.24479452,0.59648967,-0.379621,-0.31081584,-0.787518,1.1856624,-0.895238
-0.12558809,-0.21379408,0.63094443,-0.33027205,-0.33580565,-0.82035893,1.2085406,-0.8735546
-0.05135843,-0.1939354,0.6593295,-0.31072074,-0.34084988,-0.84961027,1.2049284,-0.8658597
0.047134556,-0.15128261,0.67999065,-0.27583048,-0.33936918,-0.9077741,1.207199,-0.8783019
0.16140668,-0.093563065,0.67925566,-0.27744606,-0.3268644,-0.9863904,1.1899682,-0.9283652
0.26343256,-0.031875674,0.67272186,-0.2936506,-0.31149107,-1.0568688,1.1590971,-0.94871247
0.3225456,0.0057043033,0.6465668,-0.33185047,-0.2842269,-1.0850353,1.1066891,-0.931944
0.35970497,0.040698636,0.63227934,-0.36815512,-0.2346941,-1.0907261,1.0679715,-0.89709103
0.4003334,0.068196915,0.605689,-0.42102247,-0.18697563,-1.1094708,1.0454322,-0.862288
0.42662567,0.09218425,0.5730694,-0.47310412,-0.13184556,-1.125857,1.0383675,-0.8089611
0.43653017,0.10050066,0.5370961,-0.5232114,-0.08053836,-1.1429732,1.0276164,-0.74942786
0.4351774,0.09761948,0.49824163,-0.58476496,-0.009769194,-1.1599264,1.0051633,-0.6990723
0.4331659,0.090495795,0.45133945,-0.6687694,0.05903478,-1.1767517,0.9640299,-0.6799081
0.40635228,0.07684491,0.40541726,-0.77394056,0.12608404,-1.195895,0.9196252,-0.67042327
0.36379611,0.06929315,0.35394776,-0.8535152,0.17470253,-1.1956048,0.9075493,-0.6530403
0.28797543,0.047464915,0.2988787,-0.93402535,0.22520974,-1.1783227,0.89220923,-0.6272402
0.20523736,0.022356141,0.2490809,-0.9865947,0.24572684,-1.1620128,0.8956389,-0.6237934
0.12171328,0.0007324545,0.18798149,-1.0243489,0.2615634,-1.1492016,0.92657363,-0.630488
-0.0080631,-0.014728295,0.13257788,-1.0612344,0.262439,-1.1158178,0.9680401,-0.6419786
-0.14628054,-0.05494932,0.10104376,-1.0777426,0.2322483,-1.0463563,1.0055474,-0.67594206
-0.2502581,-0.09676385,0.07380339,-1.065917,0.16764162,-1.0100979,1.0466108,-0.72744614
-0.36650038,-0.12987262,0.06726462,-1.0434692,0.097856104,-0.9661463,1.0801535,-0.79443055
-0.44184935,-0.14865807,0.08561482,-0.9979868,0.032862015,-0.9278054,1.0815502,-0.8622116
-0.50011677,-0.168374,0.121557005,-0.927705,-0.040839113,-0.89458543,1.1068376,-0.92062193
-0.5309766,-0.1764552,0.1473613,-0.8422999,-0.1081263,-0.86996025,1.1406482,-0.9468686
-0.5370651,-0.18054262,0.17826718,-0.76814145,-0.15212314,-0.84698844,1.1575986,-0.963654
-0.5611808,-0.18866524,0.22762108,-0.705596,-0.2008358,-0.8062462,1.1975478,-0.98738515
-0.5248842,-0.17534667,0.29807514,-0.6366176,-0.24756768,-0.7652045,1.2036225,-1.0074897
-0.4651084,-0.1586419,0.36081317,-0.5606556,-0.31214672,-0.7583854,1.2044904,-1.0123968
-0.41475546,-0.13671461,0.4243321,-0.48301315,-0.37278464,-0.74872535,1.2027556,-1.0216179
-0.32371217,-0.11168076,0.4929017,-0.41671064,-0.41664663,-0.74895173,1.1794949,-1.0363585
-0.23082964,-0.08422196,0.56490237,-0.36440957,-0.44860932,-0.75670725,1.15785,-1.0556042
-0.13677086,-0.059986286,0.6192478,-0.32509464,-0.46688774,-0.78086835,1.1373596,-1.0639743
-0.031085849,-0.022254663,0.65470666,-0.30086303,-0.48158893,-0.83571565,1.0929456,-1.0955426
0.09218695,0.025359351,0.6688137,-0.31364182,-0.47620556,-0.904735,1.031309,-1.1224177
0.19145963,0.08675124,0.6660355,-0.3425522,-0.45829716,-0.9640452,0.98707426,-1.149041
0.28797585,0.16411996,0.6374757,-0.37680772,-0.41977438,-1.0278012,0.9508515,-1.1865473
0.34431976,0.20604956,0.6233632,-0.41809857,-0.38432038,-1.0663939,0.91707647,-1.1592163
0.3746792,0.23823214,0.6081989,-0.46853065,-0.32092327,-1.0919751,0.88176256,-1.1195599
0.4120587,0.26650515,0.5764725,-0.5092665,-0.25736704,-1.1225779,0.88036776,-1.0590926
0.427396,0.26091677,0.5204773,-0.5740985,-0.18317318,-1.1418434,0.85185283,-0.99212027
0.43323934,0.25378487,0.46505994,-0.6546322,-0.101021186,-1.164722,0.8125291,-0.94562393
0.41902405,0.24081078,0.41833505,-0.73066455,-0.024212383,-1.166114,0.78052723,-0.8916563
0.3975824,0.23279887,0.36881045,-0.80962235,0.051443204,-1.1604863,0.77353,-0.82112616
0.36710012,0.21653077,0.32602882,-0.892259,0.11236426,-1.162078,0.74769956,-0.7716019
0.29695866,0.1691519,0.28282517,-0.98212904,0.16224104,-1.1449559,0.71198756,-0.73032856
0.22098851,0.15178996,0.21861048,-1.0542665,0.20486994,-1.1324738,0.7217167,-0.70393324
0.12362999,0.13425738,0.15034345,-1.1172068,0.23199823,-1.098722,0.730915,-0.7075736
0.0056224465,0.11443425,0.090957016,-1.1758566,0.24169734,-1.0561372,0.7686013,-0.71432686
-0.12182213,0.08301865,0.024462212,-1.2113183,0.21068949,-1.011055,0.82413054,-0.7371874
-0.24053864,0.04992074,-0.025930144,-1.2161924,0.15489554,-0.97518593,0.87363017,-0.79092795
-0.36414546,0.016043749,-0.037820507,-1.1989332,0.092997715,-0.93767154,0.9098969,-0.86279297
-0.46314794,-0.010726107,-0.035136,-1.1502672,0.032341268,-0.9047402,0.9418029,-0.92217714
-0.5456516,-0.033008907,-0.0026302626,-1.0675392,-0.023697674,-0.8443888,0.9827903,-0.972844
-0.56687367,-0.05196775,0.047660716,-0.972986,-0.088742375,-0.79542,1.0107534,-1.0031896
-0.6076827,-0.0669071,0.11231629,-0.86810464,-0.16547506,-0.7453217,1.0624024,-1.0438734
-0.6374856,-0.08235357,0.19202869,-0.7460707,-0.24764898,-0.684987,1.158394,-1.0735674
-0.60253054,-0.07263474,0.26246864,-0.63851523,-0.3199171,-0.6425869,1.2026283,-1.0815965
-0.5368148,-0.041805334,0.32876107,-0.5472971,-0.38359654,-0.6150742,1.2158512,-1.0764923
-0.43515068,-0.0150042735,0.4099411,-0.49124584,-0.41637635,-0.5887686,1.183087,-1.0792488
-0.32652515,0.01439953,0.49248347,-0.42795232,-0.4553785,-0.5963611,1.1594988,-1.0874594
-0.20729794,0.038535148,0.55647755,-0.37860098,-0.48218045,-0.6248744,1.137967,-1.0879095
-0.09014252,0.07627751,0.6069386,-0.33596864,-0.50056374,-0.67050284,1.0783849,-1.1260711
0.041498873,0.127372,0.6370024,-0.35225058,-0.49506906,-0.71337104,0.99120474,-1.1507024
0.1790085,0.1550155,0.65969586,-0.39602312,-0.4743521,-0.7687897,0.91351235,-1.1431506
0.24768257,0.19674578,0.664132,-0.4456184,-0.44618788,-0.8313749,0.879033,-1.1616927
0.32037807,0.24921346,0.64743435,-0.49622387,-0.39652336,-0.88951886,0.8488339,-1.1789224
0.39169675,0.29424533,0.6197807,-0.55039805,-0.32890177,-0.93950355,0.7998744,-1.1662518
0.4465003,0.3410383,0.56678766,-0.602786,-0.23983845,-0.99433535,0.76950395,-1.11262
0.47898197,0.3560155,0.50020707,-0.6675195,-0.14520465,-1.0349619,0.7304127,-1.0384135
0.49984223,0.37220374,0.4400077,-0.7357467,-0.04126834,-1.0593079,0.69986594,-0.955482
0.4993047,0.38013798,0.38921508,-0.80528283,0.05700037,-1.0614088,0.66665053,-0.87676054
0.47789246,0.39433733,0.3179438,-0.9055087,0.16163388,-1.0551425,0.63046634,-0.76578784
0.42378962,0.37528482,0.26293218,-0.9830758,0.24558954,-1.0302292,0.59980875,-0.68786347
0.36076117,0.34904006,0.21191481,-1.0590594,0.31999183,-1.0045825,0.568496,-0.61971694
0.26863256,0.2974984,0.16174994,-1.1299124,0.36635256,-0.9751529,0.5495265,-0.5670235
