z1,z2,z3,z4,z5,z6,z7,z8
0.018437296,-0.004914752,1.0268959,-0.23352356,-0.43615285,-1.4135934,0.82868487,-0.37459362
0.07958107,0.046805277,0.97286534,-0.21574217,-0.38987613,-1.4769194,0.81008124,-0.38928464
0.11523445,0.08466079,0.93123883,-0.23732705,-0.34915772,-1.502919,0.79656476,-0.37450168
0.1400983,0.111963704,0.8942478,-0.255419,-0.30848676,-1.5137416,0.7902803,-0.34461227
0.12883042,0.12266345,0.8529997,-0.29436693,-0.27275798,-1.52956,0.79430664,-0.320469
0.096676104,0.11761137,0.83417845,-0.35646635,-0.2323119,-1.5254008,0.79096556,-0.27702987
0.04349163,0.10132361,0.80971426,-0.42334265,-0.20098835,-1.5187184,0.791577,-0.23433492
-0.012710497,0.08808084,0.7810265,-0.47772548,-0.17361356,-1.5105023,0.79268587,-0.20831195
-0.058763117,0.084274165,0.7473112,-0.5027602,-0.15598163,-1.5065311,0.7999042,-0.20725171
-0.09885803,0.09632676,0.69674146,-0.5042464,-0.124751076,-1.5235578,0.8258121,-0.20093377
-0.15364431,0.09942201,0.6310143,-0.50647235,-0.10624498,-1.5393875,0.84636784,-0.21640943
-0.22103469,0.07829381,0.57562107,-0.51483095,-0.094041616,-1.5244374,0.86375964,-0.21849386
-0.29721546,0.051260106,0.5451176,-0.52824634,-0.08456059,-1.4987268,0.882626,-0.20416029
-0.36195725,0.011608545,0.5330026,-0.5497961,-0.08628051,-1.4639484,0.8849136,-0.18907799
-0.4254989,-0.027454123,0.52712744,-0.55489653,-0.10187796,-1.4330636,0.89950275,-0.19063929
-0.47718596,-0.062041625,0.532065,-0.54095066,-0.1420526,-1.4089061,0.9149257,-0.21777941
-0.51535636,-0.09264697,0.5287343,-0.5182222,-0.18728939,-1.401656,0.92603433,-0.26095313
-0.5569853,-0.1211336,0.5344856,-0.492904,-0.23541683,-1.3755538,0.94315076,-0.29954454
-0.59804296,-0.14322367,0.5533295,-0.44894016,-0.28519198,-1.3362302,0.95492107,-0.33616257
-0.626949,-0.16548887,0.5875147,-0.4018618,-0.33306083,-1.2850164,0.9638879,-0.35252103
-0.6170873,-0.17294237,0.63262737,-0.35220084,-0.37811023,-1.2524399,0.95677143,-0.38155264
-0.600881,-0.16954792,0.6917304,-0.3460776,-0.41702953,-1.2210165,0.94614977,-0.38474247
-0.59539,-0.16161972,0.7342388,-0.32983992,-0.45579448,-1.202097,0.9553244,-0.39443767
-0.58293396,-0.15495723,0.77695316,-0.30464005,-0.49224165,-1.1800884,0.9591059,-0.4050174
-0.5624855,-0.14829266,0.8183557,-0.26580513,-0.5274899,-1.1679343,0.951694,-0.43449992
-0.52794605,-0.14119875,0.8538686,-0.23098612,-0.55404556,-1.1568668,0.94009054,-0.45934004
-0.47992754,-0.13149342,0.8958279,-0.19676138,-0.5718157,-1.1468245,0.9209739,-0.47844473
-0.42052823,-0.120386936,0.9388259,-0.17657478,-0.57713354,-1.1459061,0.89131993,-0.48625064
-0.33326125,-0.10280776,0.9870332,-0.16321862,-0.5826514,-1.1776639,0.8442176,-0.50361323
-0.260796,-0.07986605,1.0251901,-0.15614283,-0.5997195,-1.2139359,0.82813674,-0.5247441
-0.1819791,-0.045546036,1.052647,-0.15242524,-0.60688794,-1.2455945,0.8194895,-0.5349303
-0.0990887,-0.007902132,1.0683339,-0.17088604,-0.59567285,-1.288747,0.79818857,-0.5411755
-0.020921022,0.042375952,1.0605228,-0.19796595,-0.5688348,-1.3339751,0.7788756,-0.5562184
0.04827114,0.08869197,1.0366715,-0.21731642,-0.5325798,-1.3749152,0.77647436,-0.54793626
