z1,z2,z3,z4,z5,z6,z7,z8
-0.017680027,0.035896085,1.1511081,-0.49755144,0.41598108,-1.1615776,1.0495564,-0.48551103
-0.02131407,0.025653591,1.1304604,-0.53902924,0.42805254,-1.1507528,1.0372605,-0.46682155
-0.06417002,-0.0008457033,1.09538,-0.62131166,0.43567505,-1.1144909,1.0261542,-0.4751265
-0.07022105,0.00048390497,1.0682837,-0.64296967,0.41202226,-1.1091595,1.0417942,-0.47590178
-0.08382644,0.006372542,1.0410252,-0.6565715,0.39900512,-1.1086714,1.0772281,-0.49296406
-0.13555044,0.0016333191,1.0042806,-0.7034665,0.39400387,-1.0946361,1.1140867,-0.5112333
-0.2061628,0.00043816585,0.9708014,-0.7632622,0.37389845,-1.072119,1.163057,-0.5514044
-0.28467226,-0.008670796,0.9399817,-0.8111082,0.34972662,-1.044327,1.2090116,-0.5829715
-0.36065918,-0.020638414,0.91035336,-0.8287021,0.32776666,-1.0199655,1.2579882,-0.59798783
-0.42335993,-0.033927657,0.8857149,-0.8165992,0.30361602,-0.99985045,1.3067021,-0.61633104
-0.46487057,-0.047018223,0.88240457,-0.7912304,0.27450818,-0.97855014,1.3307699,-0.6430532
-0.4905498,-0.05284352,0.88815767,-0.7629982,0.2375055,-0.95618266,1.3470364,-0.6854821
-0.5163948,-0.060673602,0.8975425,-0.74023473,0.19872971,-0.93629086,1.3529449,-0.7282798
-0.545917,-0.06750292,0.90695465,-0.71701324,0.15951422,-0.9166196,1.3621767,-0.77124757
-0.5742611,-0.076465435,0.9362958,-0.6883524,0.11651985,-0.88938886,1.3598362,-0.8098914
-0.5979382,-0.08396795,0.9575457,-0.6459835,0.0719645,-0.8725454,1.3671907,-0.84248984
-0.606884,-0.08420632,0.9868725,-0.5904161,0.02277635,-0.85802907,1.3748325,-0.8702688
-0.5983027,-0.079235196,1.0291249,-0.5372195,-0.025645196,-0.844637,1.3711962,-0.8900016
-0.55942297,-0.06493072,1.0802625,-0.47735232,-0.067239955,-0.8399315,1.3563051,-0.9174248
