z1,z2,z3,z4,z5,z6,z7,z8
-0.31897634,-0.9052844,0.87284464,-0.7948538,1.3302695,-0.7082696,0.9322199,0.6094171
-0.58034533,-1.0177357,0.9528019,-0.7506007,1.1735588,-0.58584756,1.0373452,0.5251205
-0.64556277,-1.0604689,1.0253699,-0.7064039,1.0618001,-0.55952924,1.0574396,0.4742333
-0.68169284,-1.0697318,1.0650966,-0.6626436,0.97482884,-0.5497551,1.0763252,0.41522944
-0.72169995,-1.0545756,1.096769,-0.6318079,0.8969563,-0.5431353,1.0868026,0.3439332
-0.7786186,-1.0493813,1.1191912,-0.59655327,0.8059852,-0.50887764,1.1000217,0.24501126
-0.7784408,-1.0618783,1.1802578,-0.54550683,0.69939065,-0.46785522,1.0973798,0.1662248
-0.7595619,-1.0845643,1.2501343,-0.48585734,0.5830656,-0.42427596,1.0919157,0.084095016
-0.75117373,-1.1083179,1.3060825,-0.44361222,0.5022478,-0.38503483,1.0900098,0.038953457
-0.7189835,-1.0993078,1.3446125,-0.40548638,0.4301133,-0.38822895,1.0664594,-0.039405763
-0.67942554,-1.1020247,1.3850435,-0.36156225,0.37207854,-0.38799143,1.0635718,-0.07096809
-0.57542455,-1.081202,1.439646,-0.30446562,0.30479795,-0.45271656,1.0452526,-0.14539255
-0.42345905,-1.0363725,1.5322468,-0.21596713,0.23994485,-0.5379752,1.0207357,-0.2110672
-0.33049655,-0.99453074,1.576057,-0.16885604,0.22075585,-0.5896437,0.99337,-0.2433411
-0.24192016,-0.9564797,1.6266521,-0.13005435,0.19960259,-0.6207394,0.9630448,-0.24123734
-0.14102103,-0.9032675,1.6562566,-0.10778029,0.20841797,-0.6635066,0.917033,-0.2247011
0.05765434,-0.79169816,1.6539173,-0.14372776,0.30075806,-0.7664681,0.8124954,-0.2044052
0.24305442,-0.664767,1.529089,-0.23838025,0.492779,-0.8504015,0.7467836,-0.104934365
0.38044238,-0.543102,1.4325546,-0.34588045,0.68640506,-0.92816716,0.6987986,0.0102930255
0.4947006,-0.43345642,1.3933787,-0.43495136,0.83283246,-1.00875,0.62519443,0.033845972
0.54434454,-0.3563549,1.3253244,-0.50972986,0.9673586,-1.0793716,0.6146343,0.078070536
0.64941806,-0.26869324,1.2612973,-0.54881734,1.0522095,-1.142037,0.58079547,0.04032245
0.7287762,-0.18071601,1.1948525,-0.5780143,1.1302128,-1.2232654,0.54841685,-0.020229891
0.7523937,-0.10506334,1.1380366,-0.6037781,1.2253919,-1.2755002,0.5534712,-0.00220529
0.6858032,-0.09209063,1.0650183,-0.6190916,1.3399075,-1.2986282,0.60329497,0.12961395
0.6533387,-0.073758855,1.0401005,-0.63904667,1.3822024,-1.282283,0.59698576,0.17396033
0.59359556,-0.08702665,0.9870403,-0.65368,1.4225128,-1.2547213,0.60782033,0.24676888
0.52167296,-0.10300828,0.9482141,-0.6750382,1.4680198,-1.2087609,0.6142193,0.31105334
0.42438668,-0.14329857,0.89061445,-0.7140375,1.5281016,-1.1653374,0.64937043,0.40377635
0.28608418,-0.18862924,0.823592,-0.76649004,1.5731707,-1.144637,0.68416035,0.4478877
0.120950684,-0.29027689,0.7821317,-0.8615605,1.5839678,-1.1320204,0.72165334,0.46631375
0.014048696,-0.3356204,0.7917057,-0.9157453,1.5842991,-1.0929043,0.72088456,0.45684347
-0.10664576,-0.3623604,0.7862585,-0.96631783,1.565173,-1.0613071,0.704464,0.41503257
-0.20093293,-0.41686672,0.76444477,-0.9986835,1.5637776,-0.9950275,0.7249992,0.43966988
-0.30653465,-0.4784081,0.7454438,-0.9999115,1.5380675,-0.9348476,0.7578113,0.446596
-0.48172766,-0.55964804,0.7310943,-0.97214895,1.4727947,-0.8678635,0.8234071,0.42584935
-0.6020016,-0.6162542,0.73200727,-0.9125724,1.391865,-0.83067524,0.867157,0.38338456
-0.687974,-0.69777477,0.77565426,-0.86099976,1.3276607,-0.7660332,0.91644645,0.38887054
-0.8955847,-0.82302123,0.8133546,-0.7763403,1.2025008,-0.678953,0.9922768,0.3267188
-1.029693,-0.92772555,0.9099198,-0.72948945,1.0958701,-0.6007677,1.0131854,0.26784474
-1.0529112,-0.9631762,0.9727283,-0.6975507,1.0047486,-0.575613,0.98856515,0.18404388
-1.0758004,-0.9904802,1.0307971,-0.64171976,0.89660025,-0.53560823,0.9736747,0.081276804
-1.1089242,-1.0107061,1.1050936,-0.5606133,0.7679583,-0.47429964,0.9499154,-0.051238164
-1.1089329,-1.0273086,1.1937013,-0.46980053,0.64734817,-0.4331439,0.9175653,-0.1531431
-1.1005315,-1.0506564,1.3429706,-0.3357041,0.5298569,-0.40742284,0.8502947,-0.21405415
-1.0269803,-1.0829009,1.4660995,-0.23147702,0.4242766,-0.39273047,0.8273016,-0.22810507
-1.0446137,-1.069915,1.5038289,-0.14225104,0.38133693,-0.36156526,0.81920654,-0.19633733
-0.9648535,-1.0639122,1.5735317,-0.06899883,0.3082075,-0.36625957,0.8144449,-0.22563265
-0.8890334,-1.0322281,1.6162337,-0.008121051,0.2557777,-0.40413696,0.7962592,-0.29286727
-0.8247568,-0.9867349,1.623167,0.015756872,0.21893165,-0.47789752,0.77772415,-0.3647612
-0.6528841,-0.90246296,1.7361897,0.034626152,0.14273743,-0.5760639,0.7094449,-0.43392587
-0.40716654,-0.79077274,1.8837837,-0.018729476,0.07280948,-0.69291776,0.5762615,-0.47692063
-0.16589148,-0.66648227,1.9681315,-0.019717164,0.038140766,-0.72702366,0.47689703,-0.5047232
0.063200496,-0.5330055,1.9138591,-0.08046104,0.096754715,-0.8219626,0.38367233,-0.5396986
0.26709983,-0.37308022,1.794022,-0.15896672,0.28921625,-0.9367574,0.29679683,-0.54839563
0.49598527,-0.18368596,1.6138479,-0.23244973,0.5601412,-1.0526593,0.20091146,-0.4720063
0.79993373,0.040952984,1.3854823,-0.32071686,0.8585001,-1.1953921,0.099748895,-0.33619803
0.92419875,0.14848456,1.2255467,-0.39886707,1.0316541,-1.2874231,0.09215152,-0.21955426
1.0137385,0.22495818,1.1540021,-0.4102731,1.098354,-1.3024619,0.046844024,-0.14568715
